head	relation	tail	time
Police (Australia)	Use conventional military force	Citizen (Australia)	2005-03-11
Police (Australia)	Use conventional military force	Citizen (Australia)	2015-01-07
Police (Australia)	Use conventional military force	Citizen (Australia)	2009-09-12
Police (Australia)	Use conventional military force	Medical Personnel (Australia)	2007-07-16
Police (Australia)	Use conventional military force	Citizen (Australia)	2015-11-22
Police (Australia)	Use conventional military force	City Mayor (Australia)	2014-05-15
Police (Australia)	Use conventional military force	Citizen (Australia)	2013-03-26
Police (Australia)	Use conventional military force	Citizen (Australia)	2015-06-03
Police (Australia)	Use conventional military force	Citizen (Australia)	2008-07-05
Police (Australia)	Use conventional military force	Citizen (Australia)	2009-06-17
Police (Australia)	Use conventional military force	Citizen (Australia)	2005-08-17
Police (Australia)	Use conventional military force	Citizen (Australia)	2015-10-16
Police (Australia)	Use conventional military force	Citizen (Australia)	2005-06-06
Police (Australia)	Use conventional military force	Citizen (Australia)	2014-05-17
Police (Australia)	Use conventional military force	Citizen (Australia)	2008-01-18
Police (Australia)	Use conventional military force	Citizen (Australia)	2015-11-06
Police (Australia)	Use conventional military force	Citizen (Australia)	2005-06-09
Police (Australia)	Use conventional military force	Citizen (Australia)	2015-07-18
Police (Australia)	Use conventional military force	Citizen (Australia)	2010-12-10
Police (Australia)	Use conventional military force	Citizen (Australia)	2015-10-25
Police (Australia)	Use conventional military force	Citizen (Australia)	2005-03-28
Police (Australia)	Use conventional military force	Criminal (Australia)	2005-07-03
Police (Australia)	Use conventional military force	Citizen (Australia)	2009-09-24
Police (Australia)	Use conventional military force	Citizen (Australia)	2012-09-17
Police (Australia)	Use conventional military force	Citizen (Australia)	2007-03-27
Police (Australia)	Use conventional military force	Citizen (Australia)	2013-12-24
Police (Australia)	Use conventional military force	Citizen (Australia)	2013-05-02
Police (Australia)	Use conventional military force	Citizen (Australia)	2011-07-18
Police (Australia)	Use conventional military force	Citizen (Australia)	2005-03-22
Police (Australia)	Use conventional military force	Citizen (Australia)	2006-07-03
Police (Australia)	Use conventional military force	Citizen (Australia)	2009-08-20
Police (Australia)	Use conventional military force	Citizen (Australia)	2010-09-18
Police (Australia)	Use conventional military force	Citizen (Australia)	2007-06-10
Police (Australia)	Use conventional military force	Citizen (Australia)	2009-02-02
Police (Australia)	Use conventional military force	Citizen (Australia)	2005-07-18
Police (Australia)	Use conventional military force	Royal Administration (Australia)	2007-05-30
Police (Australia)	Use conventional military force	Women (Australia)	2015-08-20
Police (Australia)	Use conventional military force	Women (Australia)	2007-11-04
Police (Australia)	Use conventional military force	Citizen (Australia)	2015-11-14
Police (Australia)	Use conventional military force	Member of Parliament (Australia)	2012-03-08
Police (Australia)	Use conventional military force	Citizen (Australia)	2006-09-30
Police (Australia)	Use conventional military force	Women (Australia)	2013-02-07
Police (Australia)	Use conventional military force	Citizen (Australia)	2007-06-09
Abu Bakr Abdullah al-Qirbi	Consult	Foreign Affairs (Italy)	2012-10-22
Abu Bakr Abdullah al-Qirbi	Consult	Representatives (Yemen)	2014-02-13
Abu Bakr Abdullah al-Qirbi	Consult	Foreign Affairs (Italy)	2010-01-12
Abu Bakr Abdullah al-Qirbi	Consult	Office of the United Nations High Commissioner for Human Rights	2012-06-25
Abu Bakr Abdullah al-Qirbi	Consult	Al Sharq al Awsat	2013-11-21
Abu Bakr Abdullah al-Qirbi	Consult	Foreign Affairs (Mauritania)	2006-04-23
Abu Bakr Abdullah al-Qirbi	Consult	John Brennan	2011-09-30
Saud bin Faisal bin Abdul-Aziz	Host a visit	Envoy (United States)	2008-04-27
Saud bin Faisal bin Abdul-Aziz	Host a visit	Isaias Afewerki	2008-04-28
Saud bin Faisal bin Abdul-Aziz	Host a visit	Foreign Affairs (Mauritania)	2010-04-28
Tim Pawlenty	Make a visit	Iraq	2009-07-19
Tim Pawlenty	Make a visit	Iraq	2006-03-28
Lawmaker (United Kingdom)	Reject	Tony Blair	2005-03-11
Lawmaker (United Kingdom)	Reject	Citizen (United Kingdom)	2008-05-20
Japan	Accuse	China	2006-06-06
Japan	Accuse	Wang Yi	2008-06-27
Japan	Accuse	China	2014-06-15
Japan	Accuse	Iran	2006-04-19
Japan	Accuse	China	2010-11-06
Japan	Accuse	China	2005-03-25
Henry M. Paulson	Make statement	International Monetary Fund	2007-10-20
Henry M. Paulson	Make statement	China	2009-03-31
Henry M. Paulson	Make statement	International Monetary Fund	2007-07-02
Henry M. Paulson	Make statement	China	2008-06-17
Henry M. Paulson	Make statement	Media Personnel (Japan)	2008-06-13
Henry M. Paulson	Make statement	China	2007-10-23
Henry M. Paulson	Make statement	China	2007-12-12
Henry M. Paulson	Make statement	China	2007-06-06
Henry M. Paulson	Make statement	France	2007-09-17
South Korea	Consider policy option	Iraq	2005-09-06
South Korea	Consider policy option	Iran	2011-11-25
Government (Sudan)	Sign formal agreement	African Union	2006-05-16
Government (Sudan)	Sign formal agreement	John Garang	2005-08-13
Government (Sudan)	Sign formal agreement	Government (France)	2008-02-20
Government (Sudan)	Sign formal agreement	Armed Rebel (Libération)	2005-01-31
Government (Sudan)	Sign formal agreement	Dissident (Sudan)	2013-05-13
Government (Sudan)	Sign formal agreement	Amin Hassan Omer	2013-02-11
Government (Sudan)	Sign formal agreement	African Union	2007-04-10
Abdel Fattah Al-Sisi	Praise or endorse	International Monetary Fund	2014-06-09
Abdel Fattah Al-Sisi	Praise or endorse	Head of Government (Egypt)	2014-08-11
Abdel Fattah Al-Sisi	Praise or endorse	Police (Egypt)	2013-12-16
Abdel Fattah Al-Sisi	Praise or endorse	Tanzania	2015-03-04
Senate (Romania)	Consult	Legislature (Romania)	2015-09-16
Senate (Romania)	Consult	Legislature (Romania)	2012-08-28
Senate (Romania)	Consult	Health Ministry (Romania)	2015-08-21
Senate (Romania)	Consult	Legislature (Romania)	2005-06-20
Senate (Romania)	Consult	Legislature (Romania)	2012-08-27
Senate (Romania)	Consult	Legislature (Romania)	2009-10-26
Senate (Romania)	Consult	Legislature (Romania)	2015-11-16
Citizen (Zambia)	Demand	Michael Sata	2010-03-12
Citizen (Zambia)	Demand	Political Parties (Zambia)	2012-11-17
Citizen (Venezuela)	Demonstrate or rally	Media (Venezuela)	2007-05-20
Citizen (Venezuela)	Demonstrate or rally	Ministry (Venezuela)	2011-04-08
Citizen (Venezuela)	Demonstrate or rally	RCTV International	2007-05-28
Citizen (Venezuela)	Demonstrate or rally	RCTV International	2007-04-24
United Nations Interim Administration in Kosovo	Consult	Sanda Raskovic Ivic	2005-09-21
United Nations Interim Administration in Kosovo	Consult	Milo Djukanovic	2005-10-06
United Nations Interim Administration in Kosovo	Consult	Hashim Thaçi	2008-02-11
Presidential Press Service (Nigeria)	Make statement	Government (Nigeria)	2015-08-14
Presidential Press Service (Nigeria)	Make statement	Government (Nigeria)	2010-04-16
Presidential Press Service (Nigeria)	Make statement	Nurse (Nigeria)	2015-12-07
Presidential Press Service (Nigeria)	Make statement	Government (Nigeria)	2012-02-29
Presidential Press Service (Nigeria)	Make statement	Government (Nigeria)	2015-07-04
Presidential Press Service (Nigeria)	Make statement	Government (Nigeria)	2014-06-02
Presidential Press Service (Nigeria)	Make statement	Government (Nigeria)	2012-05-22
Presidential Press Service (Nigeria)	Make statement	Government (Nigeria)	2012-03-01
Presidential Press Service (Nigeria)	Make statement	Government (Nigeria)	2006-11-03
Barack Obama	Threaten	China	2014-05-30
Barack Obama	Threaten	China	2011-01-09
Barack Obama	Threaten	Iraq	2014-08-18
Barack Obama	Threaten	Iran	2013-10-04
Barack Obama	Threaten	Benjamin Netanyahu	2014-03-03
Barack Obama	Threaten	Iran	2012-04-15
Barack Obama	Threaten	Iraq	2014-09-11
Barack Obama	Threaten	Iran	2010-04-12
Barack Obama	Threaten	Xi Jinping	2015-09-25
Barack Obama	Threaten	Iran	2009-01-12
Barack Obama	Threaten	China	2015-09-22
Barack Obama	Threaten	Iran	2014-06-20
Barack Obama	Threaten	China	2013-02-01
Barack Obama	Threaten	Iran	2012-03-27
Barack Obama	Threaten	Iran	2012-04-13
Barack Obama	Threaten	Iran	2015-07-01
Representatives (Libya)	Consult	Ali Abdullah Saleh	2010-03-28
Representatives (Libya)	Consult	African Union	2005-07-04
Citizen (Australia)	Sexually assault	Criminal (Australia)	2006-01-30
Citizen (Australia)	Sexually assault	Criminal (Australia)	2015-06-09
Ministry (Belgium)	Express intent to meet or negotiate	Sergey Kuzhugetovich Shoygu	2005-08-01
Military Personnel (Thailand)	Consult	Prem Tinsulanonda	2010-02-19
Military Personnel (Thailand)	Consult	Cabinet / Council of Ministers / Advisors (Thailand)	2007-07-25
Military Personnel (Thailand)	Consult	Thailand	2011-04-29
Military Personnel (Thailand)	Consult	Anupong Paochinda	2009-12-09
Military Personnel (Thailand)	Consult	Abhisit Vejjajiva	2009-03-12
Maxime Verhagen	Make an appeal or request	China	2009-07-07
Maxime Verhagen	Make an appeal or request	Tanzania	2012-05-23
Abhisit Vejjajiva	Make a visit	Qatar	2009-11-28
Abhisit Vejjajiva	Make a visit	China	2009-06-27
Abhisit Vejjajiva	Make a visit	Thailand	2011-01-14
Abhisit Vejjajiva	Make a visit	Citizen (Thailand)	2012-04-30
Abhisit Vejjajiva	Make a visit	Thailand	2011-03-30
Abhisit Vejjajiva	Make a visit	Thailand	2008-09-22
Abhisit Vejjajiva	Make a visit	Thailand	2011-07-02
Abhisit Vejjajiva	Make a visit	Thailand	2010-11-09
Abhisit Vejjajiva	Make a visit	Japan	2009-02-08
Abhisit Vejjajiva	Make a visit	Cambodia	2009-06-30
Abhisit Vejjajiva	Make a visit	Vietnam	2009-07-13
Abhisit Vejjajiva	Make a visit	Malaysia	2009-12-08
Abhisit Vejjajiva	Make a visit	Wen Jiabao	2009-06-26
Abhisit Vejjajiva	Make a visit	Qatar	2009-11-24
Abhisit Vejjajiva	Make a visit	South Korea	2009-05-28
Abhisit Vejjajiva	Make a visit	Association of Southeast Asian Nations	2011-05-09
Abhisit Vejjajiva	Make a visit	China	2010-11-09
Abhisit Vejjajiva	Make a visit	Cambodia	2009-06-22
Abhisit Vejjajiva	Make a visit	Thailand	2010-10-19
Head of Government (Brazil)	Consult	Ministry (Brazil)	2013-07-20
Head of Government (Brazil)	Consult	Paulo Antonio Skaf	2014-07-25
Head of Government (Brazil)	Consult	Cabinet / Council of Ministers / Advisors (Brazil)	2013-03-05
Head of Government (Brazil)	Consult	Nelson Azevedo Jobim	2008-09-04
Head of Government (Brazil)	Consult	Daniel Scioli	2015-04-10
Head of Government (Brazil)	Consult	Ministry (Brazil)	2014-10-23
Head of Government (Brazil)	Consult	Elizabeth II	2006-03-13
Citizen (Thailand)	Criticize or denounce	Barisan Revolusi Nasional	2013-08-09
Citizen (Thailand)	Criticize or denounce	Member of Parliament (Thailand)	2011-08-22
Citizen (Thailand)	Criticize or denounce	Prem Tinsulanonda	2009-04-07
Citizen (Thailand)	Criticize or denounce	Party Member (Thailand)	2013-02-20
Citizen (Thailand)	Criticize or denounce	Thailand	2005-03-30
Citizen (Thailand)	Criticize or denounce	Party Member (Thailand)	2013-02-22
Citizen (Thailand)	Criticize or denounce	Abhisit Vejjajiva	2010-03-09
Citizen (Thailand)	Criticize or denounce	Council for National Security	2007-05-31
Citizen (Thailand)	Criticize or denounce	Thailand	2015-01-05
Citizen (Thailand)	Criticize or denounce	National United Front for Democracy Against Dictatorship	2009-08-03
Citizen (Thailand)	Criticize or denounce	Thailand	2014-01-13
Citizen (Thailand)	Criticize or denounce	Prem Tinsulanonda	2008-06-01
Citizen (Thailand)	Criticize or denounce	Abhisit Vejjajiva	2011-07-05
Citizen (Thailand)	Criticize or denounce	Party Member (Thailand)	2013-08-12
Citizen (Thailand)	Criticize or denounce	Thief (Thailand)	2014-06-27
Citizen (Thailand)	Criticize or denounce	International Court of Justice	2011-02-05
Citizen (Thailand)	Criticize or denounce	Thailand	2013-11-13
Citizen (Thailand)	Criticize or denounce	Thailand	2013-12-10
Citizen (Thailand)	Criticize or denounce	Sukhumbhand Paribatra	2015-06-13
Citizen (Thailand)	Criticize or denounce	Cabinet / Council of Ministers / Advisors (Thailand)	2009-07-10
Shiv Sena	Make statement	Member of Parliament (India)	2009-03-20
Shiv Sena	Make statement	United Progressive Alliance	2013-12-29
Shiv Sena	Make statement	Ram Paswan	2008-10-28
Rights Activist (Egypt)	Accuse	Other Authorities / Officials (Egypt)	2011-09-20
Rights Activist (Egypt)	Accuse	Police (Egypt)	2013-01-23
Rights Activist (Egypt)	Accuse	Other Authorities / Officials (Egypt)	2005-12-07
Rights Activist (Egypt)	Accuse	Police (Egypt)	2013-02-16
Rights Activist (Egypt)	Accuse	Police (Egypt)	2015-12-27
Thailand	Make a visit	Malaysia	2005-12-02
Thailand	Make a visit	France	2011-04-27
Thailand	Make a visit	United Arab Emirates	2010-02-05
Thailand	Make a visit	South Korea	2005-10-17
Thailand	Make a visit	Cambodia	2007-08-28
Thailand	Make a visit	Laos	2013-10-19
Thailand	Make a visit	China	2015-07-20
Thailand	Make a visit	Laos	2006-02-20
France	Ease administrative sanctions	National Council of Resistance of Iran	2006-06-18
France	Ease administrative sanctions	Barclays PLC	2008-12-11
France	Ease administrative sanctions	Men (France)	2014-06-18
Ministry (Nigeria)	Accuse	Citizen (Nigeria)	2015-12-28
Ministry (Nigeria)	Accuse	Government (Nigeria)	2012-09-03
Ministry (Nigeria)	Accuse	Oluṣẹgun Ọbasanjọ	2014-12-30
Ministry (Nigeria)	Accuse	Citizen (Nigeria)	2014-02-07
Ministry (Nigeria)	Accuse	Government (Nigeria)	2013-02-25
Ministry (Nigeria)	Accuse	Citizen (Nigeria)	2005-02-24
Ministry (Nigeria)	Accuse	Government (Nigeria)	2012-08-29
Ministry (Nigeria)	Accuse	Citizen (Nigeria)	2006-02-06
Ministry (Nigeria)	Accuse	Citizen (Nigeria)	2011-02-02
Ministry (Nigeria)	Accuse	Citizen (Nigeria)	2014-12-29
Ministry (Nigeria)	Accuse	Citizen (Nigeria)	2013-10-21
Ministry (Nigeria)	Accuse	Citizen (Nigeria)	2009-05-07
Settler (Israel)	Use unconventional violence	Children (Palestinian Territory, Occupied)	2005-07-21
Settler (Israel)	Use unconventional violence	Israeli Defense Forces	2005-01-30
Settler (Israel)	Use unconventional violence	Israeli Defense Forces	2008-09-14
Settler (Israel)	Use unconventional violence	Israeli Defense Forces	2015-07-28
Settler (Israel)	Use unconventional violence	Children (Palestinian Territory, Occupied)	2014-04-10
Settler (Israel)	Use unconventional violence	Israeli Defense Forces	2005-08-22
South Africa	Engage in diplomatic cooperation	Japan	2010-04-27
South Africa	Engage in diplomatic cooperation	Vietnam	2005-09-02
South Africa	Engage in diplomatic cooperation	Iran	2007-02-27
South Africa	Engage in diplomatic cooperation	Angola	2015-11-24
South Africa	Engage in diplomatic cooperation	China	2006-10-09
South Africa	Engage in diplomatic cooperation	China	2014-09-03
South Africa	Engage in diplomatic cooperation	China	2014-09-08
South Africa	Engage in diplomatic cooperation	Ethiopia	2011-12-20
South Africa	Engage in diplomatic cooperation	Angola	2011-01-03
South Africa	Engage in diplomatic cooperation	Angola	2010-12-08
South Africa	Engage in diplomatic cooperation	Iran	2015-11-09
South Africa	Engage in diplomatic cooperation	Lesotho	2014-03-26
South Africa	Engage in diplomatic cooperation	Sudan	2013-02-25
South Africa	Engage in diplomatic cooperation	China	2011-05-28
Kuomintang	Criticize or denounce	Ma Ying Jeou	2006-05-27
Kuomintang	Criticize or denounce	Japan	2007-03-28
Kuomintang	Criticize or denounce	Tu Cheng-sheng	2007-08-24
South Korea	Engage in negotiation	Japan	2010-11-18
South Korea	Engage in negotiation	China	2011-05-23
South Korea	Engage in negotiation	Malaysia	2010-12-10
South Korea	Engage in negotiation	China	2007-05-04
South Korea	Engage in negotiation	Lee Myung Bak	2010-06-14
South Korea	Engage in negotiation	China	2009-10-10
South Korea	Engage in negotiation	France	2008-12-19
South Korea	Engage in negotiation	Japan	2005-11-11
South Korea	Engage in negotiation	Japan	2008-12-10
South Korea	Engage in negotiation	Japan	2008-02-04
South Korea	Engage in negotiation	Militant (Taliban)	2007-08-30
South Korea	Engage in negotiation	Japan	2009-05-12
South Korea	Engage in negotiation	Japan	2014-09-19
South Korea	Engage in negotiation	China	2011-07-29
South Korea	Engage in negotiation	Japan	2012-01-16
South Korea	Engage in negotiation	China	2011-05-22
South Korea	Engage in negotiation	Shinsuke Sugiyama	2015-07-01
South Korea	Engage in negotiation	Vietnam	2009-11-17
South Korea	Engage in negotiation	France	2007-03-17
South Korea	Engage in negotiation	China	2010-10-30
South Korea	Engage in negotiation	Japan	2012-03-05
South Korea	Engage in negotiation	Envoy (United States)	2009-08-24
South Korea	Engage in negotiation	China	2015-10-20
South Korea	Engage in negotiation	China	2014-11-06
South Korea	Engage in negotiation	China	2014-10-21
South Korea	Engage in negotiation	China	2014-07-16
South Korea	Engage in negotiation	China	2014-09-16
South Korea	Engage in negotiation	Thailand	2008-08-19
South Korea	Engage in negotiation	China	2005-04-05
South Korea	Engage in negotiation	China	2010-05-14
South Korea	Engage in negotiation	Japan	2007-08-24
South Korea	Engage in negotiation	Association of Southeast Asian Nations	2010-12-30
South Korea	Engage in negotiation	Japan	2014-08-25
South Korea	Engage in negotiation	Japan	2013-10-15
South Korea	Engage in negotiation	Japan	2014-09-25
South Korea	Engage in negotiation	China	2006-03-27
South Korea	Engage in negotiation	China	2015-04-08
South Korea	Engage in negotiation	Japan	2014-11-27
South Korea	Engage in negotiation	Thailand	2012-11-10
South Korea	Engage in negotiation	Japan	2008-07-09
South Korea	Engage in negotiation	Japan	2005-09-15
South Korea	Engage in negotiation	Association of Southeast Asian Nations	2005-11-09
South Korea	Engage in negotiation	Japan	2006-06-12
South Korea	Engage in negotiation	China	2013-04-29
South Korea	Engage in negotiation	Japan	2014-04-16
South Korea	Engage in negotiation	Iraq	2015-06-22
South Korea	Engage in negotiation	China	2010-03-19
South Korea	Engage in negotiation	Ireland	2011-10-14
South Korea	Engage in negotiation	Abdullah Gül	2010-08-17
South Korea	Engage in negotiation	Wen Jiabao	2011-05-23
South Korea	Engage in negotiation	China	2005-02-11
South Korea	Engage in negotiation	China	2015-12-05
South Korea	Engage in negotiation	Mexico	2007-12-08
South Korea	Engage in negotiation	China	2008-11-19
South Korea	Engage in negotiation	Japan	2015-07-19
South Korea	Engage in negotiation	China	2006-08-13
South Korea	Engage in negotiation	Japan	2012-09-26
South Korea	Engage in negotiation	Japan	2006-12-15
South Korea	Engage in negotiation	Japan	2015-11-01
South Korea	Engage in negotiation	Roh Moo Hyun	2005-06-28
South Korea	Engage in negotiation	Mexico	2006-04-19
South Korea	Engage in negotiation	China	2014-06-17
Bukola Saraki	Accuse	Citizen (Nigeria)	2014-03-06
Head of Government (Belarus)	Consult	Xi Jinping	2014-01-22
Priest (Australia)	Sexually assault	Citizen (Australia)	2014-03-28
Priest (Australia)	Sexually assault	Citizen (Australia)	2005-04-12
Priest (Australia)	Sexually assault	Women (Australia)	2010-03-09
Priest (Australia)	Sexually assault	Citizen (Australia)	2012-11-24
Citizen (Uganda)	Appeal for intelligence	Inspector General (Uganda)	2007-01-22
Business (Taiwan)	Praise or endorse	Ma Ying Jeou	2011-06-19
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Iran	2014-06-18
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Iran	2013-11-23
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Evo Morales	2006-03-11
Citizen (Greece)	Demonstrate or rally	Legislature (Greece)	2014-11-06
Citizen (Greece)	Demonstrate or rally	Legislature (Greece)	2015-07-11
Citizen (Greece)	Demonstrate or rally	Legislature (Greece)	2010-05-05
Citizen (Greece)	Demonstrate or rally	Legislature (Greece)	2011-12-13
Thongsing Thammavong	Make a visit	Thailand	2006-01-30
Thongsing Thammavong	Make a visit	Vietnam	2011-03-01
Thongsing Thammavong	Make a visit	Thailand	2012-12-22
Thongsing Thammavong	Make a visit	France	2007-11-08
Thongsing Thammavong	Make a visit	Vietnam	2006-11-21
Head of Government (India)	Express intent to meet or negotiate	Cambodia	2015-09-09
Head of Government (India)	Express intent to meet or negotiate	Head of Government (Pakistan)	2008-09-29
Head of Government (India)	Express intent to meet or negotiate	Shivraj Patil	2012-12-08
Head of Government (India)	Express intent to meet or negotiate	China	2014-06-20
Head of Government (India)	Express intent to meet or negotiate	Japan	2014-06-06
Head of Government (India)	Express intent to meet or negotiate	Dmitry Anatolyevich Medvedev	2008-07-09
Head of Government (India)	Express intent to meet or negotiate	Barack Obama	2009-04-01
Head of Government (India)	Express intent to meet or negotiate	Maithripala Sirisena	2015-03-13
China	Deny responsibility	Japan	2012-10-01
China	Deny responsibility	Vietnam	2014-12-07
China	Deny responsibility	Japan	2013-02-13
China	Deny responsibility	Japan	2007-07-26
China	Deny responsibility	Japan	2005-04-28
China	Deny responsibility	Japan	2006-04-03
China	Deny responsibility	Holy See	2006-05-04
China	Deny responsibility	Japan	2005-05-20
China	Deny responsibility	Japan	2013-02-08
China	Deny responsibility	Malaysia	2013-11-27
China	Deny responsibility	Japan	2006-04-20
Straits Exchange Foundation	Engage in negotiation	China	2007-01-15
Straits Exchange Foundation	Engage in negotiation	China	2009-12-03
Straits Exchange Foundation	Engage in negotiation	China	2008-04-21
Ministry (Sudan)	Make an appeal or request	Citizen (Sudan)	2013-09-28
Ministry (Sudan)	Make an appeal or request	Citizen (Sudan)	2011-06-15
Ministry (Sudan)	Make an appeal or request	Sudan	2009-11-05
Ministry (Sudan)	Make an appeal or request	Citizen (Sudan)	2014-05-08
Ministry (Sudan)	Make an appeal or request	Citizen (Sudan)	2013-04-12
Chris Olukolade	Make statement	Militant (Nigeria)	2014-02-28
Chris Olukolade	Make statement	Alex Badeh	2014-02-05
Chris Olukolade	Make statement	Murtala Nyako	2014-03-03
Bolivia	Make a visit	Mahmoud Ahmadinejad	2010-04-28
Bolivia	Make a visit	Colombia	2008-01-08
Bolivia	Make a visit	International Court of Justice	2012-12-09
Bolivia	Make a visit	Colombia	2007-12-31
Jack Straw	Make a visit	Iran	2013-07-19
Jack Straw	Make a visit	Iraq	2006-02-20
Jack Straw	Make a visit	Joschka Fischer	2005-07-04
Jack Straw	Make a visit	Iraq	2005-11-22
Jack Straw	Make a visit	Iran	2014-01-09
Jack Straw	Make a visit	Iraq	2005-06-09
Jack Straw	Make a visit	Thailand	2005-01-07
Jack Straw	Make a visit	Iraq	2006-04-22
Jack Straw	Make a visit	Iraq	2006-04-05
Jack Straw	Make a visit	Vietnam	2008-09-12
Jack Straw	Make a visit	Iraq	2005-11-23
UN Security Council	Provide military protection or peacekeeping	Sudan	2005-09-24
UN Security Council	Provide military protection or peacekeeping	South Sudan	2013-12-26
UN Security Council	Provide military protection or peacekeeping	Sudan	2005-09-23
Federica Mogherini	Express intent to meet or negotiate	Head of Government (South Korea)	2015-05-01
Federica Mogherini	Express intent to meet or negotiate	China	2015-05-04
Federica Mogherini	Express intent to meet or negotiate	Middle East	2015-05-15
Federica Mogherini	Express intent to meet or negotiate	Arseniy Yatsenyuk	2015-11-06
Daniel Arap Moi	Express intent to meet or negotiate	Sudan	2007-09-05
Foreign Affairs (Argentina)	Praise or endorse	Citizen (Mali)	2013-08-17
Foreign Affairs (Argentina)	Praise or endorse	Vietnam	2007-08-29
Foreign Affairs (Argentina)	Praise or endorse	Vietnam	2009-01-16
Ministry (Nigeria)	Praise or endorse	Foreign Affairs (Belarus)	2014-09-10
Ministry (Nigeria)	Praise or endorse	Government (Nigeria)	2012-07-17
Ministry (Nigeria)	Praise or endorse	Citizen (Nigeria)	2011-07-21
Ministry (Nigeria)	Praise or endorse	Head of Government (Nigeria)	2010-09-15
Ministry (Nigeria)	Praise or endorse	Citizen (Nigeria)	2014-06-25
Ministry (Nigeria)	Praise or endorse	Muhammadu Buhari	2015-09-28
Ministry (Nigeria)	Praise or endorse	Government (Nigeria)	2015-11-12
Ministry (Nigeria)	Praise or endorse	Other Authorities / Officials (Nigeria)	2014-10-21
Ministry (Nigeria)	Praise or endorse	Head of Government (Nigeria)	2013-08-19
Ministry (Nigeria)	Praise or endorse	Government (Nigeria)	2011-08-23
Ministry (Nigeria)	Praise or endorse	Muhammadu Buhari	2015-11-16
Student (Senegal)	Make statement	Customs Official (Senegal)	2005-12-16
María Ángela Holguín	Make a visit	Middle East	2014-11-15
Abhisit Vejjajiva	Consult	Banharn Silpa-archa	2009-05-15
Abhisit Vejjajiva	Consult	Association of Southeast Asian Nations	2009-02-28
Abhisit Vejjajiva	Consult	Jatuporn Prompan	2013-03-09
Abhisit Vejjajiva	Consult	Anand Panyarachun	2010-06-21
Abhisit Vejjajiva	Consult	China	2009-08-11
Abhisit Vejjajiva	Consult	Chaiwat Sinsuwong	2008-01-17
Abhisit Vejjajiva	Consult	Governor (Thailand)	2011-03-14
Abhisit Vejjajiva	Consult	Minister Bogollagama	2009-03-27
Abhisit Vejjajiva	Consult	Cabinet / Council of Ministers / Advisors (Thailand)	2010-01-20
Abhisit Vejjajiva	Consult	Cabinet / Council of Ministers / Advisors (Thailand)	2009-10-07
Court Judge (United Kingdom)	Reject	Citizen (United Kingdom)	2014-10-31
Court Judge (United Kingdom)	Reject	Citizen (United Kingdom)	2014-08-11
Court Judge (United Kingdom)	Reject	Julian Paul Assange	2011-02-25
Court Judge (United Kingdom)	Reject	Citizen (United Kingdom)	2014-10-14
Court Judge (United Kingdom)	Reject	Citizen (United Kingdom)	2010-11-12
Court Judge (United Kingdom)	Reject	Citizen (United Kingdom)	2005-04-29
Court Judge (United Kingdom)	Reject	Citizen (United Kingdom)	2009-10-08
Court Judge (United Kingdom)	Reject	Citizen (United Kingdom)	2007-01-12
Court Judge (United Kingdom)	Reject	Citizen (United Kingdom)	2010-04-29
Court Judge (United Kingdom)	Reject	Julian Paul Assange	2011-07-12
Court Judge (United Kingdom)	Reject	Citizen (United Kingdom)	2012-02-08
Citizen (Nigeria)	Engage in diplomatic cooperation	Muhammadu Buhari	2015-06-24
Citizen (Nigeria)	Engage in diplomatic cooperation	Government (Nigeria)	2014-05-02
Citizen (Nigeria)	Engage in diplomatic cooperation	Government (Nigeria)	2015-12-28
Citizen (Nigeria)	Engage in diplomatic cooperation	Government (Nigeria)	2011-12-15
Police (South Africa)	Investigate	South Africa	2005-09-13
Police (South Africa)	Investigate	South Africa	2014-04-29
Police (South Africa)	Investigate	South Africa	2010-12-01
Police (South Africa)	Investigate	Men (South Africa)	2006-01-30
Police (South Africa)	Investigate	Men (South Africa)	2014-10-16
Police (South Africa)	Investigate	Men (South Africa)	2008-01-10
Police (South Africa)	Investigate	Nurse (South Africa)	2011-12-29
Police (South Africa)	Investigate	Men (South Africa)	2007-08-10
Police (South Africa)	Investigate	South Africa	2009-08-12
Police (South Africa)	Investigate	Men (South Africa)	2007-11-27
Police (South Africa)	Investigate	Men (South Africa)	2009-10-13
Police (South Africa)	Investigate	Men (South Africa)	2007-12-24
Police (South Africa)	Investigate	South Africa	2007-02-19
Police (South Africa)	Investigate	Men (South Africa)	2008-02-01
Police (South Africa)	Investigate	Men (South Africa)	2011-05-17
Police (South Africa)	Investigate	South Africa	2010-01-12
Police (South Africa)	Investigate	South Africa	2015-08-04
Police (South Africa)	Investigate	Armed Gang (South Africa)	2007-02-20
Police (South Africa)	Investigate	South Africa	2008-06-24
Police (South Africa)	Investigate	South Africa	2006-04-20
Police (South Africa)	Investigate	Afrikaner Eenheidsbeweging	2010-04-13
Police (South Africa)	Investigate	South Africa	2012-01-09
Police (South Africa)	Investigate	South Africa	2005-08-18
Police (South Africa)	Investigate	South Africa	2014-12-06
Police (South Africa)	Investigate	Men (South Africa)	2011-05-10
Police (South Africa)	Investigate	South Africa	2015-04-23
