head,relation,tail,time
Kazakhstan,Consult,China,2014-12-14
Kazakhstan,Sign formal agreement,China,2014-12-14
Kazakhstan,Consult,China,2014-03-27
Kazakhstan,Engage in negotiation,China,2014-03-19
Kazakhstan,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-04-01
Kazakhstan,Express intent to cooperate,China,2014-12-15
Kazakhstan,Consider policy option,China,2014-10-14
Kazakhstan,Make a visit,China,2014-08-19
Kazakhstan,Make a visit,China,2014-10-29
Kazakhstan,Consult,China,2014-10-30
Kazakhstan,Engage in diplomatic cooperation,China,2014-09-22
Kazakhstan,Express intent to cooperate,China,2014-12-21
Kazakhstan,Sign formal agreement,China,2014-05-19
Kazakhstan,"Arrest, detain, or charge with legal action",Citizen (Kyrgyzstan),2014-04-11
Kazakhstan,"Arrest, detain, or charge with legal action",Citizen (Kyrgyzstan),2014-02-03
Kazakhstan,"Arrest, detain, or charge with legal action",Citizen (Kyrgyzstan),2014-07-05
Kazakhstan,"Arrest, detain, or charge with legal action",Citizen (Kyrgyzstan),2014-02-04
Kazakhstan,Host a visit,Djoomart Otorbaev,2014-05-03
Kazakhstan,Host a visit,Djoomart Otorbaev,2014-12-15
Kazakhstan,Engage in diplomatic cooperation,France,2014-12-05
Kazakhstan,Consult,France,2014-06-11
Kazakhstan,Engage in diplomatic cooperation,France,2014-07-22
Kazakhstan,Host a visit,François Hollande,2014-12-04
Kazakhstan,Host a visit,François Hollande,2014-12-06
Kazakhstan,Host a visit,François Hollande,2014-12-10
Kazakhstan,Host a visit,François Hollande,2014-12-05
Kazakhstan,Host a visit,Gurbanguly Berdymukhammedov,2014-09-29
Kazakhstan,Host a visit,Gurbanguly Berdymukhammedov,2014-06-05
Kazakhstan,Consult,Iran,2014-03-02
Kazakhstan,Engage in diplomatic cooperation,Iran,2014-09-08
Kazakhstan,Express intent to meet or negotiate,Iran,2014-09-17
Kazakhstan,Express intent to meet or negotiate,Iran,2014-09-18
Kazakhstan,Consult,Iran,2014-06-11
Kazakhstan,Consult,Iran,2014-04-27
Kazakhstan,Consult,Iran,2014-04-02
Kazakhstan,Sign formal agreement,Iran,2014-09-09
Kazakhstan,Praise or endorse,Iran,2014-05-19
Kazakhstan,Host a visit,Iran,2014-12-26
Kazakhstan,Make a visit,Iran,2014-08-01
Kazakhstan,Consult,Iran,2014-04-22
Kazakhstan,Sign formal agreement,Iran,2014-09-11
Kazakhstan,Praise or endorse,Iran,2014-05-22
Kazakhstan,Sign formal agreement,Iran,2014-06-26
Kazakhstan,Consult,Iran,2014-06-03
Kazakhstan,Consult,Iran,2014-09-10
Kazakhstan,Express intent to meet or negotiate,Iran,2014-08-07
Kazakhstan,Make an appeal or request,Iran,2014-06-03
Kazakhstan,Make statement,Iran,2014-12-02
Kazakhstan,Express intent to meet or negotiate,Iran,2014-04-01
Kazakhstan,Host a visit,Islam Karimov,2014-11-24
Kazakhstan,Host a visit,Islam Karimov,2014-11-25
Kazakhstan,Host a visit,Milos Zeman,2014-11-24
Kazakhstan,Host a visit,Milos Zeman,2014-11-27
Kazakhstan,Host a visit,Milos Zeman,2014-11-25
Kazakhstan,"Arrest, detain, or charge with legal action",Muslim (Kazakhstan),2014-10-16
Kazakhstan,Impose restrictions on political freedoms,Muslim (Kazakhstan),2014-10-16
Kazakhstan,Discuss by telephone,Sergey Viktorovich Lavrov,2014-03-17
Kazakhstan,Host a visit,Sergey Viktorovich Lavrov,2014-08-06
Kazakhstan,Host a visit,Sergey Viktorovich Lavrov,2014-08-07
Kazakhstan,Host a visit,Serik Akhmetov,2014-08-20
Kazakhstan,Host a visit,Serik Akhmetov,2014-05-29
Kazakhstan,Express intent to meet or negotiate,Tajikistan,2014-07-14
Kazakhstan,Meet at a 'third' location,Tajikistan,2014-11-13
Kazakhstan,Consult,Tajikistan,2014-07-11
Kazakhstan,Host a visit,Tajikistan,2014-12-16
Kazakhstan,Express intent to engage in diplomatic cooperation (such as policy support),Tajikistan,2014-04-01
Kazakhstan,Express intent to meet or negotiate,Tajikistan,2014-07-15
Kazakhstan,Consult,Tajikistan,2014-03-27
Kazakhstan,Express intent to engage in diplomatic cooperation (such as policy support),Tajikistan,2014-10-07
Kazakhstan,Consult,Tajikistan,2014-07-18
Kazakhstan,Consult,Tajikistan,2014-06-16
Kazakhstan,Sign formal agreement,Tajikistan,2014-09-05
Kazakhstan,Sign formal agreement,Tajikistan,2014-09-14
Kazakhstan,Host a visit,Xi Jinping,2014-07-17
Kazakhstan,Host a visit,Xi Jinping,2014-09-13
Kazumi Matsui,Make an appeal or request,Citizen (International),2014-08-05
Kazumi Matsui,Express intent to meet or negotiate,Citizen (International),2014-08-05
Keiji Furuya,Make a visit,Japan,2014-08-15
Keiji Furuya,Make statement,Japan,2014-03-28
Keiji Furuya,Express intent to meet or negotiate,Japan,2014-08-05
Keiji Furuya,Make a visit,Japan,2014-04-20
Keiji Furuya,Make a visit,Japan,2014-08-14
Keiji Furuya,Make a visit,Japan,2014-04-21
Keiji Furuya,Make statement,Japan,2014-07-01
Keiji Furuya,Consult,Yoshitaka Shindo,2014-08-15
Keiji Furuya,Consult,Yoshitaka Shindo,2014-08-14
Kema Chikwe,Make an appeal or request,Government (Nigeria),2014-02-04
Kema Chikwe,Praise or endorse,Government (Nigeria),2014-02-04
Kembo Dugish Campbell Mohadi,Make a visit,South Africa,2014-08-14
Kembo Dugish Campbell Mohadi,Make statement,South Africa,2014-10-03
Keriako Tobiko,Make an appeal or request,Citizen (Kenya),2014-01-29
Keriako Tobiko,Investigate,Citizen (Kenya),2014-05-23
Keriako Tobiko,Appeal for intelligence,Police (Kenya),2014-12-15
Keriako Tobiko,Express accord,Police (Kenya),2014-02-13
Kevin Rudd,Engage in symbolic act,Citizen (Australia),2014-11-10
Kevin Rudd,Criticize or denounce,Citizen (Australia),2014-07-02
Kevin Rudd,Make an appeal or request,Citizen (Australia),2014-05-15
Kevin Rudd,Make statement,Gough Whitlam,2014-10-20
Kevin Rudd,Engage in symbolic act,Gough Whitlam,2014-10-29
Kevin Rudd,Engage in symbolic act,Gough Whitlam,2014-11-05
Kgalema Petrus Motlanthe,Make a visit,Poland,2014-03-17
Kgalema Petrus Motlanthe,Make statement,Poland,2014-03-17
Kgalema Petrus Motlanthe,Make statement,South Africa,2014-01-15
Kgalema Petrus Motlanthe,Make statement,South Africa,2014-03-17
Kgalema Petrus Motlanthe,Make statement,South Africa,2014-05-02
Kgalema Petrus Motlanthe,Make statement,South Africa,2014-04-14
Kgalema Petrus Motlanthe,Make a visit,South Africa,2014-05-24
Kgalema Petrus Motlanthe,Make statement,South Africa,2014-05-01
Khaled al-Obeidi,Make statement,Chuck Hagel,2014-10-23
Khaled al-Obeidi,Discuss by telephone,Chuck Hagel,2014-10-23
Khaled al-Obeidi,Make a visit,Iraq,2014-12-09
Khaled al-Obeidi,Provide humanitarian aid,Iraq,2014-10-25
Khaled al-Obeidi,Make a visit,Iraq,2014-12-11
Kidnapper (Indonesia),"Abduct, hijack, or take hostage",Citizen (Indonesia),2014-02-19
Kidnapper (Indonesia),Make an appeal or request,Citizen (Indonesia),2014-07-09
Kiichi Miyazawa,Express intent to meet or negotiate,Japan,2014-10-28
Kiichi Miyazawa,Make a visit,Japan,2014-11-03
Kiichi Miyazawa,Make a visit,Japan,2014-11-01
Kikuyu,Sexually assault,Citizen (Kenya),2014-11-17
Kikuyu,"Arrest, detain, or charge with legal action",Citizen (Kenya),2014-01-07
Kim Daejung,Make statement,North Korea,2014-12-17
Kim Daejung,Express intent to meet or negotiate,North Korea,2014-12-23
Kim Jong-Un,Investigate,Air Force (North Korea),2014-05-14
Kim Jong-Un,Make a visit,Air Force (North Korea),2014-05-15
Kim Jong-Un,Investigate,Air Force (North Korea),2014-01-23
Kim Jong-Un,Consult,Barack Obama,2014-11-09
Kim Jong-Un,Consider policy option,Barack Obama,2014-10-24
Kim Jong-Un,Consult,Barack Obama,2014-11-10
Kim Jong-Un,"Reject proposal to meet, discuss, or negotiate",China,2014-04-02
Kim Jong-Un,Engage in symbolic act,China,2014-10-01
Kim Jong-Un,Make an appeal or request,Citizen (North Korea),2014-11-26
Kim Jong-Un,Engage in symbolic act,Citizen (North Korea),2014-12-25
Kim Jong-Un,Make an appeal or request,Citizen (North Korea),2014-05-15
Kim Jong-Un,Criticize or denounce,Citizen (North Korea),2014-06-13
Kim Jong-Un,Engage in symbolic act,Citizen (North Korea),2014-04-15
Kim Jong-Un,Make an appeal or request,Citizen (North Korea),2014-11-27
Kim Jong-Un,Praise or endorse,Citizen (North Korea),2014-11-28
Kim Jong-Un,Make an appeal or request,Citizen (South Korea),2014-01-07
Kim Jong-Un,Make an appeal or request,Citizen (South Korea),2014-11-27
Kim Jong-Un,Make a visit,Japan,2014-08-12
Kim Jong-Un,Consult,Japan,2014-10-13
Kim Jong-Un,Praise or endorse,Military (North Korea),2014-01-12
Kim Jong-Un,Make a visit,Military (North Korea),2014-11-19
Kim Jong-Un,Make a visit,North Korea,2014-11-15
Kim Jong-Un,Make statement,North Korea,2014-05-06
Kim Jong-Un,Make a visit,North Korea,2014-06-12
Kim Jong-Un,Make a visit,North Korea,2014-06-29
Kim Jong-Un,Criticize or denounce,North Korea,2014-06-12
Kim Jong-Un,Make a visit,North Korea,2014-02-20
Kim Jong-Un,Make a visit,North Korea,2014-12-09
Kim Jong-Un,Make statement,North Korea,2014-12-10
Kim Jong-Un,Make a visit,North Korea,2014-10-10
Kim Jong-Un,Rally opposition against,North Korea,2014-07-09
Kim Jong-Un,Make a visit,North Korea,2014-06-02
Kim Jong-Un,Make pessimistic comment,North Korea,2014-01-07
Kim Jong-Un,Make an appeal or request,North Korea,2014-01-04
Kim Jong-Un,Make a visit,North Korea,2014-05-15
Kim Jong-Un,Make a visit,North Korea,2014-09-26
Kim Jong-Un,Make a visit,North Korea,2014-10-14
Kim Jong-Un,Make statement,North Korea,2014-01-03
Kim Jong-Un,Make a visit,North Korea,2014-03-10
Kim Jong-Un,Make statement,North Korea,2014-12-31
Kim Jong-Un,Make a visit,North Korea,2014-10-13
Kim Jong-Un,Make statement,North Korea,2014-07-05
Kim Jong-Un,Make a visit,North Korea,2014-12-23
Kim Jong-Un,Make a visit,North Korea,2014-01-01
Kim Jong-Un,Make a visit,North Korea,2014-06-16
Kim Jong-Un,Make statement,North Korea,2014-01-02
Kim Jong-Un,Reject,North Korea,2014-01-01
Kim Jong-Un,Make a visit,North Korea,2014-02-16
Kim Jong-Un,Make statement,North Korea,2014-05-07
Kim Jong-Un,Make a visit,North Korea,2014-07-08
Kim Jong-Un,Make statement,North Korea,2014-05-21
Kim Jong-Un,Make a visit,North Korea,2014-12-25
Kim Jong-Un,Express accord,Sergey Viktorovich Lavrov,2014-11-25
Kim Jong-Un,Consult,Sergey Viktorovich Lavrov,2014-11-20
Kim Jong-Un,Engage in negotiation,Sergey Viktorovich Lavrov,2014-11-20
Kim Jong-Un,Express intent to engage in diplomatic cooperation (such as policy support),Sergey Viktorovich Lavrov,2014-11-20
Kim Jong-Un,Accuse,South Korea,2014-04-08
Kim Jong-Un,Demand diplomatic cooperation (such as policy support),South Korea,2014-01-01
Kim Jong-Un,Appeal for diplomatic cooperation (such as policy support),South Korea,2014-02-06
Kim Jong-Un,Make a visit,South Korea,2014-10-04
Kim Jong-Un,Appeal for diplomatic cooperation (such as policy support),South Korea,2014-01-02
Kim Jong-Un,Criticize or denounce,South Korea,2014-04-20
Kim Jong-Un,Appeal for diplomatic cooperation (such as policy support),South Korea,2014-01-01
Kim Jong-Un,Make a visit,South Korea,2014-06-20
Kim Jong-Un,Accuse,South Korea,2014-01-03
Kim Jong-Un,Consult,South Korea,2014-10-07
Kim Jong-Un,Make an appeal or request,South Korea,2014-02-11
Kim Jong-Un,Engage in diplomatic cooperation,South Korea,2014-01-03
Kim Jong-Un,Engage in diplomatic cooperation,South Korea,2014-01-04
Kim Jong-Un,Criticize or denounce,South Korea,2014-01-02
Kim Jong-Un,Criticize or denounce,South Korea,2014-07-27
Kim Jong-Un,Make a visit,South Korea,2014-10-13
Kim Jong-Un,Impose administrative sanctions,South Korea,2014-10-13
Kim Jong-Un,Accuse,South Korea,2014-01-05
Kim Jong-Un,Make statement,South Korea,2014-04-02
Kim Jong-Un,Make a visit,South Korea,2014-06-30
Kim Jong-Un,Consult,Xi Jinping,2014-10-01
Kim Jong-Un,Consult,Xi Jinping,2014-11-13
Kim Jong-Un,Praise or endorse,Xi Jinping,2014-10-01
Kimani Wamatangi,Consult,Citizen (Kenya),2014-12-19
Kimani Wamatangi,Appeal for change in leadership,Citizen (Kenya),2014-09-25
Kimani Wamatangi,Make an appeal or request,Citizen (Kenya),2014-12-19
Kimani Wamatangi,Make an appeal or request,Citizen (Kenya),2014-12-24
Kimani Wamatangi,Praise or endorse,Governor (Kenya),2014-08-25
Kimani Wamatangi,Make statement,Governor (Kenya),2014-10-06
Kisii,Demand,Citizen (Kenya),2014-08-19
Kisii,Express intent to engage in diplomatic cooperation (such as policy support),Citizen (Kenya),2014-11-14
Kisii,Express intent to cooperate,Citizen (Kenya),2014-01-30
Kisii,"Arrest, detain, or charge with legal action",Citizen (Kenya),2014-04-18
Kisii,Make an appeal or request,Citizen (Kenya),2014-07-29
Kivutha Kibwana,Threaten,Government (Kenya),2014-09-04
Kivutha Kibwana,Demand change in leadership,Government (Kenya),2014-09-04
Kivutha Kibwana,Make statement,Government (Kenya),2014-03-12
Kivutha Kibwana,Make statement,Government (Kenya),2014-03-20
Klaus Johannis,Make statement,Legislature (Romania),2014-11-12
Klaus Johannis,Make an appeal or request,Legislature (Romania),2014-11-17
Klaus Johannis,Express intent to meet or negotiate,Ministry (Romania),2014-02-11
Klaus Johannis,Make statement,Ministry (Romania),2014-10-31
Klaus Johannis,Make statement,National Liberal Party,2014-06-03
Klaus Johannis,Make statement,National Liberal Party,2014-11-20
Klaus Johannis,Make statement,National Liberal Party,2014-06-13
Klaus Johannis,Make statement,National Liberal Party,2014-06-02
Klaus Johannis,Make statement,National Liberal Party,2014-11-18
Klaus Johannis,Make statement,National Liberal Party,2014-07-01
Klaus Johannis,Make statement,Romania,2014-02-11
Klaus Johannis,Make statement,Romania,2014-11-11
Klaus Johannis,Make a visit,Romania,2014-10-24
Klaus Johannis,Make optimistic comment,Romania,2014-12-22
Klaus Johannis,Make statement,Romania,2014-09-04
Klaus Johannis,Make statement,Romania,2014-11-18
Klaus Johannis,Make statement,Romania,2014-10-31
Klaus Johannis,Make a visit,Romania,2014-05-17
Klaus Johannis,Make statement,Romania,2014-10-14
Klaus Johannis,Make statement,Senate (Romania),2014-12-21
Klaus Johannis,Make statement,Senate (Romania),2014-12-22
Klaus Johannis,Consult,Victor Ponta,2014-12-29
Klaus Johannis,Make an appeal or request,Victor Ponta,2014-10-14
Klaus Johannis,Make statement,Victor Ponta,2014-02-25
Klaus Johannis,Accuse,Victor Ponta,2014-11-12
Klaus Johannis,Make statement,Victor Ponta,2014-11-13
Klaus Johannis,Discuss by telephone,Victor Ponta,2014-11-16
Klaus Johannis,Make an appeal or request,Victor Ponta,2014-11-12
Klaus Johannis,Express intent to meet or negotiate,Victor Ponta,2014-12-22
Klaus Johannis,Make statement,Victor Ponta,2014-08-21
Klaus Johannis,Engage in negotiation,Victor Ponta,2014-11-11
Klaus Johannis,Accuse,Victor Ponta,2014-10-23
Klaus Johannis,Make an appeal or request,Victor Ponta,2014-11-04
Klaus Johannis,Make an appeal or request,Victor Ponta,2014-11-11
Klaus Johannis,Reject,Victor Ponta,2014-11-04
Klaus Johannis,Make an appeal or request,Victor Ponta,2014-12-22
Kober prison,"Return, release person(s)",Citizen (Sudan),2014-02-20
Kober prison,"Arrest, detain, or charge with legal action",Citizen (Sudan),2014-01-10
Kober prison,"Arrest, detain, or charge with legal action",Citizen (Sudan),2014-06-30
Kofi Annan,Make a visit,Iran,2014-01-29
Kofi Annan,Engage in negotiation,Iran,2014-01-31
Kofi Annan,Make a visit,Iran,2014-01-28
Kofi Annan,Praise or endorse,Iran,2014-01-30
Kofi Annan,Make statement,Iran,2014-01-25
Kofi Annan,Engage in negotiation,Iran,2014-01-26
Kofi Annan,Make a visit,Iran,2014-01-30
Kofi Annan,Make statement,Iran,2014-01-31
Kofi Annan,Make statement,Iran,2014-01-28
Kofi Annan,Consult,Mohammad Javad Zarif,2014-01-28
Kofi Annan,Consult,Mohammad Javad Zarif,2014-01-30
Konstantin Dolgov,Make statement,Foreign Affairs (Russia),2014-06-08
Konstantin Dolgov,Make statement,Foreign Affairs (Russia),2014-11-20
Konstantin Dolgov,Make statement,Foreign Affairs (Russia),2014-12-11
Konstantin Dolgov,Consult,Foreign Affairs (Russia),2014-11-06
Koya Nishikawa,Consult,Andrew Robb,2014-03-17
Koya Nishikawa,Make statement,Andrew Robb,2014-02-24
Koya Nishikawa,Make a visit,Myanmar,2014-09-19
Koya Nishikawa,Express intent to meet or negotiate,Myanmar,2014-09-19
Kozo Watanabe,Make statement,Your Party,2014-11-19
Kozo Watanabe,Make statement,Your Party,2014-03-28
Kundy Pahiama,Make statement,Angola,2014-02-04
Kundy Pahiama,Make a visit,Angola,2014-03-16
Kundy Pahiama,Praise or endorse,Joao Lourenco,2014-08-19
Kundy Pahiama,Consult,Joao Lourenco,2014-08-20
Kundy Pahiama,Consult,Ministry (Angola),2014-04-25
Kundy Pahiama,Consult,Ministry (Angola),2014-07-25
Kuomintang,Make an appeal or request,China,2014-09-30
Kuomintang,Make a visit,China,2014-06-25
Kuomintang,Consult,Ma Ying Jeou,2014-08-06
Kuomintang,Express intent to cooperate,Ma Ying Jeou,2014-04-28
Kuomintang,Express intent to cooperate,Ma Ying Jeou,2014-03-20
Kuomintang,Discuss by telephone,Ma Ying Jeou,2014-11-25
Kuomintang,Express intent to cooperate,Ma Ying Jeou,2014-04-27
Kuomintang,Express intent to cooperate,Ma Ying Jeou,2014-03-19
Kuomintang,Criticize or denounce,Ma Ying Jeou,2014-06-19
Kurdistan Islamic Union,Consult,Massoud Barzani,2014-12-30
Kurdistan Islamic Union,Praise or endorse,Massoud Barzani,2014-12-30
Kuwait,Host a visit,Abdullah Gül,2014-04-01
Kuwait,Host a visit,Abdullah Gül,2014-04-06
Kuwait,Host a visit,Abdullah Gül,2014-04-03
Kuwait,Host a visit,Abdullah Gül,2014-04-02
Kuwait,Host a visit,Abdullah Gül,2014-04-05
Kuwait,Host a visit,Adli Mansour,2014-03-24
Kuwait,Host a visit,Adli Mansour,2014-03-26
Kuwait,Mediate,Bahrain,2014-11-13
Kuwait,Engage in diplomatic cooperation,Bahrain,2014-12-24
Kuwait,Meet at a 'third' location,Bahrain,2014-12-10
Kuwait,Host a visit,Catherine Ashton,2014-01-14
Kuwait,Host a visit,Catherine Ashton,2014-01-16
Kuwait,Host a visit,Catherine Ashton,2014-01-13
Kuwait,Sign formal agreement,China,2014-06-04
Kuwait,Praise or endorse,China,2014-06-04
Kuwait,Consult,Foreign Affairs (Kuwait),2014-10-22
Kuwait,Express intent to engage in diplomatic cooperation (such as policy support),Foreign Affairs (Kuwait),2014-09-25
Kuwait,Engage in diplomatic cooperation,Iran,2014-02-14
Kuwait,Express intent to meet or negotiate,Iran,2014-09-22
Kuwait,Engage in diplomatic cooperation,Iran,2014-11-27
Kuwait,Make statement,Iran,2014-06-18
Kuwait,Consult,Iran,2014-09-23
Kuwait,Engage in diplomatic cooperation,Iran,2014-11-10
Kuwait,Engage in diplomatic cooperation,Iran,2014-11-25
Kuwait,Make optimistic comment,Iran,2014-06-05
Kuwait,Sign formal agreement,Iran,2014-06-05
Kuwait,Engage in diplomatic cooperation,Iran,2014-02-12
Kuwait,Express intent to cooperate,Iran,2014-06-18
Kuwait,Consult,Iran,2014-08-13
Kuwait,Sign formal agreement,Iran,2014-06-01
Kuwait,Make a visit,Iran,2014-06-01
Kuwait,Praise or endorse,Iran,2014-09-09
Kuwait,Cooperate economically,Iran,2014-06-03
Kuwait,Consult,Iran,2014-07-09
Kuwait,Sign formal agreement,Iran,2014-06-02
Kuwait,Express intent to meet or negotiate,Iran,2014-05-23
Kuwait,Make pessimistic comment,Iran,2014-03-14
Kuwait,Engage in negotiation,Iran,2014-06-03
Kuwait,Praise or endorse,Iraq,2014-07-09
Kuwait,Engage in diplomatic cooperation,Iraq,2014-11-04
Kuwait,Engage in diplomatic cooperation,Iraq,2014-11-02
Kuwait,Engage in diplomatic cooperation,Iraq,2014-12-28
Kuwait,Consult,Iraq,2014-12-28
Kuwait,Consult,Iraq,2014-10-23
Kuwait,Express intent to engage in diplomatic cooperation (such as policy support),Iraq,2014-12-04
Kuwait,Consult,Juan Carlos I,2014-04-15
Kuwait,Host a visit,Juan Carlos I,2014-04-15
Kuwait,Provide economic aid,Mauritania,2014-09-25
Kuwait,Express intent to cooperate,Mauritania,2014-05-22
Kuwait,Meet at a 'third' location,Oman,2014-12-10
Kuwait,Engage in negotiation,Oman,2014-07-08
Kuwait,Reduce or break diplomatic relations,Qatar,2014-03-23
Kuwait,Mediate,Qatar,2014-11-13
Kuwait,Express intent to mediate,Qatar,2014-03-06
Kuwait,Consult,Qatar,2014-09-15
Kuwait,Engage in diplomatic cooperation,Qatar,2014-04-23
Kuwait,Make a visit,Qatar,2014-11-10
Kuwait,Sign formal agreement,Tajikistan,2014-11-23
Kuwait,Engage in diplomatic cooperation,Tajikistan,2014-11-24
Kuwait,Engage in diplomatic cooperation,Tajikistan,2014-05-02
Kuwait,Meet at a 'third' location,United Arab Emirates,2014-12-10
Kuwait,Consult,United Arab Emirates,2014-04-07
Kuwait,Consult,United Arab Emirates,2014-04-02
Kuwait,Consult,United Arab Emirates,2014-09-15
Kuwait,Consult,United Arab Emirates,2014-11-03
Kuwait,Engage in negotiation,United Arab Emirates,2014-07-08
Kuwait,Consult,United Arab Emirates,2014-04-04
Kyriakos Gerontopoulos,Consult,Indigenous People (Greece),2014-05-09
Kyriakos Gerontopoulos,Express intent to meet or negotiate,Indigenous People (Greece),2014-06-18
Kyriakos Gerontopoulos,Consult,Nicos Anastasiades,2014-08-26
Kyriakos Gerontopoulos,Make a visit,Nicos Anastasiades,2014-08-25
Kyriakos Gerontopoulos,Make a visit,Romania,2014-10-21
Kyriakos Gerontopoulos,Express intent to meet or negotiate,Romania,2014-10-20
Kyriakos Gerontopoulos,Make a visit,Romania,2014-10-23
Kyung-wha Kang,Make a visit,Ethiopia,2014-11-26
Kyung-wha Kang,Make a visit,Ethiopia,2014-12-05
Kyung-wha Kang,Make a visit,Myanmar,2014-06-18
Kyung-wha Kang,Make a visit,Myanmar,2014-06-24
Kyung-wha Kang,Make a visit,Myanmar,2014-06-17
Kyung-wha Kang,Make a visit,Myanmar,2014-06-20
Labaran Maku,Make an appeal or request,Citizen (Nigeria),2014-09-22
Labaran Maku,Make an appeal or request,Citizen (Nigeria),2014-06-25
Labaran Maku,Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria),2014-06-09
Labaran Maku,Make an appeal or request,Citizen (Nigeria),2014-02-17
Labaran Maku,Make an appeal or request,Citizen (Nigeria),2014-05-28
Labaran Maku,Make an appeal or request,Citizen (Nigeria),2014-05-29
Labaran Maku,Praise or endorse,Citizen (Nigeria),2014-02-03
Labaran Maku,Make an appeal or request,Citizen (Nigeria),2014-06-09
Labaran Maku,Make an appeal or request,Daily Trust,2014-02-24
Labaran Maku,Make statement,Daily Trust,2014-09-05
Labaran Maku,Make statement,Government (Nigeria),2014-05-28
Labaran Maku,Make an appeal or request,Government (Nigeria),2014-07-14
Labaran Maku,Make statement,Government (Nigeria),2014-04-16
Labaran Maku,Make statement,Government (Nigeria),2014-05-12
Labaran Maku,Make statement,Government (Nigeria),2014-01-03
Labaran Maku,Make statement,Government (Nigeria),2014-02-06
Labaran Maku,Make statement,Government (Nigeria),2014-03-03
Labor Department (India),Yield,Citizen (India),2014-08-11
Labor Department (India),Make an appeal or request,Citizen (India),2014-02-16
Labor Party (United Kingdom),Express intent to ease administrative sanctions,Citizen (United Kingdom),2014-03-26
Labor Party (United Kingdom),Threaten,Citizen (United Kingdom),2014-08-28
Labor Union (Bahrain),Consult,Business (Bahrain),2014-07-01
Labor Union (Bahrain),Sign formal agreement,Business (Bahrain),2014-10-29
Labor Union (Bahrain),Praise or endorse,Labor and Employment Ministry (Bahrain),2014-10-29
Labor Union (Bahrain),Consult,Labor and Employment Ministry (Bahrain),2014-07-25
Labor Union (Brazil),Reject,Citizen (Brazil),2014-06-19
Labor Union (Brazil),Deny responsibility,Citizen (Brazil),2014-06-19
Labor Union (Brazil),Accuse,Citizen (Brazil),2014-11-28
Labor Union (Bulgaria),Demand,Business (Bulgaria),2014-07-08
Labor Union (Bulgaria),Sign formal agreement,Business (Bulgaria),2014-09-23
Labor Union (Bulgaria),Consult,Business (Bulgaria),2014-07-09
Labor Union (Bulgaria),Consult,Business (Bulgaria),2014-07-08
Labor Union (Canada),Consult,Canada,2014-06-14
Labor Union (Canada),Make statement,Canada,2014-09-03
Labor Union (Canada),Make statement,Canada,2014-03-05
Labor Union (Canada),Make statement,Canada,2014-11-10
Labor Union (Canada),Criticize or denounce,Tim Hudak,2014-06-05
Labor Union (Canada),Criticize or denounce,Tim Hudak,2014-06-06
Labor Union (Croatia),Consult,Business (Croatia),2014-03-25
Labor Union (Croatia),Make an appeal or request,Business (Croatia),2014-02-03
Labor Union (Croatia),Demonstrate or rally,Government (Croatia),2014-02-07
Labor Union (Croatia),Sign formal agreement,Government (Croatia),2014-02-28
Labor Union (Croatia),Threaten,Government (Croatia),2014-02-26
Labor Union (Croatia),Consult,Government (Croatia),2014-03-25
Labor Union (Croatia),Make optimistic comment,Government (Croatia),2014-02-10
Labor Union (Croatia),Praise or endorse,Government (Croatia),2014-09-04
Labor Union (India),Make an appeal or request,Citizen (India),2014-01-06
Labor Union (India),Threaten,Citizen (India),2014-07-17
Labor Union (India),Appeal to others to meet or negotiate,Citizen (India),2014-11-22
Labor Union (India),"Threaten with political dissent, protest",Citizen (India),2014-01-06
Labor Union (India),Make an appeal or request,Citizen (India),2014-10-31
Labor Union (India),Criticize or denounce,Citizen (India),2014-04-25
Labor Union (India),Use conventional military force,Citizen (India),2014-07-22
Labor Union (India),Make an appeal or request,Citizen (India),2014-04-27
Labor Union (India),Express intent to provide material aid,Citizen (India),2014-04-05
Labor Union (India),"Demand meeting, negotiation",Citizen (India),2014-06-08
Labor Union (India),Complain officially,Citizen (India),2014-09-24
Labor Union (India),Accuse,Citizen (India),2014-09-18
Labor Union (India),Make an appeal or request,Citizen (India),2014-12-11
Labor Union (India),Express intent to provide economic aid,Citizen (India),2014-10-06
Labor Union (India),Make an appeal or request,Citizen (India),2014-04-26
Labor Union (India),Threaten,Citizen (India),2014-11-11
Labor Union (India),Praise or endorse,Election Commission (India),2014-03-22
Labor Union (India),Appeal for change in leadership,Election Commission (India),2014-04-26
Labor Union (India),Praise or endorse,Employee (India),2014-01-31
Labor Union (India),Make statement,Employee (India),2014-11-23
Labor Union (India),Make statement,Employee (India),2014-08-12
Labor Union (India),Consult,Governor (India),2014-12-26
Labor Union (India),Discuss by telephone,Governor (India),2014-07-01
Labor Union (India),Make an appeal or request,Governor (India),2014-06-19
Labor Union (India),Criticize or denounce,Head of Government (India),2014-08-31
Labor Union (India),Demonstrate or rally,Head of Government (India),2014-09-10
Labor Union (India),Make an appeal or request,Indigenous People (India),2014-02-14
Labor Union (India),Make an appeal or request,Indigenous People (India),2014-02-15
Labor Union (Mexico),Rally support on behalf of,Student (Mexico),2014-11-12
Labor Union (Mexico),Rally support on behalf of,Student (Mexico),2014-11-11
Labor Union (Nigeria),Accuse,Citizen (Nigeria),2014-08-15
Labor Union (Nigeria),Accuse,Citizen (Nigeria),2014-04-21
