relation i,relation j,#evolve,#rel_i,P one direction,P two direction
Demand military aid,Appeal for release of persons or property,0,2,0.0,0.0
Appeal for release of persons or property,Seize or damage property,0,30,0.0,0.0
Seize or damage property,Appeal for release of persons or property,0,8,0.0,0.0
Appeal for release of persons or property,Appeal for rights,0,30,0.0,0.0
Appeal for rights,Appeal for release of persons or property,0,9,0.0,0.0
Appeal for release of persons or property,Reject request for military protection or peacekeeping,0,30,0.0,0.0
Reject request for military protection or peacekeeping,Appeal for release of persons or property,0,1,0.0,0.0
Appeal for release of persons or property,Reject military cooperation,1,30,0.03333333333333333,0.030303030303030304
Reject military cooperation,Appeal for release of persons or property,0,3,0.0,0.030303030303030304
Appeal for release of persons or property,Threaten to reduce or stop aid,0,30,0.0,0.0
Threaten to reduce or stop aid,Appeal for release of persons or property,0,4,0.0,0.0
Appeal for release of persons or property,Demand release of persons or property,0,30,0.0,0.0
Demand release of persons or property,Appeal for release of persons or property,0,5,0.0,0.0
Appeal for release of persons or property,"Threaten with political dissent, protest",0,30,0.0,0.0
"Threaten with political dissent, protest",Appeal for release of persons or property,0,5,0.0,0.0
Appeal for release of persons or property,Carry out car bombing,0,30,0.0,0.0
Carry out car bombing,Appeal for release of persons or property,0,1,0.0,0.0
Appeal for release of persons or property,Carry out roadside bombing,0,30,0.0,0.0
Carry out roadside bombing,Appeal for release of persons or property,0,1,0.0,0.0
Appeal for release of persons or property,Use as human shield,0,30,0.0,0.0
Use as human shield,Appeal for release of persons or property,0,1,0.0,0.0
Appeal for release of persons or property,Threaten to halt mediation,0,30,0.0,0.0
Threaten to halt mediation,Appeal for release of persons or property,0,1,0.0,0.0
Appeal for release of persons or property,Express intent to institute political reform,0,30,0.0,0.0
Express intent to institute political reform,Appeal for release of persons or property,0,1,0.0,0.0
Appeal for release of persons or property,Forgive,0,30,0.0,0.0
Forgive,Appeal for release of persons or property,0,3,0.0,0.0
Appeal for release of persons or property,Investigate human rights abuses,0,30,0.0,0.0
Investigate human rights abuses,Appeal for release of persons or property,0,3,0.0,0.0
Appeal for release of persons or property,"Appeal for easing of economic sanctions, boycott, or embargo",0,30,0.0,0.0
"Appeal for easing of economic sanctions, boycott, or embargo",Appeal for release of persons or property,0,1,0.0,0.0
Appeal for release of persons or property,Threaten to halt negotiations,0,30,0.0,0.0
Threaten to halt negotiations,Appeal for release of persons or property,0,1,0.0,0.0
Appeal for release of persons or property,Engage in judicial cooperation,2,30,0.06666666666666667,0.05
Engage in judicial cooperation,Appeal for release of persons or property,0,10,0.0,0.05
Appeal for release of persons or property,Expel or withdraw,0,30,0.0,0.0
Expel or withdraw,Appeal for release of persons or property,0,1,0.0,0.0
Appeal for release of persons or property,Engage in mass expulsion,0,30,0.0,0.0
Engage in mass expulsion,Appeal for release of persons or property,0,1,0.0,0.0
Appeal for release of persons or property,Engage in violent protest for rights,0,30,0.0,0.0
Engage in violent protest for rights,Appeal for release of persons or property,0,1,0.0,0.0
Appeal for release of persons or property,Ease military blockade,0,30,0.0,0.0
Ease military blockade,Appeal for release of persons or property,0,3,0.0,0.0
Appeal for release of persons or property,Demonstrate for policy change,0,30,0.0,0.0
Demonstrate for policy change,Appeal for release of persons or property,0,4,0.0,0.0
Appeal for release of persons or property,Obstruct passage to demand leadership change,0,30,0.0,0.0
Obstruct passage to demand leadership change,Appeal for release of persons or property,0,2,0.0,0.0
Appeal for release of persons or property,Reject judicial cooperation,0,30,0.0,0.0
Reject judicial cooperation,Appeal for release of persons or property,0,1,0.0,0.0
Accuse of war crimes,Appeal for easing of administrative sanctions,0,7,0.0,0.0
Appeal for easing of administrative sanctions,Accuse of war crimes,0,13,0.0,0.0
Accuse of war crimes,Demand easing of administrative sanctions,0,7,0.0,0.0
Demand easing of administrative sanctions,Accuse of war crimes,0,4,0.0,0.0
Accuse of war crimes,Accuse of human rights abuses,0,7,0.0,0.0
Accuse of human rights abuses,Accuse of war crimes,0,39,0.0,0.0
Accuse of war crimes,Appeal for political reform,0,7,0.0,0.0
Appeal for political reform,Accuse of war crimes,0,3,0.0,0.0
Accuse of war crimes,Provide military aid,0,7,0.0,0.0
Provide military aid,Accuse of war crimes,0,88,0.0,0.0
Accuse of war crimes,Refuse to ease administrative sanctions,0,7,0.0,0.0
Refuse to ease administrative sanctions,Accuse of war crimes,0,8,0.0,0.0
Accuse of war crimes,Provide humanitarian aid,0,7,0.0,0.0
Provide humanitarian aid,Accuse of war crimes,0,252,0.0,0.0
Accuse of war crimes,Physically assault,0,7,0.0,0.0
Physically assault,Accuse of war crimes,0,191,0.0,0.0
Accuse of war crimes,Mobilize or increase armed forces,0,7,0.0,0.0
Mobilize or increase armed forces,Accuse of war crimes,0,169,0.0,0.0
Accuse of war crimes,Carry out suicide bombing,0,7,0.0,0.0
Carry out suicide bombing,Accuse of war crimes,0,76,0.0,0.0
Accuse of war crimes,"Conduct suicide, car, or other non-military bombing",1,7,0.14285714285714285,0.013157894736842105
"Conduct suicide, car, or other non-military bombing",Accuse of war crimes,0,69,0.0,0.013157894736842105
Accuse of war crimes,"Protest violently, riot",0,7,0.0,0.0
"Protest violently, riot",Accuse of war crimes,0,276,0.0,0.0
Accuse of war crimes,Assassinate,0,7,0.0,0.0
Assassinate,Accuse of war crimes,0,44,0.0,0.0
Accuse of war crimes,Kill by physical assault,0,7,0.0,0.0
Kill by physical assault,Accuse of war crimes,0,80,0.0,0.0
Accuse of war crimes,Impose administrative sanctions,0,7,0.0,0.0
Impose administrative sanctions,Accuse of war crimes,0,133,0.0,0.0
Accuse of war crimes,Confiscate property,0,7,0.0,0.0
Confiscate property,Accuse of war crimes,0,138,0.0,0.0
Accuse of war crimes,Express accord,0,7,0.0,0.0
Express accord,Accuse of war crimes,0,79,0.0,0.0
Accuse of war crimes,Retreat or surrender militarily,0,7,0.0,0.0
Retreat or surrender militarily,Accuse of war crimes,0,55,0.0,0.0
Accuse of war crimes,Express intent to cooperate economically,1,7,0.14285714285714285,0.01
Express intent to cooperate economically,Accuse of war crimes,0,93,0.0,0.01
Accuse of war crimes,Express intent to change policy,0,7,0.0,0.0
Express intent to change policy,Accuse of war crimes,0,2,0.0,0.0
Accuse of war crimes,Appeal for economic aid,0,7,0.0,0.0
Appeal for economic aid,Accuse of war crimes,0,23,0.0,0.0
Accuse of war crimes,Appeal for aid,0,7,0.0,0.0
Appeal for aid,Accuse of war crimes,0,22,0.0,0.0
Accuse of war crimes,Appeal for de-escalation of military engagement,0,7,0.0,0.0
Appeal for de-escalation of military engagement,Accuse of war crimes,0,34,0.0,0.0
Accuse of war crimes,Defend verbally,0,7,0.0,0.0
Defend verbally,Accuse of war crimes,0,25,0.0,0.0
Accuse of war crimes,Coerce,0,7,0.0,0.0
Coerce,Accuse of war crimes,0,95,0.0,0.0
Accuse of war crimes,Accede to demands for change in policy,0,7,0.0,0.0
Accede to demands for change in policy,Accuse of war crimes,0,2,0.0,0.0
Accuse of war crimes,Engage in material cooperation,0,7,0.0,0.0
Engage in material cooperation,Accuse of war crimes,0,83,0.0,0.0
Accuse of war crimes,Sexually assault,0,7,0.0,0.0
Sexually assault,Accuse of war crimes,0,112,0.0,0.0
Accuse of war crimes,Express intent to provide economic aid,0,7,0.0,0.0
Express intent to provide economic aid,Accuse of war crimes,0,70,0.0,0.0
Accuse of war crimes,Decline comment,0,7,0.0,0.0
Decline comment,Accuse of war crimes,0,22,0.0,0.0
Accuse of war crimes,Provide economic aid,0,7,0.0,0.0
Provide economic aid,Accuse of war crimes,0,71,0.0,0.0
Accuse of war crimes,Express intent to accept mediation,0,7,0.0,0.0
Express intent to accept mediation,Accuse of war crimes,0,8,0.0,0.0
Accuse of war crimes,Appeal for judicial cooperation,0,7,0.0,0.0
Appeal for judicial cooperation,Accuse of war crimes,0,23,0.0,0.0
Accuse of war crimes,Express intent to de-escalate military engagement,0,7,0.0,0.02631578947368421
Express intent to de-escalate military engagement,Accuse of war crimes,1,31,0.03225806451612903,0.02631578947368421
Accuse of war crimes,Grant diplomatic recognition,0,7,0.0,0.0
Grant diplomatic recognition,Accuse of war crimes,0,53,0.0,0.0
Accuse of war crimes,Apologize,0,7,0.0,0.0
Apologize,Accuse of war crimes,0,33,0.0,0.0
Accuse of war crimes,Express intent to provide military aid,0,7,0.0,0.0
Express intent to provide military aid,Accuse of war crimes,0,92,0.0,0.0
Accuse of war crimes,"Refuse to ease economic sanctions, boycott, or embargo",0,7,0.0,0.0
"Refuse to ease economic sanctions, boycott, or embargo",Accuse of war crimes,0,4,0.0,0.0
Accuse of war crimes,Appeal for material cooperation,1,7,0.14285714285714285,0.058823529411764705
Appeal for material cooperation,Accuse of war crimes,0,10,0.0,0.058823529411764705
Accuse of war crimes,Express intent to mediate,0,7,0.0,0.0
Express intent to mediate,Accuse of war crimes,0,14,0.0,0.0
Accuse of war crimes,Accuse of aggression,0,7,0.0,0.14285714285714285
Accuse of aggression,Accuse of war crimes,2,7,0.2857142857142857,0.14285714285714285
Accuse of war crimes,Demand settling of dispute,0,7,0.0,0.0
Demand settling of dispute,Accuse of war crimes,0,5,0.0,0.0
Accuse of war crimes,"Express intent to ease economic sanctions, boycott, or embargo",0,7,0.0,0.0
"Express intent to ease economic sanctions, boycott, or embargo",Accuse of war crimes,0,18,0.0,0.0
Accuse of war crimes,Mobilize or increase police power,0,7,0.0,0.0
Mobilize or increase police power,Accuse of war crimes,0,25,0.0,0.0
Accuse of war crimes,Demonstrate military or police power,0,7,0.0,0.0
Demonstrate military or police power,Accuse of war crimes,0,30,0.0,0.0
Accuse of war crimes,"Demand change in institutions, regime",0,7,0.0,0.0
"Demand change in institutions, regime",Accuse of war crimes,0,8,0.0,0.0
Accuse of war crimes,Express intent to cooperate militarily,0,7,0.0,0.0
Express intent to cooperate militarily,Accuse of war crimes,0,14,0.0,0.0
Accuse of war crimes,Reduce or stop military assistance,0,7,0.0,0.0
Reduce or stop military assistance,Accuse of war crimes,0,8,0.0,0.0
Accuse of war crimes,"Defy norms, law",0,7,0.0,0.0
"Defy norms, law",Accuse of war crimes,0,57,0.0,0.0
Accuse of war crimes,Demand that target yields,0,7,0.0,0.0
Demand that target yields,Accuse of war crimes,0,8,0.0,0.0
Accuse of war crimes,Threaten non-force,0,7,0.0,0.0
Threaten non-force,Accuse of war crimes,0,10,0.0,0.0
Accuse of war crimes,"Ease economic sanctions, boycott, embargo",0,7,0.0,0.0
"Ease economic sanctions, boycott, embargo",Accuse of war crimes,0,21,0.0,0.0
Accuse of war crimes,Impose state of emergency or martial law,0,7,0.0,0.0
Impose state of emergency or martial law,Accuse of war crimes,0,12,0.0,0.0
Accuse of war crimes,Ease state of emergency or martial law,0,7,0.0,0.0
Ease state of emergency or martial law,Accuse of war crimes,0,1,0.0,0.0
Accuse of war crimes,"Accede to demands for change in institutions, regime",0,7,0.0,0.0
"Accede to demands for change in institutions, regime",Accuse of war crimes,0,3,0.0,0.0
Accuse of war crimes,Express intent to yield,0,7,0.0,0.0
Express intent to yield,Accuse of war crimes,0,8,0.0,0.0
Accuse of war crimes,Share intelligence or information,0,7,0.0,0.0
Share intelligence or information,Accuse of war crimes,0,38,0.0,0.0
Accuse of war crimes,"Accuse of espionage, treason",0,7,0.0,0.0
"Accuse of espionage, treason",Accuse of war crimes,0,14,0.0,0.0
Accuse of war crimes,Receive inspectors,0,7,0.0,0.0
Receive inspectors,Accuse of war crimes,0,2,0.0,0.0
Accuse of war crimes,Increase military alert status,0,7,0.0,0.0
Increase military alert status,Accuse of war crimes,0,27,0.0,0.0
Accuse of war crimes,Attempt to assassinate,0,7,0.0,0.0
Attempt to assassinate,Accuse of war crimes,0,11,0.0,0.0
Accuse of war crimes,Refuse to yield,0,7,0.0,0.0
Refuse to yield,Accuse of war crimes,0,37,0.0,0.0
Accuse of war crimes,Veto,0,7,0.0,0.0
Veto,Accuse of war crimes,0,6,0.0,0.0
Accuse of war crimes,Complain officially,0,7,0.0,0.0
Complain officially,Accuse of war crimes,0,109,0.0,0.0
Accuse of war crimes,Reduce or stop economic assistance,0,7,0.0,0.0
Reduce or stop economic assistance,Accuse of war crimes,0,8,0.0,0.0
Accuse of war crimes,"Impose blockade, restrict movement",0,7,0.0,0.0
"Impose blockade, restrict movement",Accuse of war crimes,0,18,0.0,0.0
Accuse of war crimes,Express intent to provide military protection or peacekeeping,0,7,0.0,0.0
Express intent to provide military protection or peacekeeping,Accuse of war crimes,0,6,0.0,0.0
Accuse of war crimes,Halt mediation,0,7,0.0,0.0
Halt mediation,Accuse of war crimes,0,1,0.0,0.0
Accuse of war crimes,Demand intelligence cooperation,0,7,0.0,0.0
Demand intelligence cooperation,Accuse of war crimes,0,15,0.0,0.0
Accuse of war crimes,Demonstrate for leadership change,0,7,0.0,0.0
Demonstrate for leadership change,Accuse of war crimes,0,27,0.0,0.0
Accuse of war crimes,Conduct hunger strike,0,7,0.0,0.0
Conduct hunger strike,Accuse of war crimes,0,3,0.0,0.0
Accuse of war crimes,Demand mediation,0,7,0.0,0.0
Demand mediation,Accuse of war crimes,0,3,0.0,0.0
Accuse of war crimes,Demand economic aid,0,7,0.0,0.0
Demand economic aid,Accuse of war crimes,0,10,0.0,0.0
Accuse of war crimes,"Demand meeting, negotiation",0,7,0.0,0.0
"Demand meeting, negotiation",Accuse of war crimes,0,15,0.0,0.0
Accuse of war crimes,Appeal for military aid,0,7,0.0,0.0
Appeal for military aid,Accuse of war crimes,0,26,0.0,0.0
Accuse of war crimes,Demand material cooperation,0,7,0.0,0.0
Demand material cooperation,Accuse of war crimes,0,9,0.0,0.0
Accuse of war crimes,"Return, release property",0,7,0.0,0.0
"Return, release property",Accuse of war crimes,0,10,0.0,0.0
Accuse of war crimes,Express intent to engage in material cooperation,0,7,0.0,0.0
Express intent to engage in material cooperation,Accuse of war crimes,0,10,0.0,0.0
Accuse of war crimes,Demand policy change,0,7,0.0,0.0
Demand policy change,Accuse of war crimes,0,2,0.0,0.0
Accuse of war crimes,Reject economic cooperation,0,7,0.0,0.0
Reject economic cooperation,Accuse of war crimes,0,2,0.0,0.0
Accuse of war crimes,Appeal for humanitarian aid,0,7,0.0,0.0
Appeal for humanitarian aid,Accuse of war crimes,0,7,0.0,0.0
Accuse of war crimes,Demand judicial cooperation,0,7,0.0,0.0
Demand judicial cooperation,Accuse of war crimes,0,4,0.0,0.0
Accuse of war crimes,Express intent to ease administrative sanctions,0,7,0.0,0.0
Express intent to ease administrative sanctions,Accuse of war crimes,0,7,0.0,0.0
Accuse of war crimes,Accede to requests or demands for political reform,0,7,0.0,0.0
Accede to requests or demands for political reform,Accuse of war crimes,0,2,0.0,0.0
Accuse of war crimes,Demand rights,0,7,0.0,0.0
Demand rights,Accuse of war crimes,0,2,0.0,0.0
Accuse of war crimes,Appeal to yield,0,7,0.0,0.0
Appeal to yield,Accuse of war crimes,0,7,0.0,0.0
Accuse of war crimes,Demand humanitarian aid,0,7,0.0,0.0
Demand humanitarian aid,Accuse of war crimes,0,1,0.0,0.0
Accuse of war crimes,Demand political reform,0,7,0.0,0.0
Demand political reform,Accuse of war crimes,0,2,0.0,0.0
Accuse of war crimes,Ease curfew,0,7,0.0,0.0
Ease curfew,Accuse of war crimes,0,5,0.0,0.0
Accuse of war crimes,Appeal for policy change,0,7,0.0,0.0
Appeal for policy change,Accuse of war crimes,0,12,0.0,0.0
Accuse of war crimes,Express intent to cooperate on intelligence,0,7,0.0,0.0
Express intent to cooperate on intelligence,Accuse of war crimes,0,8,0.0,0.0
Accuse of war crimes,Demobilize armed forces,0,7,0.0,0.0
Demobilize armed forces,Accuse of war crimes,0,3,0.0,0.0
Accuse of war crimes,Reduce or stop material aid,0,7,0.0,0.0
Reduce or stop material aid,Accuse of war crimes,0,3,0.0,0.0
Accuse of war crimes,"Threaten with sanctions, boycott, embargo",0,7,0.0,0.0
"Threaten with sanctions, boycott, embargo",Accuse of war crimes,0,6,0.0,0.0
Accuse of war crimes,Reduce or stop humanitarian assistance,0,7,0.0,0.0
Reduce or stop humanitarian assistance,Accuse of war crimes,0,4,0.0,0.0
Accuse of war crimes,Refuse to release persons or property,0,7,0.0,0.0
Refuse to release persons or property,Accuse of war crimes,0,19,0.0,0.0
Accuse of war crimes,Destroy property,0,7,0.0,0.0
Destroy property,Accuse of war crimes,0,3,0.0,0.0
Accuse of war crimes,Appeal for military protection or peacekeeping,0,7,0.0,0.0
Appeal for military protection or peacekeeping,Accuse of war crimes,0,1,0.0,0.0
Accuse of war crimes,Ban political parties or politicians,0,7,0.0,0.0
Ban political parties or politicians,Accuse of war crimes,0,7,0.0,0.0
Accuse of war crimes,Grant asylum,0,7,0.0,0.0
Grant asylum,Accuse of war crimes,0,7,0.0,0.0
Accuse of war crimes,Investigate war crimes,0,7,0.0,0.0
Investigate war crimes,Accuse of war crimes,0,1,0.0,0.0
Accuse of war crimes,Accede to demands for rights,0,7,0.0,0.0
Accede to demands for rights,Accuse of war crimes,0,6,0.0,0.0
Accuse of war crimes,Increase police alert status,0,7,0.0,0.0
Increase police alert status,Accuse of war crimes,0,25,0.0,0.0
Accuse of war crimes,Threaten to reduce or break relations,0,7,0.0,0.0
Threaten to reduce or break relations,Accuse of war crimes,0,4,0.0,0.0
Accuse of war crimes,Threaten with repression,0,7,0.0,0.0
Threaten with repression,Accuse of war crimes,0,5,0.0,0.0
Accuse of war crimes,Violate ceasefire,0,7,0.0,0.0
Violate ceasefire,Accuse of war crimes,0,4,0.0,0.0
Accuse of war crimes,Reject request for military aid,0,7,0.0,0.0
Reject request for military aid,Accuse of war crimes,0,1,0.0,0.0
Accuse of war crimes,"Use chemical, biological, or radiological weapons",0,7,0.0,0.0
"Use chemical, biological, or radiological weapons",Accuse of war crimes,0,1,0.0,0.0
Accuse of war crimes,Demand material aid,0,7,0.0,0.0
Demand material aid,Accuse of war crimes,0,1,0.0,0.0
Accuse of war crimes,Express intent to change leadership,0,7,0.0,0.0
Express intent to change leadership,Accuse of war crimes,0,6,0.0,0.0
Accuse of war crimes,Reject material cooperation,0,7,0.0,0.0
Reject material cooperation,Accuse of war crimes,0,3,0.0,0.0
Accuse of war crimes,Appeal for target to allow international involvement (non-mediation),0,7,0.0,0.0
Appeal for target to allow international involvement (non-mediation),Accuse of war crimes,0,1,0.0,0.0
Accuse of war crimes,"Express intent to change institutions, regime",0,7,0.0,0.0
"Express intent to change institutions, regime",Accuse of war crimes,0,1,0.0,0.0
Accuse of war crimes,Demand military aid,0,7,0.0,0.0
Demand military aid,Accuse of war crimes,0,2,0.0,0.0
Accuse of war crimes,Seize or damage property,0,7,0.0,0.0
Seize or damage property,Accuse of war crimes,0,8,0.0,0.0
Accuse of war crimes,Appeal for rights,0,7,0.0,0.0
Appeal for rights,Accuse of war crimes,0,9,0.0,0.0
Accuse of war crimes,Reject request for military protection or peacekeeping,0,7,0.0,0.0
Reject request for military protection or peacekeeping,Accuse of war crimes,0,1,0.0,0.0
Accuse of war crimes,Reject military cooperation,0,7,0.0,0.0
Reject military cooperation,Accuse of war crimes,0,3,0.0,0.0
Accuse of war crimes,Threaten to reduce or stop aid,0,7,0.0,0.0
Threaten to reduce or stop aid,Accuse of war crimes,0,4,0.0,0.0
Accuse of war crimes,Demand release of persons or property,0,7,0.0,0.0
Demand release of persons or property,Accuse of war crimes,0,5,0.0,0.0
Accuse of war crimes,"Threaten with political dissent, protest",0,7,0.0,0.0
"Threaten with political dissent, protest",Accuse of war crimes,0,5,0.0,0.0
Accuse of war crimes,Carry out car bombing,0,7,0.0,0.0
Carry out car bombing,Accuse of war crimes,0,1,0.0,0.0
Accuse of war crimes,Carry out roadside bombing,0,7,0.0,0.0
Carry out roadside bombing,Accuse of war crimes,0,1,0.0,0.0
Accuse of war crimes,Use as human shield,0,7,0.0,0.0
Use as human shield,Accuse of war crimes,0,1,0.0,0.0
Accuse of war crimes,Threaten to halt mediation,0,7,0.0,0.0
Threaten to halt mediation,Accuse of war crimes,0,1,0.0,0.0
Accuse of war crimes,Express intent to institute political reform,0,7,0.0,0.0
Express intent to institute political reform,Accuse of war crimes,0,1,0.0,0.0
Accuse of war crimes,Forgive,0,7,0.0,0.0
Forgive,Accuse of war crimes,0,3,0.0,0.0
Accuse of war crimes,Investigate human rights abuses,0,7,0.0,0.0
Investigate human rights abuses,Accuse of war crimes,0,3,0.0,0.0
Accuse of war crimes,"Appeal for easing of economic sanctions, boycott, or embargo",0,7,0.0,0.0
"Appeal for easing of economic sanctions, boycott, or embargo",Accuse of war crimes,0,1,0.0,0.0
Accuse of war crimes,Threaten to halt negotiations,0,7,0.0,0.0
Threaten to halt negotiations,Accuse of war crimes,0,1,0.0,0.0
Accuse of war crimes,Engage in judicial cooperation,0,7,0.0,0.0
Engage in judicial cooperation,Accuse of war crimes,0,10,0.0,0.0
Accuse of war crimes,Expel or withdraw,0,7,0.0,0.0
Expel or withdraw,Accuse of war crimes,0,1,0.0,0.0
Accuse of war crimes,Engage in mass expulsion,0,7,0.0,0.0
Engage in mass expulsion,Accuse of war crimes,0,1,0.0,0.0
Accuse of war crimes,Engage in violent protest for rights,0,7,0.0,0.0
Engage in violent protest for rights,Accuse of war crimes,0,1,0.0,0.0
Accuse of war crimes,Ease military blockade,0,7,0.0,0.0
Ease military blockade,Accuse of war crimes,0,3,0.0,0.0
Accuse of war crimes,Demonstrate for policy change,0,7,0.0,0.0
Demonstrate for policy change,Accuse of war crimes,0,4,0.0,0.0
Accuse of war crimes,Obstruct passage to demand leadership change,0,7,0.0,0.0
Obstruct passage to demand leadership change,Accuse of war crimes,0,2,0.0,0.0
Accuse of war crimes,Reject judicial cooperation,0,7,0.0,0.0
Reject judicial cooperation,Accuse of war crimes,0,1,0.0,0.0
Appeal for easing of administrative sanctions,Demand easing of administrative sanctions,0,13,0.0,0.0
Demand easing of administrative sanctions,Appeal for easing of administrative sanctions,0,4,0.0,0.0
Appeal for easing of administrative sanctions,Accuse of human rights abuses,0,13,0.0,0.0
Accuse of human rights abuses,Appeal for easing of administrative sanctions,0,39,0.0,0.0
Appeal for easing of administrative sanctions,Appeal for political reform,0,13,0.0,0.0
Appeal for political reform,Appeal for easing of administrative sanctions,0,3,0.0,0.0
Appeal for easing of administrative sanctions,Provide military aid,0,13,0.0,0.0
Provide military aid,Appeal for easing of administrative sanctions,0,88,0.0,0.0
Appeal for easing of administrative sanctions,Refuse to ease administrative sanctions,0,13,0.0,0.0
Refuse to ease administrative sanctions,Appeal for easing of administrative sanctions,0,8,0.0,0.0
Appeal for easing of administrative sanctions,Provide humanitarian aid,0,13,0.0,0.0
Provide humanitarian aid,Appeal for easing of administrative sanctions,0,252,0.0,0.0
Appeal for easing of administrative sanctions,Physically assault,0,13,0.0,0.004901960784313725
Physically assault,Appeal for easing of administrative sanctions,1,191,0.005235602094240838,0.004901960784313725
Appeal for easing of administrative sanctions,Mobilize or increase armed forces,0,13,0.0,0.0
Mobilize or increase armed forces,Appeal for easing of administrative sanctions,0,169,0.0,0.0
Appeal for easing of administrative sanctions,Carry out suicide bombing,0,13,0.0,0.0
Carry out suicide bombing,Appeal for easing of administrative sanctions,0,76,0.0,0.0
Appeal for easing of administrative sanctions,"Conduct suicide, car, or other non-military bombing",0,13,0.0,0.0
"Conduct suicide, car, or other non-military bombing",Appeal for easing of administrative sanctions,0,69,0.0,0.0
Appeal for easing of administrative sanctions,"Protest violently, riot",0,13,0.0,0.0
"Protest violently, riot",Appeal for easing of administrative sanctions,0,276,0.0,0.0
Appeal for easing of administrative sanctions,Assassinate,0,13,0.0,0.0
Assassinate,Appeal for easing of administrative sanctions,0,44,0.0,0.0
Appeal for easing of administrative sanctions,Kill by physical assault,0,13,0.0,0.0
Kill by physical assault,Appeal for easing of administrative sanctions,0,80,0.0,0.0
Appeal for easing of administrative sanctions,Impose administrative sanctions,0,13,0.0,0.0
Impose administrative sanctions,Appeal for easing of administrative sanctions,0,133,0.0,0.0
Appeal for easing of administrative sanctions,Confiscate property,0,13,0.0,0.0
Confiscate property,Appeal for easing of administrative sanctions,0,138,0.0,0.0
Appeal for easing of administrative sanctions,Express accord,0,13,0.0,0.0
Express accord,Appeal for easing of administrative sanctions,0,79,0.0,0.0
Appeal for easing of administrative sanctions,Retreat or surrender militarily,0,13,0.0,0.0
Retreat or surrender militarily,Appeal for easing of administrative sanctions,0,55,0.0,0.0
Appeal for easing of administrative sanctions,Express intent to cooperate economically,0,13,0.0,0.0
Express intent to cooperate economically,Appeal for easing of administrative sanctions,0,93,0.0,0.0
Appeal for easing of administrative sanctions,Express intent to change policy,0,13,0.0,0.0
Express intent to change policy,Appeal for easing of administrative sanctions,0,2,0.0,0.0
Appeal for easing of administrative sanctions,Appeal for economic aid,0,13,0.0,0.05555555555555555
Appeal for economic aid,Appeal for easing of administrative sanctions,2,23,0.08695652173913043,0.05555555555555555
Appeal for easing of administrative sanctions,Appeal for aid,0,13,0.0,0.0
Appeal for aid,Appeal for easing of administrative sanctions,0,22,0.0,0.0
Appeal for easing of administrative sanctions,Appeal for de-escalation of military engagement,0,13,0.0,0.0
Appeal for de-escalation of military engagement,Appeal for easing of administrative sanctions,0,34,0.0,0.0
Appeal for easing of administrative sanctions,Defend verbally,0,13,0.0,0.0
Defend verbally,Appeal for easing of administrative sanctions,0,25,0.0,0.0
Appeal for easing of administrative sanctions,Coerce,0,13,0.0,0.0
Coerce,Appeal for easing of administrative sanctions,0,95,0.0,0.0
Appeal for easing of administrative sanctions,Accede to demands for change in policy,0,13,0.0,0.0
Accede to demands for change in policy,Appeal for easing of administrative sanctions,0,2,0.0,0.0
Appeal for easing of administrative sanctions,Engage in material cooperation,0,13,0.0,0.0
Engage in material cooperation,Appeal for easing of administrative sanctions,0,83,0.0,0.0
Appeal for easing of administrative sanctions,Sexually assault,0,13,0.0,0.0
Sexually assault,Appeal for easing of administrative sanctions,0,112,0.0,0.0
Appeal for easing of administrative sanctions,Express intent to provide economic aid,0,13,0.0,0.0
Express intent to provide economic aid,Appeal for easing of administrative sanctions,0,70,0.0,0.0
Appeal for easing of administrative sanctions,Decline comment,0,13,0.0,0.0
Decline comment,Appeal for easing of administrative sanctions,0,22,0.0,0.0
Appeal for easing of administrative sanctions,Provide economic aid,0,13,0.0,0.0
Provide economic aid,Appeal for easing of administrative sanctions,0,71,0.0,0.0
Appeal for easing of administrative sanctions,Express intent to accept mediation,0,13,0.0,0.0
Express intent to accept mediation,Appeal for easing of administrative sanctions,0,8,0.0,0.0
Appeal for easing of administrative sanctions,Appeal for judicial cooperation,1,13,0.07692307692307693,0.027777777777777776
Appeal for judicial cooperation,Appeal for easing of administrative sanctions,0,23,0.0,0.027777777777777776
Appeal for easing of administrative sanctions,Express intent to de-escalate military engagement,0,13,0.0,0.0
Express intent to de-escalate military engagement,Appeal for easing of administrative sanctions,0,31,0.0,0.0
Appeal for easing of administrative sanctions,Grant diplomatic recognition,0,13,0.0,0.0
Grant diplomatic recognition,Appeal for easing of administrative sanctions,0,53,0.0,0.0
Appeal for easing of administrative sanctions,Apologize,0,13,0.0,0.0
Apologize,Appeal for easing of administrative sanctions,0,33,0.0,0.0
Appeal for easing of administrative sanctions,Express intent to provide military aid,0,13,0.0,0.0
Express intent to provide military aid,Appeal for easing of administrative sanctions,0,92,0.0,0.0
Appeal for easing of administrative sanctions,"Refuse to ease economic sanctions, boycott, or embargo",0,13,0.0,0.0
"Refuse to ease economic sanctions, boycott, or embargo",Appeal for easing of administrative sanctions,0,4,0.0,0.0
Appeal for easing of administrative sanctions,Appeal for material cooperation,0,13,0.0,0.0
Appeal for material cooperation,Appeal for easing of administrative sanctions,0,10,0.0,0.0
Appeal for easing of administrative sanctions,Express intent to mediate,0,13,0.0,0.037037037037037035
Express intent to mediate,Appeal for easing of administrative sanctions,1,14,0.07142857142857142,0.037037037037037035
