,head,relation,tail,time
899,South Korea,Express intent to meet or negotiate,Japan,2009-04-14
900,Japan,Consult,South Korea,2009-04-14
901,Other Authorities / Officials (Mexico),Engage in negotiation,Barack Obama,2009-04-16
902,Barack Obama,Express intent to engage in diplomatic cooperation (such as policy support),Other Authorities / Officials (Mexico),2009-04-16
903,Raúl Castro,Make a visit,Evo Morales,2009-04-17
904,Evo Morales,Host a visit,Raúl Castro,2009-04-17
905,Iran,Make a visit,Eritrea,2009-04-18
906,Eritrea,Host a visit,Iran,2009-04-18
907,Vietnam,Express intent to engage in diplomatic cooperation (such as policy support),China,2009-04-20
908,China,Engage in diplomatic cooperation,Vietnam,2009-04-20
909,Sali Berisha,Express intent to meet or negotiate,China,2009-04-21
910,China,Host a visit,Sali Berisha,2009-04-21
911,Citizen (Thailand),Demonstrate for leadership change,Abhisit Vejjajiva,2009-04-24
912,Abhisit Vejjajiva,Make an appeal or request,Citizen (Thailand),2009-04-24
913,Nuri al-Maliki,Make a visit,France,2009-05-03
914,France,Host a visit,Nuri al-Maliki,2009-05-03
915,China,Express intent to cooperate,Japan,2009-05-04
916,Japan,Grant diplomatic recognition,China,2009-05-04
917,China,Express intent to cooperate,Portugal,2009-05-06
918,Portugal,Praise or endorse,China,2009-05-06
919,Barack Obama,Express intent to meet or negotiate,Shimon Peres,2009-05-06
920,Shimon Peres,Engage in negotiation,Barack Obama,2009-05-06
921,China,Host a visit,Envoy (United States),2009-05-08
922,Lawyer/Attorney (Australia),Consult,Mike Rann,2009-05-08
923,Envoy (United States),Make a visit,China,2009-05-08
924,Mike Rann,Make statement,Lawyer/Attorney (Australia),2009-05-08
925,Stephen W. Bosworth,Make a visit,Japan,2009-05-15
926,Japan,Host a visit,Stephen W. Bosworth,2009-05-15
927,Barack Obama,Make an appeal or request,Benjamin Netanyahu,2009-05-18
928,Benjamin Netanyahu,Make a visit,Barack Obama,2009-05-18
929,Barack Obama,Praise or endorse,Benjamin Netanyahu,2009-05-18
930,Iran,Host a visit,Nuri al-Maliki,2009-05-21
931,Nuri al-Maliki,Make a visit,Iran,2009-05-21
932,Japan,Sign formal agreement,China,2009-05-22
933,China,Praise or endorse,Japan,2009-05-22
934,Vietnam,Make a visit,Japan,2009-05-22
935,Japan,Host a visit,Vietnam,2009-05-22
936,Mahmoud Ahmadinejad,Express intent to meet or negotiate,Barack Obama,2009-05-26
937,Barack Obama,Consult,Mahmoud Ahmadinejad,2009-05-26
938,Benjamin Netanyahu,Make a visit,Barack Obama,2009-05-29
939,Barack Obama,Make optimistic comment,Benjamin Netanyahu,2009-05-29
940,Barack Obama,Make an appeal or request,Benjamin Netanyahu,2009-05-29
941,Benjamin Netanyahu,Criticize or denounce,Barack Obama,2009-05-29
942,China,Consult,Japan,2009-06-01
943,Japan,Express intent to meet or negotiate,China,2009-06-01
944,Lee Myung Bak,Express intent to engage in diplomatic cooperation (such as policy support),Barack Obama,2009-06-08
945,Barack Obama,Express intent to meet or negotiate,Lee Myung Bak,2009-06-08
946,Police (Uganda),Sexually assault,Citizen (Uganda),2009-06-09
947,Citizen (Uganda),Appeal for easing of administrative sanctions,Police (Uganda),2009-06-09
948,China,Host a visit,Wen Jiabao,2009-06-15
949,Wen Jiabao,Make a visit,China,2009-06-15
950,Mahmoud Ahmadinejad,Halt negotiations,Dmitry Anatolyevich Medvedev,2009-06-16
951,Dmitry Anatolyevich Medvedev,Reduce or break diplomatic relations,Mahmoud Ahmadinejad,2009-06-16
952,China,Make optimistic comment,Thailand,2009-06-25
953,Thailand,Sign formal agreement,China,2009-06-25
954,Head of Government (South Korea),Make a visit,Japan,2009-06-28
955,Japan,Host a visit,Head of Government (South Korea),2009-06-28
956,Lawyer/Attorney (Australia),Accuse,Citizen (Australia),2009-06-30
957,China,Host a visit,Abdullah Gül,2009-06-30
958,Citizen (Australia),Express intent to meet or negotiate,Lawyer/Attorney (Australia),2009-06-30
959,Abdullah Gül,Make statement,China,2009-06-30
960,Dmitry Anatolyevich Medvedev,Engage in negotiation,Barack Obama,2009-07-03
961,Barack Obama,Express intent to meet or negotiate,Dmitry Anatolyevich Medvedev,2009-07-03
962,Mexico,Express intent to meet or negotiate,China,2009-07-08
963,China,Make pessimistic comment,Mexico,2009-07-08
964,Sudan,Host a visit,Qatar,2009-07-09
965,Qatar,Meet at a 'third' location,Sudan,2009-07-09
966,China,Consult,South Africa,2009-07-09
967,South Africa,Express intent to meet or negotiate,China,2009-07-09
968,Qatar,Make statement,Sudan,2009-07-09
969,Abhisit Vejjajiva,Make a visit,Vietnam,2009-07-13
970,Vietnam,Host a visit,Abhisit Vejjajiva,2009-07-13
971,Abhisit Vejjajiva,Express intent to meet or negotiate,Vietnam,2009-07-13
972,Nuri al-Maliki,Consult,Barack Obama,2009-07-15
973,Barack Obama,Express intent to meet or negotiate,Nuri al-Maliki,2009-07-15
974,Vietnam,Make a visit,China,2009-07-18
975,China,Engage in negotiation,Vietnam,2009-07-18
976,Nuri al-Maliki,Make an appeal or request,UN Security Council,2009-07-22
977,UN Security Council,Consult,Nuri al-Maliki,2009-07-22
978,Japan,Host a visit,Barack Obama,2009-07-31
979,Barack Obama,Make a visit,Japan,2009-07-31
980,Shimon Peres,Make a visit,Dmitry Anatolyevich Medvedev,2009-08-18
981,Dmitry Anatolyevich Medvedev,Praise or endorse,Shimon Peres,2009-08-18
982,Barack Obama,Make an appeal or request,Benjamin Netanyahu,2009-08-18
983,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Shimon Peres,2009-08-18
984,Benjamin Netanyahu,Reject,Barack Obama,2009-08-18
985,Iran,Praise or endorse,Mahmoud Ahmadinejad,2009-08-20
986,Mahmoud Ahmadinejad,Make a visit,Iran,2009-08-20
987,China,Host a visit,Head of Government (Gabon),2009-08-28
988,Head of Government (Gabon),Make a visit,China,2009-08-28
989,Cambodia,Host a visit,Itthaporn Subhawong,2009-09-15
990,Itthaporn Subhawong,Make a visit,Cambodia,2009-09-15
991,Vietnam,Make a visit,Laos,2009-09-27
992,Laos,Host a visit,Vietnam,2009-09-27
993,France,Meet at a 'third' location,China,2009-10-02
994,China,Consult,France,2009-10-02
995,Hashim Thaçi,Praise or endorse,Sali Berisha,2009-10-06
996,Sali Berisha,Consult,Hashim Thaçi,2009-10-06
997,China,Consult,South Korea,2009-10-10
998,South Korea,Engage in negotiation,China,2009-10-10
999,South Korea,Express intent to engage in diplomatic cooperation (such as policy support),China,2009-10-10
1000,Barack Obama,Make a visit,South Korea,2009-10-13
1001,South Korea,Host a visit,Barack Obama,2009-10-13
1002,Police (Australia),Make an appeal or request,Citizen (Australia),2009-10-20
1003,Citizen (Australia),"Reject proposal to meet, discuss, or negotiate",Police (Australia),2009-10-20
1004,Representatives (Russia),Make a visit,Bolivia,2009-10-29
1005,Bolivia,Host a visit,Representatives (Russia),2009-10-29
1006,South Africa,Host a visit,Neal S. Wolin,2009-10-30
1007,Neal S. Wolin,Make a visit,South Africa,2009-10-30
1008,Cambodia,Reduce or break diplomatic relations,Thailand,2009-11-06
1009,Thailand,Consider policy option,Cambodia,2009-11-06
1010,Cambodia,Accuse,Thailand,2009-11-06
1011,Thailand,Express intent to release persons or property,Cambodia,2009-11-06
1012,China,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2009-11-08
1013,Japan,Make statement,China,2009-11-08
1014,Sergey Kuzhugetovich Shoygu,Make a visit,Raúl Castro,2009-11-13
1015,Raúl Castro,Host a visit,Sergey Kuzhugetovich Shoygu,2009-11-13
1016,Okada Katsuya,Make an appeal or request,Japan,2009-11-16
1017,Japan,Consult,Okada Katsuya,2009-11-16
1018,Sudan,Host a visit,Envoy (United States),2009-11-17
1019,Envoy (United States),Express intent to meet or negotiate,Sudan,2009-11-17
1020,Mahmoud Ahmadinejad,Make statement,Iran,2009-11-23
1021,Iran,Host a visit,Mahmoud Ahmadinejad,2009-11-23
1022,Barack Obama,Make a visit,China,2009-11-29
1023,China,Host a visit,Barack Obama,2009-11-29
1024,Abhisit Vejjajiva,Make a visit,Malaysia,2009-12-08
1025,Malaysia,Host a visit,Abhisit Vejjajiva,2009-12-08
1026,Vuk Jeremić,Praise or endorse,Maxime Verhagen,2009-12-16
1027,Maxime Verhagen,Consult,Vuk Jeremić,2009-12-16
1028,Barack Obama,Make statement,Yemen,2010-01-02
1029,Yemen,Host a visit,Barack Obama,2010-01-02
1030,Japan,Consult,China,2010-01-08
1031,China,Make statement,Japan,2010-01-08
1032,Iran,Host a visit,Mohamed Ould Abdel Aziz,2010-01-27
1033,Mohamed Ould Abdel Aziz,Make a visit,Iran,2010-01-27
1034,Barack Obama,Make a visit,China,2010-02-01
1035,China,Host a visit,Barack Obama,2010-02-01
1036,Congress (Argentina),Express intent to engage in diplomatic cooperation (such as policy support),Cristina Fernández de Kirchner,2010-02-03
1037,Cristina Fernández de Kirchner,Make optimistic comment,Congress (Argentina),2010-02-03
1038,Georgios Papandreou,Make a visit,France,2010-02-10
1039,France,Host a visit,Georgios Papandreou,2010-02-10
1040,Vietnam,Host a visit,Military (Cambodia),2010-02-15
1041,Military (Cambodia),Make a visit,Vietnam,2010-02-15
1042,City Mayor (New Zealand),Make a visit,Japan,2010-02-27
1043,Japan,Host a visit,City Mayor (New Zealand),2010-02-27
1044,Dmitry Anatolyevich Medvedev,Discuss by telephone,Barack Obama,2010-03-26
1045,Barack Obama,Sign formal agreement,Dmitry Anatolyevich Medvedev,2010-03-26
1046,Citizen (Thailand),"Reject plan, agreement to settle dispute",Abhisit Vejjajiva,2010-03-29
1047,Abhisit Vejjajiva,Reject,Citizen (Thailand),2010-03-29
1048,Norodom Sihanouk,Make a visit,China,2010-03-31
1049,China,Host a visit,Norodom Sihanouk,2010-03-31
1050,Japan,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2010-03-31
1051,South Korea,Criticize or denounce,Japan,2010-03-31
1052,Mexico,Host a visit,Gloria Trevi,2010-03-31
1053,Gloria Trevi,Make a visit,Mexico,2010-03-31
1054,Police (Australia),Make pessimistic comment,Citizen (Australia),2010-04-01
1055,Citizen (Australia),Demand,Police (Australia),2010-04-01
1056,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2010-04-01
1057,Police (Indonesia),Accuse,Lawyer/Attorney (Indonesia),2010-04-16
1058,Lawyer/Attorney (Indonesia),"Arrest, detain, or charge with legal action",Police (Indonesia),2010-04-16
1059,Barack Obama,Consult,Benjamin Netanyahu,2010-04-22
1060,Benjamin Netanyahu,Make statement,Barack Obama,2010-04-22
1061,France,Demand,China,2010-04-29
1062,China,Host a visit,France,2010-04-29
1063,China,Praise or endorse,Yemen,2010-05-07
1064,Yemen,Engage in diplomatic cooperation,China,2010-05-07
1065,South Korea,Cooperate militarily,China,2010-05-14
1066,China,Engage in negotiation,South Korea,2010-05-14
1067,China,Consult,Japan,2010-05-17
1068,Japan,Criticize or denounce,China,2010-05-17
1069,Wen Jiabao,Consult,Lee Myung Bak,2010-05-30
1070,Lee Myung Bak,Express intent to engage in diplomatic cooperation (such as policy support),Wen Jiabao,2010-05-30
1071,Mahmoud Abbas,Make an appeal or request,Barack Obama,2010-06-02
1072,Barack Obama,Consult,Mahmoud Abbas,2010-06-02
1073,China,Engage in diplomatic cooperation,Lee Myung Bak,2010-06-03
1074,Lee Myung Bak,Express intent to meet or negotiate,China,2010-06-03
1075,Barack Obama,Express intent to cooperate,Angela Merkel,2010-06-22
1076,Angela Merkel,Discuss by telephone,Barack Obama,2010-06-22
1077,Citizen (Australia),Accuse,Julia Gillard,2010-06-25
1078,Julia Gillard,Criticize or denounce,Citizen (Australia),2010-06-25
1079,Vietnam,Express intent to engage in diplomatic cooperation (such as policy support),China,2010-07-01
1080,Grigol Vashadze,Make a visit,Northern Ireland,2010-07-01
1081,Northern Ireland,Host a visit,Grigol Vashadze,2010-07-01
1082,China,Express intent to cooperate,Vietnam,2010-07-01
1083,Criminal (China),Make a visit,Vietnam,2010-07-02
1084,Vietnam,Host a visit,Criminal (China),2010-07-02
1085,Sudan,Make a visit,Eritrea,2010-07-10
1086,Eritrea,Host a visit,Sudan,2010-07-10
1087,Angela Merkel,Consult,Dmitry Anatolyevich Medvedev,2010-07-15
1088,Dmitry Anatolyevich Medvedev,Host a visit,Angela Merkel,2010-07-15
1089,South Korea,Make statement,Japan,2010-07-23
1090,Japan,Make an appeal or request,South Korea,2010-07-23
1091,Citizen (Australia),Criticize or denounce,Police (Australia),2010-08-05
1092,Japan,Provide military aid,Iraq,2010-08-05
1093,Police (Australia),Make optimistic comment,Citizen (Australia),2010-08-05
1094,Iraq,Receive deployment of peacekeepers,Japan,2010-08-05
1095,Benjamin Netanyahu,Consult,Mahmoud Abbas,2010-08-20
1096,Mahmoud Abbas,Express intent to meet or negotiate,Benjamin Netanyahu,2010-08-20
1097,Evo Morales,Make a visit,Bolivia,2010-08-27
1098,Bolivia,Host a visit,Evo Morales,2010-08-27
1099,Mahmoud Ahmadinejad,Express intent to meet or negotiate,Qatar,2010-08-31
1100,Qatar,Engage in negotiation,Mahmoud Ahmadinejad,2010-08-31
1101,Benjamin Netanyahu,Express intent to meet or negotiate,Barack Obama,2010-09-01
1102,Barack Obama,Engage in negotiation,Benjamin Netanyahu,2010-09-01
1103,Mahmoud Abbas,Consult,Benjamin Netanyahu,2010-09-05
1104,Benjamin Netanyahu,Express intent to cooperate,Mahmoud Abbas,2010-09-05
1105,Protester (Egypt),"Protest violently, riot",Police (Egypt),2010-09-07
1106,Police (Egypt),Use tactics of violent repression,Protester (Egypt),2010-09-07
1107,Elizabeth II,Praise or endorse,Benedict XVI,2010-09-16
1108,Benedict XVI,Make a visit,Elizabeth II,2010-09-16
1109,Head of Government (Ghana),Make a visit,China,2010-09-20
1110,Head of Government (Ghana),Express intent to meet or negotiate,China,2010-09-20
1111,China,Host a visit,Head of Government (Ghana),2010-09-20
1112,Head of Government (Egypt),Host a visit,Angela Merkel,2010-09-22
1113,Angela Merkel,Make a visit,Head of Government (Egypt),2010-09-22
1114,Wen Jiabao,Make statement,Japan,2010-09-23
1115,Japan,Consult,Wen Jiabao,2010-09-23
1116,Lawyer/Attorney (Australia),Make statement,Police (Australia),2010-09-24
1117,Police (Australia),Express accord,Lawyer/Attorney (Australia),2010-09-24
1118,Thailand,"Reject plan, agreement to settle dispute",Cambodia,2010-09-26
1119,Cambodia,Consult,Thailand,2010-09-26
1120,Rafael Correa,Make statement,Armed Rebel (Ecuador),2010-10-01
1121,Armed Rebel (Ecuador),"Arrest, detain, or charge with legal action",Rafael Correa,2010-10-01
1122,Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2010-10-05
1123,Mexico,Host a visit,Vietnam,2010-10-05
1124,China,Express intent to cooperate,Japan,2010-10-05
1125,Vietnam,Make a visit,Mexico,2010-10-05
1126,Citizen (Nigeria),Make pessimistic comment,Boko Haram,2010-10-11
1127,Boko Haram,Use conventional military force,Citizen (Nigeria),2010-10-11
1128,Thailand,Meet at a 'third' location,Cambodia,2010-10-13
1129,Cambodia,Express intent to cooperate,Thailand,2010-10-13
1130,China,Engage in diplomatic cooperation,Japan,2010-10-18
1131,Japan,Make an appeal or request,China,2010-10-18
1132,Police (Australia),"Investigate crime, corruption",Citizen (Australia),2010-10-26
1133,Citizen (Australia),Demand,Police (Australia),2010-10-26
1134,UN Security Council,Make a visit,Sudan,2010-10-26
1135,Sudan,Host a visit,UN Security Council,2010-10-26
1136,Vietnam,Host a visit,Wen Jiabao,2010-10-28
1137,Wen Jiabao,Make a visit,Vietnam,2010-10-28
1138,Japan,Make an appeal or request,Dmitry Anatolyevich Medvedev,2010-10-30
1139,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Japan,2010-10-30
1140,"Children (Palestinian Territory, Occupied)",Use unconventional violence,Police (Israel),2010-11-02
1141,Police (Israel),Use conventional military force,"Children (Palestinian Territory, Occupied)",2010-11-02
1142,Barack Obama,Express intent to meet or negotiate,South Korea,2010-11-09
1143,South Korea,Host a visit,Barack Obama,2010-11-09
1144,Julia Gillard,Make a visit,South Korea,2010-11-11
1145,South Korea,Host a visit,Julia Gillard,2010-11-11
1146,Dmitry Anatolyevich Medvedev,Express intent to engage in diplomatic cooperation (such as policy support),Barack Obama,2010-11-14
1147,Barack Obama,Express intent to cooperate,Dmitry Anatolyevich Medvedev,2010-11-14
1148,Police (Australia),fight with small arms and light weapons,Citizen (Australia),2010-11-16
1149,Citizen (Australia),Make an appeal or request,Police (Australia),2010-11-16
1150,South Korea,Engage in negotiation,Japan,2010-11-18
1151,Dmitry Anatolyevich Medvedev,Consult,Mahmoud Ahmadinejad,2010-11-18
1152,Mahmoud Ahmadinejad,Meet at a 'third' location,Dmitry Anatolyevich Medvedev,2010-11-18
1153,Japan,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2010-11-18
1154,Iran,Sign formal agreement,Evo Morales,2010-11-22
1155,Evo Morales,Make statement,Iran,2010-11-22
1156,China,Engage in negotiation,South Korea,2010-11-29
1157,South Korea,Make statement,China,2010-11-29
1158,China,Express intent to meet or negotiate,Japan,2010-11-30
1159,Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2010-11-30
1160,Mahmoud Abbas,Consult,Georgios Papandreou,2010-12-08
1161,Iran,Consult,China,2010-12-08
1162,Dmitry Anatolyevich Medvedev,Host a visit,Head of Government (Germany),2010-12-08
1163,China,Praise or endorse,Iran,2010-12-08
1164,Georgios Papandreou,Make statement,Mahmoud Abbas,2010-12-08
1165,Head of Government (Germany),Make a visit,Dmitry Anatolyevich Medvedev,2010-12-08
1166,Lee Myung Bak,Make a visit,South Korea,2010-12-13
1167,South Korea,Host a visit,Lee Myung Bak,2010-12-13
1168,Legislature (Iraq),Praise or endorse,Nuri al-Maliki,2010-12-21
1169,Nuri al-Maliki,Demand,Legislature (Iraq),2010-12-21
1170,Sudan,Receive deployment of peacekeepers,Foreign Affairs (Hungary),2011-01-05
1171,Dmitry Anatolyevich Medvedev,Discuss by telephone,Shimon Peres,2011-01-05
1172,Foreign Affairs (Hungary),Provide military protection or peacekeeping,Sudan,2011-01-05
1173,Shimon Peres,Express intent to cooperate,Dmitry Anatolyevich Medvedev,2011-01-05
1174,Police (Egypt),Use conventional military force,Protester (Egypt),2011-01-26
1175,Protester (Egypt),Demonstrate or rally,Police (Egypt),2011-01-26
1176,Protester (Egypt),"Protest violently, riot",Police (Egypt),2011-01-26
1177,Cabinet / Council of Ministers / Advisors (United States),Make a visit,Sudan,2011-02-02
1178,Government (Nigeria),Accuse,Citizen (Nigeria),2011-02-02
1179,Sudan,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2011-02-02
1180,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2011-02-02
1181,Protester (Egypt),Appeal for change in leadership,Head of Government (Egypt),2011-02-03
1182,Head of Government (Egypt),Make statement,Protester (Egypt),2011-02-03
1183,Bhutan,Host a visit,Foreign Affairs (India),2011-02-05
1184,Foreign Affairs (India),Make a visit,Bhutan,2011-02-05
1185,Cambodia,Accuse,Thailand,2011-02-14
1186,Thailand,Use conventional military force,Cambodia,2011-02-14
1187,Thailand,Express intent to cooperate,Cambodia,2011-02-15
1188,Cambodia,Use conventional military force,Thailand,2011-02-15
1189,Jaroslav Baska,Make statement,Lubomír Galko,2011-02-15
1190,Lubomír Galko,Make an appeal or request,Jaroslav Baska,2011-02-15
1191,Benjamin Netanyahu,Express intent to meet or negotiate,Tony Blair,2011-02-28
1192,Tony Blair,Consult,Benjamin Netanyahu,2011-02-28
1193,South Korea,Consult,Japan,2011-03-20
1194,Japan,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2011-03-20
1195,Intelligence (Egypt),Make a visit,France,2011-04-09
1196,France,Host a visit,Intelligence (Egypt),2011-04-09
1197,China,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2011-04-24
1198,South Korea,Consult,China,2011-04-24
1199,Julia Gillard,Make pessimistic comment,Wen Jiabao,2011-04-26
1200,Wen Jiabao,Make an appeal or request,Julia Gillard,2011-04-26
1201,France,Host a visit,Benjamin Netanyahu,2011-05-04
1202,Benjamin Netanyahu,Express intent to meet or negotiate,France,2011-05-04
1203,Government (Nigeria),Praise or endorse,Citizen (Nigeria),2011-05-09
1204,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2011-05-09
1205,France,Host a visit,International Monetary Fund,2011-05-15
1206,International Monetary Fund,Make a visit,France,2011-05-15
1207,Barack Obama,Make a visit,France,2011-05-27
1208,France,Host a visit,Barack Obama,2011-05-27
1209,Ali Bongo Ondimba,Express intent to meet or negotiate,Barack Obama,2011-06-09
1210,Barack Obama,Praise or endorse,Ali Bongo Ondimba,2011-06-09
1211,Citizen (Uganda),"Protest violently, riot",Police (Uganda),2011-06-09
1212,Police (Uganda),"Return, release person(s)",Citizen (Uganda),2011-06-09
1213,China,Host a visit,Agustín Carstens,2011-06-10
1214,Agustín Carstens,Make a visit,China,2011-06-10
1215,Democratic Party,"Reject plan, agreement to settle dispute",Lee Myung Bak,2011-06-27
1216,Lee Myung Bak,Consult,Democratic Party,2011-06-27
1217,Xi Jinping,Make a visit,Cabinet / Council of Ministers / Advisors (United States),2011-06-28
1218,Cabinet / Council of Ministers / Advisors (United States),Host a visit,Xi Jinping,2011-06-28
1219,Middle East,Host a visit,Vic Toews,2011-07-04
1220,Vic Toews,Make a visit,Middle East,2011-07-04
1221,Foreign Affairs (Syria),Consult,Foreign Affairs (France),2011-07-10
1222,Foreign Affairs (France),Criticize or denounce,Foreign Affairs (Syria),2011-07-10
1223,South Korea,Make statement,China,2011-07-15
1224,Farm Worker (Taiwan),Host a visit,Ma Ying Jeou,2011-07-15
1225,Ma Ying Jeou,Make a visit,Farm Worker (Taiwan),2011-07-15
1226,China,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2011-07-15
1227,China,Accuse,Barack Obama,2011-07-16
1228,Barack Obama,Reject,China,2011-07-16
1229,Muhammad VI,Consult,Islam Karimov,2011-07-28
1230,Islam Karimov,Make empathetic comment,Muhammad VI,2011-07-28
1231,Government (Nigeria),Express intent to cooperate,Citizen (Nigeria),2011-08-02
1232,Government (Nigeria),Impose restrictions on political freedoms,Citizen (Nigeria),2011-08-02
1233,Citizen (Nigeria),Threaten,Government (Nigeria),2011-08-02
1234,Supreme Council (Iraq),Make a visit,Kuwait,2011-08-18
1235,Kuwait,Host a visit,Supreme Council (Iraq),2011-08-18
1236,Mswati III,Make a visit,João Baptista Kussumua,2011-08-22
1237,João Baptista Kussumua,Host a visit,Mswati III,2011-08-22
1238,Sheikh Hamad bin Khalifa al-Thani,Make a visit,Iran,2011-08-26
1239,Iran,Host a visit,Sheikh Hamad bin Khalifa al-Thani,2011-08-26
1240,Ministry (Sri Lanka),Make a visit,Head of Government (Cameroon),2011-09-05
1241,Head of Government (Cameroon),Host a visit,Ministry (Sri Lanka),2011-09-05
1242,Iran,Host a visit,Mahmoud Ahmadinejad,2011-09-11
1243,Mahmoud Ahmadinejad,Make a visit,Iran,2011-09-11
1244,Angola,Host a visit,Angela Merkel,2011-09-15
1245,Angela Merkel,Make a visit,Angola,2011-09-15
1246,Yoshihiko Noda,Make statement,Lee Myung Bak,2011-09-22
1247,Lee Myung Bak,Express intent to engage in diplomatic cooperation (such as policy support),Yoshihiko Noda,2011-09-22
1248,Iran,Host a visit,Mahmoud Ahmadinejad,2011-09-26
1249,Mahmoud Ahmadinejad,Make statement,Iran,2011-09-26
1250,Military Personnel - Special (Philippines),Use conventional military force,Militant (Philippines),2011-10-02
1251,Militant (Philippines),Use unconventional violence,Military Personnel - Special (Philippines),2011-10-02
1252,Herman Van Rompuy,Discuss by telephone,Wen Jiabao,2011-10-21
1253,Nuri al-Maliki,Reject,Barack Obama,2011-10-21
1254,Wen Jiabao,Express intent to meet or negotiate,Herman Van Rompuy,2011-10-21
1255,Barack Obama,Express intent to engage in diplomatic cooperation (such as policy support),Nuri al-Maliki,2011-10-21
1256,Citizen (Australia),Use unconventional violence,Police (Australia),2011-10-24
1257,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2011-10-24
1258,Barack Obama,Express intent to meet or negotiate,Angela Merkel,2011-10-31
1259,Angela Merkel,Consult,Barack Obama,2011-10-31
1260,Military Personnel - Special (Afghanistan),fight with small arms and light weapons,Attacker (Afghanistan),2011-11-03
1261,Military Personnel - Special (Afghanistan),Use conventional military force,Attacker (Afghanistan),2011-11-03
1262,Attacker (Afghanistan),Use unconventional violence,Military Personnel - Special (Afghanistan),2011-11-03
1263,Lee Myung Bak,Make a visit,France,2011-11-05
1264,France,Host a visit,Lee Myung Bak,2011-11-05
1265,Qatar,Host a visit,Mahmoud Ahmadinejad,2011-11-15
1266,Mahmoud Ahmadinejad,Make a visit,Qatar,2011-11-15
1267,Foreign Affairs (Israel),Use conventional military force,Foreign Affairs (France),2011-11-16
1268,Foreign Affairs (France),Consult,Foreign Affairs (Israel),2011-11-16
1269,UN Security Council,Make a visit,Ethiopia,2011-11-17
1270,Ethiopia,Host a visit,UN Security Council,2011-11-17
1271,Police (Egypt),Use conventional military force,Protester (Egypt),2011-11-27
1272,Protester (Egypt),"Protest violently, riot",Police (Egypt),2011-11-27
1273,Abdelilah Benkirane,Consult,Muhammad VI,2011-11-29
1274,Muhammad VI,Host a visit,Abdelilah Benkirane,2011-11-29
1275,Nuri al-Maliki,Make a visit,Barack Obama,2011-12-13
1276,Barack Obama,Praise or endorse,Nuri al-Maliki,2011-12-13
1277,Malaysia,Host a visit,Gurbanguly Berdymukhammedov,2011-12-13
1278,Gurbanguly Berdymukhammedov,Make a visit,Malaysia,2011-12-13
1279,Colombia,Express intent to cooperate,Mexico,2011-12-15
1280,Mexico,Express intent to cooperate economically,Colombia,2011-12-15
1281,Police (Egypt),Use tactics of violent repression,Protester (Egypt),2011-12-20
1282,Protester (Egypt),Demonstrate or rally,Police (Egypt),2011-12-20
1283,South Korea,Express intent to cooperate,China,2011-12-22
1284,China,Engage in negotiation,South Korea,2011-12-22
1285,Japan,Sign formal agreement,China,2011-12-25
1286,China,Make optimistic comment,Japan,2011-12-25
1287,Yoshihiko Noda,Make a visit,China,2011-12-26
1288,Yoshihiko Noda,Make optimistic comment,China,2011-12-26
1289,China,Consult,Yoshihiko Noda,2011-12-26
1290,Angola,Host a visit,Japan,2012-01-09
1291,Japan,Make a visit,Angola,2012-01-09
1292,China,Host a visit,Head of Government (South Korea),2012-01-10
1293,Head of Government (South Korea),Make an appeal or request,China,2012-01-10
1294,Wen Jiabao,Make a visit,United Arab Emirates,2012-01-19
1295,United Arab Emirates,Host a visit,Wen Jiabao,2012-01-19
1296,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2012-01-31
1297,Citizen (Australia),Accuse,Police (Australia),2012-01-31
1298,Ma Ying Jeou,Demand diplomatic cooperation (such as policy support),China,2012-02-01
1299,China,Sign formal agreement,Ma Ying Jeou,2012-02-01
1300,Head of Government (Pakistan),Make a visit,Qatar,2012-02-06
1301,Qatar,Host a visit,Head of Government (Pakistan),2012-02-06
1302,Government (Nigeria),Express intent to provide economic aid,Citizen (Nigeria),2012-02-15
1303,Citizen (Nigeria),Demand diplomatic cooperation (such as policy support),Government (Nigeria),2012-02-15
1304,Japan,Express intent to cooperate,China,2012-02-20
1305,China,Engage in diplomatic cooperation,Japan,2012-02-20
1306,Benjamin Netanyahu,Express intent to meet or negotiate,Barack Obama,2012-03-01
1307,Barack Obama,Consult,Benjamin Netanyahu,2012-03-01
1308,Barack Obama,Consult,Benjamin Netanyahu,2012-03-07
1309,Sudan,Receive deployment of peacekeepers,Ethiopia,2012-03-07
1310,Benjamin Netanyahu,Make a visit,Barack Obama,2012-03-07
