head	relation	tail	time
Iran	Sign formal agreement	Barack Obama	2015-07-27
Cabinet / Council of Ministers / Advisors (United States)	Consult	Catherine Ashton	2014-09-27
Valdis Dombrovskis	Consult	Algirdas Butkevičius	2013-01-10
Malaysia	Engage in negotiation	Iran	2006-05-13
Cambodia	Engage in diplomatic cooperation	Laos	2007-12-28
Dominican Republic	Engage in negotiation	Barack Obama	2013-05-03
African Union	Sign formal agreement	Sudan	2007-04-24
Abdel Fattah Al-Sisi	Consult	Chuck Hagel	2013-09-17
Armed Separatist (China)	Engage in negotiation	Undersecretary (United States)	2013-09-13
Iran	Sign formal agreement	Cristina Fernández de Kirchner	2013-06-18
Japan	Sign formal agreement	China	2008-06-18
Herman Van Rompuy	Consult	Xi Jinping	2014-03-31
Japan	Engage in diplomatic cooperation	Laos	2005-07-27
Giulio Tremonti	Consult	International Monetary Fund	2005-09-23
Japan	Engage in diplomatic cooperation	China	2007-04-04
South Korea	Consult	Japan	2005-04-08
Ma Ying Jeou	Engage in negotiation	Xi Jinping	2015-11-12
Angela Merkel	Consult	Barack Obama	2012-05-19
Abdullah Gül	Consult	Adil Abdul-Mahdi	2009-03-24
Government Official (Georgia)	Engage in negotiation	Irakli Alasania	2009-03-26
Xi Jinping	Consult	Ma Ying Jeou	2015-11-10
China	Sign formal agreement	Iran	2012-06-09
Bashir Ahmed	Consult	Citizen (United Kingdom)	2005-07-14
Government (Sudan)	Consult	Ethiopia	2007-06-16
Yemen	Engage in diplomatic cooperation	Mauritania	2006-02-13
Lee Myung Bak	Consult	Cabinet / Council of Ministers / Advisors (South Korea)	2008-03-03
Cabinet / Council of Ministers / Advisors (United States)	Consult	Head of Government (Egypt)	2013-03-03
Police (Philippines)	Consult	City Mayor (Philippines)	2009-03-12
Benjamin Netanyahu	Meet at a 'third' location	Mahmoud Abbas	2009-11-02
China	Engage in negotiation	Iran	2006-06-17
Pervez Musharraf	Engage in negotiation	Benazir Bhutto	2007-09-16
Head of Government (Egypt)	Consult	Lawyer/Attorney (Egypt)	2013-11-13
Mario Monti	Consult	Algirdas Butkevičius	2014-09-15
Sudan	Engage in diplomatic cooperation	South Sudan	2013-03-30
Agence France-Presse	Consult	Military Personnel - Special (France)	2015-01-27
China	Engage in diplomatic cooperation	Japan	2010-08-17
Air Force (Iran)	Consult	Iran	2009-02-07
Iran	Engage in negotiation	Philip Hammond	2015-08-23
Vietnam	Engage in diplomatic cooperation	China	2007-04-09
Barack Obama	Consult	Benjamin Netanyahu	2013-03-23
Special Rapporteurs of the United Nations	Consult	Other Authorities / Officials (Mexico)	2010-02-19
Citizen (Thailand)	Express intent to cooperate	Member of Parliament (Thailand)	2010-09-09
Guy Ryder	Consult	Algirdas Butkevičius	2014-09-17
Association of Southeast Asian Nations	Sign formal agreement	South Korea	2006-03-11
Lawyer/Attorney (Tajikistan)	Consult	International Government Organizations	2015-01-13
Daily Trust	Consult	State Security Service	2009-06-30
Jack Straw	Engage in negotiation	Iran	2005-06-25
Radoslaw Sikorski	Consult	Madeleine Albright	2008-11-23
Association of Southeast Asian Nations	Consult	George Yeo	2007-09-27
Lulzim Basha	Engage in negotiation	Foreign Affairs (Slovakia)	2009-04-02
United Arab Emirates	Sign formal agreement	Japan	2014-11-09
Iran	Engage in diplomatic cooperation	Kazakhstan	2013-10-01
Borys Tarasyuk	Consult	Cyril Svoboda	2005-05-10
Iran	Engage in diplomatic cooperation	Sudan	2007-03-02
Police (Malaysia)	Express intent to cooperate	Thailand	2012-02-29
Xi Jinping	Consult	Member of Legislative (Govt) (South Korea)	2014-07-04
Mohammed Qasim Fahim	Consult	Envoy (United States)	2012-11-15
Barack Obama	Express intent to cooperate	Dmitry Anatolyevich Medvedev	2009-08-04
Barack Obama	Consult	Mahmoud Abbas	2013-03-23
Angela Merkel	Engage in negotiation	Gerhard Schröder	2005-09-22
Iraq	Engage in negotiation	Aero Vodochody	2014-03-21
Cambodia	Consult	Thailand	2009-04-10
Vietnam	Express intent to cooperate	Malaysia	2009-05-29
Prachanda	Consult	Party Member (Nepal)	2006-06-25
Cambodia	Sign formal agreement	China	2005-07-05
China	Engage in diplomatic cooperation	Vietnam	2010-08-23
Muhammad VI	Consult	Barack Obama	2013-11-23
Foreign Affairs (India)	Consult	Prachanda	2008-08-20
Foreign Affairs (Mauritania)	Consult	Abu Bakr Abdullah al-Qirbi	2006-04-23
Kuwait	Express intent to cooperate	France	2011-06-09
South Sudan	Engage in negotiation	Sudan	2011-12-05
Government Official (Zimbabwe)	Engage in negotiation	Business (Zimbabwe)	2015-10-09
Iran	Consult	Javier Solana	2005-02-01
Wen Jiabao	Consult	Barack Obama	2010-05-26
Laos	Engage in diplomatic cooperation	Vietnam	2007-07-16
Xi Jinping	Consult	Vincent C. Siew	2013-10-12
Niger	Consult	Sudan	2014-12-05
Guy Ryder	Engage in negotiation	Mohamed El Ghazi	2015-11-13
Gurbanguly Berdymukhammedov	Sign formal agreement	Islam Karimov	2007-10-18
Japan	Express intent to cooperate	Iraq	2009-07-10
Thailand	Consult	Cambodia	2012-02-23
Iraq	Engage in negotiation	Nuri al-Maliki	2013-06-20
Chung Dong-young	Express intent to cooperate	Roh Moo Hyun	2007-11-16
Abdullah Gül	Consult	Borys Tarasyuk	2006-03-01
Iran	Sign formal agreement	Iraq	2008-02-21
Xi Jinping	Engage in negotiation	Tsakhiagiyn Elbegdorj	2015-10-27
Thailand	Consult	Association of Southeast Asian Nations	2008-12-11
Ethiopia	Sign formal agreement	Eritrea	2008-05-11
Thailand	Express intent to cooperate	China	2015-10-10
Oman	Engage in negotiation	Ministry (Iran)	2008-09-24
South Sudan	Consult	Djibouti	2014-08-25
Shivraj Patil	Consult	Court Judge (India)	2005-02-09
Barack Obama	Consult	Xi Jinping	2015-09-29
Mahmoud Ahmadinejad	Engage in negotiation	Iraq	2008-03-03
China	Express intent to cooperate	Japan	2010-04-03
Ministry (Iran)	Consult	Mahmoud Ahmadinejad	2005-11-06
Oluṣẹgun Ọbasanjọ	Consult	Roh Moo Hyun	2006-11-10
José Dirceu de Oliveira e Silva	Consult	Anthony Garotinho	2006-04-13
Lee Myung Bak	Consult	Wen Jiabao	2010-05-28
Iran	Consult	China	2011-05-27
Sergey Mikhaylovich Ignatyev	Consult	Representatives (Russia)	2008-09-16
Cabinet / Council of Ministers / Advisors (United States)	Consult	Benjamin Netanyahu	2013-07-01
Iran	Engage in negotiation	Mehr News Agency	2012-06-26
Defense / Security Ministry (South Africa)	Consult	Media (Africa)	2006-11-01
Barack Obama	Discuss by telephone	Benjamin Netanyahu	2014-07-18
Binyamin Ben-Eliezer	Engage in negotiation	Other Authorities / Officials (Turkey)	2009-11-23
France	Consult	China	2013-09-26
Gurbanguly Berdymukhammedov	Consult	Islam Karimov	2009-02-25
UN Security Council	Sign formal agreement	France	2005-04-01
Xi Jinping	Consult	Barack Obama	2014-07-17
Rehman Malik	Consult	Jason Kenney	2011-03-07
Shaukat Aziz	Consult	Pakistan administered Kashmir	2005-04-06
Associated Press	Discuss by telephone	High Ranking Military Personnel (Sudan)	2006-12-31
Iraq	Engage in negotiation	Ali Abdullah Saleh	2005-10-24
Elmar Mammadyarov	Consult	Catherine Ashton	2011-11-17
Japan	Engage in negotiation	China	2008-06-14
Wen Jiabao	Consult	Head of Government (Mongolia)	2010-04-28
Japan	Consult	Thailand	2007-08-14
Foreign Affairs (Israel)	Consult	Edgars Rinkevics	2015-08-11
Alexis Tsipras	Engage in negotiation	France	2015-06-10
Colombia	Sign formal agreement	Mexico	2011-11-30
Army Personnel (Bangladesh)	Engage in negotiation	A.K. Antony	2013-03-29
Mahmoud Ahmadinejad	Consult	Raúl Castro	2012-05-28
South Korea	Consult	China	2015-03-21
Head of Government (Mongolia)	Engage in negotiation	China	2005-12-05
Media Personnel (Japan)	Consult	Wen Jiabao	2007-04-04
Gordon Darcy Lilo	Engage in negotiation	Julia Gillard	2012-08-22
Valdas Adamkus	Consult	Foreign Affairs (India)	2009-05-19
Displaced Families (Sudan)	Consult	Sudan	2015-02-16
Head of Government (Cyprus)	Consult	Head of Government (Greece)	2015-04-19
Iran	Engage in negotiation	France	2005-03-01
Cabinet / Council of Ministers / Advisors (United States)	Consult	Islam Karimov	2011-10-24
South Korea	Express intent to cooperate	Japan	2011-11-19
Dmitry Anatolyevich Medvedev	Sign formal agreement	Sergey Bagapsh	2009-04-30
Iran	Engage in negotiation	Barack Obama	2015-08-04
Association of Southeast Asian Nations	Engage in diplomatic cooperation	China	2014-08-07
Cambodia	Consult	Vietnam	2006-12-07
France	Express intent to cooperate	China	2014-10-19
Governor (Thailand)	Discuss by telephone	Agence France-Presse	2015-02-20
Head of Government (India)	Consult	Media (India)	2005-10-26
China	Consult	Kazakhstan	2006-10-18
James Wolfensohn	Consult	Mahmoud Abbas	2005-10-07
Jakaya Mrisho Kikwete	Consult	Uhuru Muigai Kenyatta	2015-10-05
China	Consult	Wen Jiabao	2010-10-29
Media (Peru)	Consult	Nadine Heredia	2015-10-20
Guatemala	Engage in negotiation	Colombia	2006-04-07
Sergey Bagapsh	Consult	Boris Vyacheslavovich Gryzlov	2009-05-18
Thailand	Consult	Laos	2011-03-25
Media (Argentina)	Consult	Cristina Fernández de Kirchner	2012-09-26
South Korea	Consult	Lee Myung Bak	2008-04-03
South Sudan	Engage in diplomatic cooperation	Eritrea	2011-09-27
South Sudan	Express intent to cooperate	Sudan	2013-10-03
Antonis Samaras	Consult	Royal Administration (Saudi Arabia)	2013-08-22
Media (Africa)	Consult	Industry (South Africa)	2015-08-07
Ireland	Consult	France	2008-07-17
Angola	Sign formal agreement	High Commission for Refugees	2011-07-05
Arzu TV	Discuss by telephone	Mohammed Qasim Fahim	2010-09-06
Emperor Akihito	Consult	Media Personnel (Japan)	2009-11-18
China	Consult	Japan	2010-01-08
Raúl Castro	Consult	Daniel Ortega	2007-06-17
Sudan	Engage in diplomatic cooperation	South Sudan	2013-10-09
Head of Government (India)	Consult	Shivraj Patil	2006-03-22
Armed Gang (Mauritania)	Consult	Agence France-Presse	2011-04-23
Angela Merkel	Meet at a 'third' location	Alexis Tsipras	2015-06-10
Vietnam	Engage in diplomatic cooperation	Cambodia	2012-07-17
Emma Bonino	Consult	Senate (Italy)	2012-07-16
Nuri al-Maliki	Consult	Iraq	2013-03-23
Vietnam	Engage in diplomatic cooperation	Laos	2006-08-31
China	Consult	UN Security Council	2008-04-07
Government (Latin America)	Consult	Henry M. Paulson	2007-06-07
Mahmoud Abbas	Consult	Farouk al-Sharaa	2006-06-29
Vietnam	Sign formal agreement	China	2006-11-20
Barack Obama	Consult	Xi Jinping	2013-05-28
China	Express intent to cooperate	South Korea	2005-05-20
Timor-Leste	Sign formal agreement	South Korea	2005-04-01
Ma Ying Jeou	Consult	Yasuo Fukuda	2008-08-02
Tony Blair	Consult	Bertie Ahern	2007-02-01
Congress (Argentina)	Consult	Presidential Candidate (Argentina)	2014-09-02
Malaysia	Sign formal agreement	Laos	2008-07-22
Kuwait	Engage in negotiation	Roh Moo Hyun	2007-03-27
Dmitry Anatolyevich Medvedev	Consult	Head of Government (Ukraine)	2011-10-19
Benjamin Netanyahu	Consult	Cabinet / Council of Ministers / Advisors (United States)	2010-09-14
China	Engage in negotiation	Japan	2009-06-07
Head of Government (Greece)	Consult	Georgios Papandreou	2011-05-27
Saud bin Faisal bin Abdul-Aziz	Consult	Royal Administration (Saudi Arabia)	2011-03-02
Party Member (Iraq)	Consult	Quds Force	2008-05-02
Tanzania	Consult	Angola	2007-04-03
Thailand	Sign formal agreement	Association of Southeast Asian Nations	2008-09-19
South Korea	Express intent to cooperate	China	2008-11-26
Derek Plumbly	Consult	Nabih Berri	2014-08-27
China	Sign formal agreement	France	2015-10-30
Iran	Consult	Head of Government (Pakistan)	2009-05-23
Javier Solana	Engage in negotiation	Iran	2007-10-23
Treasury/Finance Ministry (Syria)	Consult	Ministry (Iran)	2006-05-30
China	Consult	Japan	2005-02-19
Colombia	Consult	Bolivia	2015-07-14
Xi Jinping	Consult	Businessperson (China)	2014-11-09
Solidarity	Engage in negotiation	Government (Poland)	2009-04-03
Association of Southeast Asian Nations	Sign formal agreement	Japan	2008-03-28
UN Security Council	Engage in negotiation	Barisan Revolusi Nasional	2014-11-13
Benjamin Netanyahu	Consult	Cabinet / Council of Ministers / Advisors (United States)	2013-10-24
Lawyer/Attorney (Australia)	Consult	Citizen (Australia)	2009-11-30
Business (Bulgaria)	Sign formal agreement	USAID	2005-04-26
Madagascar	Consult	Angola	2010-05-18
Angela Merkel	Consult	Benjamin Netanyahu	2011-04-08
South Korea	Engage in diplomatic cooperation	Japan	2015-03-21
Cabinet / Council of Ministers / Advisors (United States)	Consult	Benjamin Netanyahu	2010-10-04
Japan	Consult	China	2006-07-08
Government (Sudan)	Sign formal agreement	High Commission for Refugees	2006-05-01
Foreign Affairs (India)	Discuss by telephone	Head of Government (Pakistan)	2008-12-07
Court Judge (United Kingdom)	Consult	News Editor (United Kingdom)	2012-01-10
Sheikh Hamad bin Khalifa al-Thani	Consult	Ali Abdullah Saleh	2007-06-07
Andrius Kubilius	Consult	Bogdan Klich	2010-06-16
Sedki Sobhi	Consult	Chuck Hagel	2014-04-14
Barack Obama	Consult	Haider Al-Abadi	2015-06-29
South Korea	Engage in negotiation	Association of Southeast Asian Nations	2005-10-12
Thailand	Engage in negotiation	China	2010-03-11
China	Sign formal agreement	Japan	2007-02-26
Vietnam	Consult	Cambodia	2011-11-15
Iran	Consult	Kazakhstan	2012-08-31
South Sudan	Express intent to cooperate	Sudan	2012-09-09
Business (South Korea)	Consult	Head of Government (South Korea)	2006-11-30
Yuriy Yekhanurov	Engage in negotiation	Mikulas Dzurinda	2005-11-24
South Africa	Consult	China	2013-08-27
Mahmoud Ahmadinejad	Consult	Head of Government (Qatar)	2010-09-06
High Ranking Military Personnel (United Kingdom)	Consult	Xu Caihou	2011-03-29
Japan	Engage in diplomatic cooperation	China	2010-10-18
China	Engage in negotiation	Japan	2014-11-07
Barack Obama	Engage in negotiation	Benjamin Netanyahu	2015-09-17
Abdullah Gül	Engage in negotiation	Iraq	2010-10-21
Foreign Affairs (Israel)	Consult	France	2014-01-16
Member of Legislative (Govt) (France)	Consult	Xi Jinping	2014-01-27
Japan	Engage in negotiation	China	2015-03-22
Japan	Consult	South Korea	2006-03-14
Colombia	Consult	Iraq	2008-09-09
Segolene Royal	Consult	Representatives (France)	2007-03-08
Malawi	Sign formal agreement	South Africa	2007-05-07
Gilchrist Olympio	Consult	Oluṣẹgun Ọbasanjọ	2005-04-26
Iraq	Consult	National Security Advisor (Iraq)	2007-11-03
Ali Abdullah Saleh	Engage in negotiation	Iraq	2007-11-10
Party President (Germany)	Consult	Angela Merkel	2015-06-29
Ethiopia	Sign formal agreement	Sudan	2005-12-14
Presidential Candidate (Afghanistan)	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2014-07-12
Sudan	Sign formal agreement	South Sudan	2013-04-17
Islam Karimov	Consult	Cabinet / Council of Ministers / Advisors (United States)	2010-08-07
Yemen	Engage in diplomatic cooperation	Burundi	2008-04-03
Mahmoud Abbas	Consult	Envoy (United States)	2014-04-24
Northern Ireland	Consult	Party Member (United Kingdom)	2006-11-26
Malaysia	Consult	Vietnam	2012-04-27
Eid Kabalu	Discuss by telephone	Associated Press	2007-03-08
Nelson Azevedo Jobim	Consult	José Bayardi	2008-05-16
Association of Southeast Asian Nations	Express intent to cooperate	Japan	2005-03-12
Foreign Affairs (Hungary)	Consult	Foreign Affairs (Romania)	2015-09-16
Wang Yi	Consult	Thongsing Thammavong	2013-08-03
Yuriy Yekhanurov	Consult	Mikhail Yefimovich Fradkov	2005-09-30
Japan	Sign formal agreement	Vietnam	2008-10-20
China	Consult	Iran	2008-07-24
Ian Paisley	Engage in negotiation	Tony Blair	2005-05-21
African Union	Consult	Head of Government (Egypt)	2008-07-01
Barack Obama	Consult	Ethiopia	2015-07-27
Tanzania	Consult	Burundi	2014-10-02
China	Consult	Mexico	2005-07-07
Daniel Scioli	Consult	Head of Government (Brazil)	2015-04-10
Tanzania	Express intent to cooperate	South Africa	2013-01-26
Congress (Brazil)	Consult	Barack Obama	2012-12-29
Iran	Meet at a 'third' location	Catherine Ashton	2012-04-14
Jakaya Mrisho Kikwete	Discuss by telephone	Gordon Johndroe	2008-04-11
Barack Obama	Consult	Iran	2014-09-16
Mahmoud Abbas	Engage in negotiation	Ali Abdullah Saleh	2006-08-07
Cambodia	Meet at a 'third' location	Laos	2012-07-26
Iran	Engage in negotiation	Nuri al-Maliki	2009-02-10
Laos	Consult	Tran Dinh Hoan	2005-10-20
Raúl Castro	Consult	Barack Obama	2015-04-13
Foreign Affairs (India)	Consult	Valdas Adamkus	2009-05-18
Foreign Affairs (Austria)	Consult	Edgars Rinkevics	2015-02-11
Angela Merkel	Consult	Wen Jiabao	2010-10-10
Vietnam	Express intent to cooperate	Laos	2008-06-10
Dominican Republic	Sign formal agreement	International Monetary Fund	2008-01-28
Police (Syria)	Consult	High Ranking Military Personnel (Syria)	2015-01-31
Pervez Musharraf	Engage in negotiation	Envoy (United States)	2008-03-26
Association of Southeast Asian Nations	Meet at a 'third' location	Wen Jiabao	2007-01-14
Tony Blair	Consult	Shimon Peres	2012-11-20
Yoshihiko Noda	Express intent to cooperate	Wen Jiabao	2012-05-15
Tony Blair	Consult	Mahmoud Abbas	2006-12-19
Member of Parliament (India)	Consult	Rajya Sabha	2009-05-23
China	Consult	South Africa	2010-02-05
Lawyer/Attorney (Kenya)	Engage in negotiation	Lucy Kibaki	2005-05-23
Oman	Consult	Kuwait	2015-05-15
Laos	Express intent to cooperate	Thailand	2007-08-22
South Korea	Engage in diplomatic cooperation	Japan	2010-11-14
Japan	Consult	China	2006-10-19
South Sudan	Sign formal agreement	Sudan	2012-10-08
Finance / Economy / Commerce / Trade Ministry (Japan)	Consult	Robert Jones Portman	2006-04-07
Angela Merkel	Engage in negotiation	Dmitry Anatolyevich Medvedev	2008-08-15
Bahk Jaewan	Consult	Business (South Korea)	2012-09-27
Japan	Engage in negotiation	China	2015-03-23
Thailand	Express intent to cooperate	Citizen (Thailand)	2008-05-01
Daniel Scioli	Consult	Justicialist Party	2013-10-03
Foreign Affairs (India)	Sign formal agreement	Ministry (Afghanistan)	2013-07-30
Catherine Ashton	Consult	Iran	2010-12-06
Barack Obama	Consult	Benjamin Netanyahu	2009-11-25
Dmitry Anatolyevich Medvedev	Sign formal agreement	Barack Obama	2010-02-17
Mexico	Express intent to cooperate	Guatemala	2013-09-02
Mauritania	Consult	China	2010-11-19
South Korea	Consult	China	2009-05-05
Yemen	Engage in negotiation	Ali Abdullah Saleh	2009-03-06
Javier Solana	Consult	Iran	2007-06-24
Mahmoud Abbas	Consult	Envoy (Qatar)	2006-10-09
Japan	Sign formal agreement	Mexico	2005-12-12
Laos	Sign formal agreement	Vietnam	2009-02-05
Japan	Engage in negotiation	South Korea	2008-12-10
Vietnam	Engage in diplomatic cooperation	China	2012-05-07
Barack Obama	Consult	Mahmoud Abbas	2009-05-28
China	Engage in diplomatic cooperation	Iran	2009-06-17
Lawyer/Attorney (United Kingdom)	Express intent to cooperate	Citizen (United Kingdom)	2006-09-04
Sudan	Consult	High Ranking Military Personnel (Sudan)	2015-01-02
Japan	Express intent to cooperate	Thailand	2008-08-22
China	Express intent to cooperate	South Korea	2008-05-04
Kuwait	Engage in diplomatic cooperation	Iran	2014-05-20
Iran	Engage in diplomatic cooperation	Iraq	2012-12-15
David Bakradze	Consult	International Government Organizations	2015-07-07
Sudan	Sign formal agreement	South Sudan	2013-05-07
Barack Obama	Consult	Julia Gillard	2010-11-14
China	Sign formal agreement	Laos	2011-11-01
Election Commission (India)	Consult	Member of Parliament (India)	2013-10-27
Nuri al-Maliki	Consult	Barack Obama	2012-07-19
Social Democratic Party (China)	Consult	China	2010-10-04
Monastery (China)	Discuss by telephone	Associated Press	2008-04-09
Vietnam	Engage in diplomatic cooperation	Laos	2015-09-28
Japan	Express intent to cooperate militarily	China	2005-06-29
South Korea	Express intent to cooperate	Cambodia	2006-03-22
Iran	Sign formal agreement	Togo	2005-07-21
Vietnam	Consult	United Russia	2008-12-04
Cabinet / Council of Ministers / Advisors (Hungary)	Sign formal agreement	Ministry (Romania)	2007-11-14
Abdel Fattah Al-Sisi	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2015-06-25
Thailand	Engage in diplomatic cooperation	Iraq	2014-03-27
Muhammad VI	Consult	Mohamed Ould Abdel Aziz	2009-10-25
Sudan	Sign formal agreement	South Sudan	2012-08-05
Vietnam	Consult	South Korea	2013-11-15
Alexis Tsipras	Engage in negotiation	Angela Merkel	2015-05-21
Iraq	Consult	Japan	2009-12-21
Congress (United States)	Consult	Valdas Adamkus	2005-10-10
Wen Jiabao	Consult	Yoshihiko Noda	2012-05-10
Mohamed Ould Abdel Aziz	Consult	Member of Parliament (France)	2011-05-04
Iraq	Sign formal agreement	Iran	2008-02-25
Media Personnel (Japan)	Consult	Cabinet / Council of Ministers / Advisors (Japan)	2007-04-21
Mahmoud Abbas	Consult	Okada Katsuya	2005-04-30
China	Engage in negotiation	Japan	2007-04-06
Government (Pakistan)	Sign formal agreement	Benazir Bhutto	2006-04-20
Thongsing Thammavong	Consult	Julia Gillard	2012-11-05
Branko Crvenkovski	Consult	Government Official (Macedonia)	2007-10-09
Sudan	Sign formal agreement	Ethiopia	2012-05-22
United Arab Emirates	Consult	Middle East	2015-04-26
Cabinet / Council of Ministers / Advisors (United States)	Consult	Foreign Affairs (India)	2012-07-21
Iran	Express intent to cooperate	China	2015-09-15
South Korea	Engage in negotiation	China	2005-02-12
Eritrea	Engage in negotiation	Ethiopia	2007-05-04
Japan	Meet at a 'third' location	South Korea	2005-04-14
Abdel Fattah Al-Sisi	Discuss by telephone	Barack Obama	2015-04-02
Japan	Express intent to cooperate on intelligence	South Korea	2014-12-26
South Korea	Sign formal agreement	China	2005-11-16
Kuwait	Sign formal agreement	Japan	2012-03-22
Middle East	Consult	Barack Obama	2009-01-21
Benjamin Netanyahu	Discuss by telephone	Mahmoud Abbas	2009-04-14
China	Consult	Japan	2008-02-18
Japan	Consult	South Korea	2015-05-13
Barack Obama	Engage in negotiation	Uhuru Muigai Kenyatta	2015-07-26
Jens Stoltenberg	Consult	Martin Stropnický	2015-09-10
Iraq	Sign formal agreement	France	2009-11-18
Government (Palestinian Territory, Occupied)	Consult	Japan	2008-12-31
Japan	Consult	South Korea	2011-01-05
Emperor Akihito	Consult	Xi Jinping	2009-12-12
Abdullah Gül	Consult	Media Personnel (International)	2010-05-12
China	Consult	South Korea	2007-08-23
Oman	Meet at a 'third' location	Kuwait	2009-03-01
Cristina Fernández de Kirchner	Consult	Hugo Moyano	2011-03-22
Barack Obama	Consult	Xi Jinping	2012-02-20
Julia Gillard	Consult	Member of Parliament (Australia)	2011-03-04
Liu Yandong	Consult	Rahm Israel Emanuel	2013-12-23
Ma Ying Jeou	Meet at a 'third' location	Xi Jinping	2015-11-06
South Korea	Sign formal agreement	China	2007-10-05
Abdul Aziz Abdul Ghani	Consult	Legislature (Bahrain)	2010-02-19
Vietnam	Express intent to cooperate	China	2007-10-30
South Korea	Express intent to cooperate	Japan	2014-09-19
Dmitry Anatolyevich Medvedev	Sign formal agreement	Sergey Bagapsh	2008-09-17
China	Express intent to cooperate	Thailand	2007-05-30
Islamic Preacher (Iran)	Consult	Iran	2011-03-15
Iran	Express intent to cooperate	Portugal	2015-01-28
France	Sign formal agreement	South Africa	2013-10-14
South Korea	Express intent to cooperate	Mexico	2007-08-08
Head of Government (Egypt)	Engage in negotiation	Supreme Council (Iraq)	2010-10-12
Media Personnel (Argentina)	Consult	Justicialist Party	2014-03-21
Cabinet / Council of Ministers / Advisors (Somalia)	Consult	South Africa	2013-04-08
Association of Southeast Asian Nations	Engage in diplomatic cooperation	Japan	2007-11-21
Mahmoud Abbas	Meet at a 'third' location	Shimon Peres	2006-03-13
South Korea	Consult	China	2015-04-24
Japan	Sign formal agreement	South Korea	2006-06-01
Eduardo Rodríguez	Consult	Opposition Supporter (Peru)	2005-06-12
Vietnam	Express intent to cooperate	China	2008-04-24
Vietnam	Engage in diplomatic cooperation	Japan	2008-01-31
Associated Press	Discuss by telephone	Other Authorities / Officials (Mexico)	2009-11-03
Japan	Sign formal agreement	Association of Southeast Asian Nations	2011-11-18
Businessperson (Germany)	Consult	Chen Deming	2008-11-10
Food, Water, and Disaster Relief (Maldives)	Consult	Maumoon Abdul Gayoom	2005-02-25
Mahmoud Ahmadinejad	Meet at a 'third' location	Economic Cooperation Organization	2010-12-22
Military (Russia)	Consult	Anatoly Antonov	2015-10-06
Vietnam	Consult	Laos	2008-07-29
Mahmoud Abbas	Consult	Other Authorities / Officials (Egypt)	2005-12-22
Guinea-Bissau	Consult	Angola	2007-10-12
Head of Government (Pakistan)	Consult	Mahmoud Ahmadinejad	2010-12-09
Qatar	Engage in negotiation	United Arab Emirates	2006-09-21
Head of Government (Ukraine)	Sign formal agreement	Dmitry Anatolyevich Medvedev	2010-04-21
Philip Hammond	Consult	Iran	2015-08-29
Alberto Fernández	Consult	Cristina Fernández de Kirchner	2008-05-24
Media Personnel (Somalia)	Discuss by telephone	Associated Press	2006-09-13
Wen Jiabao	Consult	Pervez Musharraf	2005-04-06
China	Consult	South Korea	2015-12-23
Government (Sudan)	Engage in negotiation	South Sudan	2009-10-15
Media Personnel (Somalia)	Discuss by telephone	Associated Press	2008-03-26
Eritrea	Consult	Ethiopia	2015-09-29
China	Meet at a 'third' location	France	2013-10-17
Estelle Morris	Consult	Governor (Thailand)	2005-02-24
Xi Jinping	Sign formal agreement	Islam Karimov	2013-09-09
Royal Administration (Jordan)	Consult	Mahmoud Abbas	2007-10-25
Benjamin Netanyahu	Consult	Barack Obama	2009-11-17
Anatoly Antonov	Consult	Foreign Affairs (Argentina)	2015-03-18
Angela Merkel	Consult	Alexis Tsipras	2015-06-09
China	Sign formal agreement	France	2015-07-17
Mahmoud Ahmadinejad	Consult	Ministry (Iran)	2013-09-08
Islam Karimov	Consult	South Korea	2012-09-22
Agriculture / Fishing / Forestry Ministry (Brazil)	Consult	Abdel Fattah Al-Sisi	2014-08-28
China	Consult	South Korea	2007-11-10
International Monetary Fund	Consult	Japan	2012-10-17
High Ranking Military Personnel (Pakistan)	Consult	Central Intelligence Agency	2008-07-30
Iraq	Engage in negotiation	Iran	2015-08-19
Mahmoud Abbas	Consult	Royal Administration (Jordan)	2005-01-28
Boediono	Consult	Wen Jiabao	2011-04-30
Iran	Consult	China	2006-01-31
Congress (Philippines)	Express intent to cooperate	Justice Department/Ministery (Philippines)	2005-02-22
Ali Abdullah Saleh	Engage in negotiation	Roh Moo Hyun	2005-04-30
Envoy (United States)	Consult	South Korea	2010-02-25
Head of Government (Pakistan)	Consult	Barack Obama	2010-05-13
South Korea	Engage in diplomatic cooperation	Japan	2012-08-10
Saud bin Faisal bin Abdul-Aziz	Consult	Newspaper (United Kingdom)	2005-09-17
Media Personnel (Colombia)	Discuss by telephone	Associated Press	2005-10-17
Dmitry Anatolyevich Medvedev	Express intent to cooperate	Barack Obama	2009-06-16
Pervez Musharraf	Consult	United States Senate	2007-01-14
Member of Parliament (India)	Consult	Protester (India)	2014-02-07
Doctors Without Borders	Discuss by telephone	Barack Obama	2015-10-07
Lawyer/Attorney (Egypt)	Consult	Head of Government (Egypt)	2008-11-12
France	Sign formal agreement	Representatives (Algeria)	2012-03-20
Japan	Express intent to cooperate	China	2009-04-30
Labor Union (India)	Consult	Amit Shah	2014-11-03
Madagascar	Sign formal agreement	Ethiopia	2010-01-30
Laos	Consult	Cambodia	2013-10-28
Kim Hwang Sik	Consult	Chen Zhili	2012-09-05
