,head,relation,tail,time
852,Head of Government (Uruguay),Consult,Cristina Fernández de Kirchner,2013-04-11
853,Supreme Council (South Korea),Consult,Grand National Party,2011-09-23
854,Japan,Sign formal agreement,China,2008-12-06
855,China,Express intent to meet or negotiate,Japan,2006-11-15
856,Barack Obama,Express intent to meet or negotiate,Shimon Peres,2011-04-03
857,Mahdi Army,Use conventional military force,Iraq,2008-04-01
858,Ministry (Iran),Consult,Head of Government (Pakistan),2013-02-20
859,Islamic Preacher (Iran),Consult,Iran,2013-11-13
860,France,Express intent to meet or negotiate,Iran,2013-02-23
861,Vietnam,Consult,National Lawyers Guild,2009-06-17
862,Taavi Rõivas,Consult,Arseniy Yatsenyuk,2015-02-23
863,Cláudio Lembo,Discuss by telephone,Ministry (Brazil),2006-05-15
864,Catherine Ashton,Meet at a 'third' location,Hashim Thaçi,2013-11-06
865,Middle East,Engage in diplomatic cooperation,Oman,2008-04-22
866,Yemen,Engage in diplomatic cooperation,Japan,2007-03-07
867,Japan,Consult,Cambodia,2007-04-03
868,Thailand,Express intent to cooperate,Laos,2011-04-21
869,Laos,Express intent to cooperate,Malaysia,2013-11-18
870,Vietnam,Sign formal agreement,Laos,2007-07-10
871,Eurasian Economic Community,Consult,Islam Karimov,2006-08-17
872,Qabus ibn Sa`id,Consult,Abdullah Gül,2010-04-14
873,Tatarstan,Engage in diplomatic cooperation,Iran,2005-12-14
874,Omar Suleiman,Consult,Mahmoud Abbas,2009-05-28
875,China,Consult,France,2010-01-08
876,Angola,Express intent to cooperate,China,2009-09-01
877,Indigenous People (Uganda),Discuss by telephone,Daily Monitor,2012-01-23
878,Head of Government (India),Consult,Xi Jinping,2014-06-30
879,Citizen (Greece),Express intent to engage in diplomatic cooperation (such as policy support),France,2015-06-02
880,Organization of Petroleum Exporting Countries,Meet at a 'third' location,Mahmoud Ahmadinejad,2007-11-19
881,Naledi Pandor,Consult,ANC Youth League,2009-02-17
882,Malaysia,Express intent to cooperate,Thailand,2005-09-13
883,Solomon Passy,Engage in negotiation,Toomas Hendrik Ilves,2009-02-05
884,Qatar,Consult,United Arab Emirates,2014-08-25
885,Omar Suleiman,Consult,Mahmoud Abbas,2005-12-22
886,Police (Australia),Consult,Citizen (Australia),2012-08-14
887,Iran,Engage in negotiation,Barack Obama,2015-04-07
888,Uhuru Muigai Kenyatta,Express intent to meet or negotiate,William Ruto,2012-02-03
889,Daniel Scioli,Consult,Cristina Fernández de Kirchner,2015-11-23
890,Gurbanguly Berdymukhammedov,Consult,Richard Boucher,2008-05-30
891,Senate (Romania),Consult,Legislature (Romania),2005-06-20
892,Muhammadu Buhari,Consult,Barack Obama,2015-07-16
893,Air Force (Canada),Express intent to engage in material cooperation,Naval (Canada),2005-02-16
894,Cambodia,Consult,China,2015-05-04
895,China,Consult,Iran,2010-12-08
896,Prem Tinsulanonda,Demonstrate or rally,Prem Tinsulanonda,2007-03-21
897,Shimon Peres,Consult,Israeli Defense Forces,2011-08-17
898,Kuwait,Sign formal agreement,Ethiopia,2007-05-14
899,China,Consult,South Korea,2012-12-06
900,Vietnam,Accuse,China,2014-06-10
901,Wen Jiabao,Consult,Head of Government (Chile),2008-04-13
902,Sudan,Express intent to cooperate,South Sudan,2012-10-04
903,Ministry (Afghanistan),Consult,Radoslaw Sikorski,2008-07-14
904,Japan,Engage in diplomatic cooperation,China,2015-03-27
905,Gholam Reza Aghazadeh,Consult,Sergey Vladilenovich Kiriyenko,2006-12-11
906,China,Consult,Foreign Affairs (India),2015-02-23
907,Tzipi Livni,Consult,Javier Solana,2009-06-12
908,Barack Obama,Engage in negotiation,Iran,2015-04-07
909,African Union,Consult,Barack Obama,2013-06-30
910,France,Consult,Adrian Cioroianu,2007-09-05
911,Liu Zhenmin,Express intent to meet or negotiate,Shinsuke Sugiyama,2015-03-05
912,Mahmoud Abbas,Consult,Royal Administration (Jordan),2005-10-05
913,Vietnam,Engage in diplomatic cooperation,China,2008-05-31
914,Citizen (Australia),Consult,Police (Australia),2012-08-14
915,China,Engage in diplomatic cooperation,South Sudan,2012-04-09
916,China,Engage in negotiation,Romania,2013-11-25
917,Benjamin Netanyahu,Consult,Cabinet / Council of Ministers / Advisors (United States),2013-12-19
918,Foreign Affairs (France),Engage in negotiation,Iraq,2015-06-29
919,Military (Myanmar),fight with small arms and light weapons,Thailand,2007-03-23
920,Gurbanguly Berdymukhammedov,Sign formal agreement,Ashraf Ghani Ahmadzai,2015-01-22
921,Richard Boucher,Consult,Gurbanguly Berdymukhammedov,2008-05-30
922,Boonrawd Somtat,Consult,Governor (Thailand),2006-10-16
923,Mahmoud Ahmadinejad,Discuss by telephone,Iraq,2007-04-29
924,Mexico,Make pessimistic comment,Iran,2015-12-03
925,"Government (Palestinian Territory, Occupied)",Consult,Mahmoud Abbas,2006-12-16
926,Japan,Express intent to meet or negotiate,South Korea,2005-12-01
927,China,Consult,Yemen,2009-04-19
928,Laos,Engage in diplomatic cooperation,Thailand,2012-06-22
929,Associated Press,Consult,Ashraf Ghani Ahmadzai,2014-04-03
930,Iraq,Engage in diplomatic cooperation,Iran,2009-05-26
931,China,Express intent to cooperate,Japan,2006-02-07
932,Sato Kilman,Consult,Director General (Vanuatu),2007-08-08
933,Barack Obama,Discuss by telephone,Joanne Liu,2015-10-08
934,Ma Ying Jeou,Engage in negotiation,Tsai Ing-wen,2010-05-02
935,Vietnam,Sign formal agreement,Laos,2006-01-26
936,Tony Blair,Consult,Catherine Ashton,2012-01-24
937,China,Engage in diplomatic cooperation,Japan,2014-11-11
938,China,Sign formal agreement,Malaysia,2008-05-03
939,Iran,Engage in negotiation,UN Security Council,2014-05-30
940,South Korea,Express intent to cooperate,Japan,2005-08-04
941,Shivshankar Menon,Consult,Undersecretary (United States),2008-02-29
942,Other Authorities / Officials (Turkey),Consult,Barack Obama,2014-10-20
943,Cabinet / Council of Ministers / Advisors (Bangladesh),Consult,Member of Parliament (Bangladesh),2012-01-26
944,Kuwait,Meet at a 'third' location,Iran,2005-04-30
945,China,Express intent to engage in diplomatic cooperation (such as policy support),Cambodia,2008-12-10
946,Business (Indonesia),Engage in material cooperation,Police (Indonesia),2006-02-25
947,United Arab Emirates,Consult,WAM news agency,2006-08-05
948,Government (Nigeria),Sign formal agreement,Labor Union (Nigeria),2011-02-04
949,Medical Personnel (India),Consult,Director General (India),2010-12-12
950,Legislature (Romania),Consult,Senate (Romania),2005-06-20
951,Japan,Meet at a 'third' location,UN Security Council,2006-10-10
952,Mexico,Consult,Colombia,2013-05-23
953,Government (South Africa),Consult,Royal Administration (South Africa),2012-05-31
954,Chaudhry Nisar Ali Khan,Consult,High Ranking Military Personnel (Pakistan),2014-03-21
955,Business (South Korea),Consult,Grand National Party,2010-11-03
956,Senate (Romania),Consult,Legislature (Romania),2012-08-27
957,Laos,Engage in negotiation,Vietnam,2005-08-01
958,Vietnam,Sign formal agreement,Kuwait,2007-05-23
959,Qatar,Engage in diplomatic cooperation,Yemen,2014-03-30
960,Sudan,Consult,South Sudan,2013-01-04
961,China,Express intent to cooperate,South Korea,2009-11-18
962,Aigars Kalvitis,Consult,Foreign Affairs (Israel),2006-07-13
963,China,Express intent to settle dispute,Vietnam,2015-03-11
964,Benjamin Netanyahu,Consult,Likud,2015-11-03
965,Envoy (United States),Engage in negotiation,China,2010-02-25
966,Wen Jiabao,Consult,Tony Blair,2005-09-05
967,Tzipi Livni,Consult,Terje Roed Larsen,2006-08-21
968,China,Engage in diplomatic cooperation,Vietnam,2010-10-12
969,Shinsuke Sugiyama,Express intent to meet or negotiate,Liu Zhenmin,2015-03-05
970,Tsai Ing-wen,Engage in negotiation,Ma Ying Jeou,2010-05-02
971,The Hague,Make optimistic comment,The Hague,2007-10-04
972,Angela Merkel,Consult,Benjamin Netanyahu,2011-01-31
973,Member of Legislative (Govt) (South Korea),Consult,Democratic Party,2010-11-08
974,Government (Sudan),Sign formal agreement,African Union,2007-04-10
975,Ministry of International Cooperation (Sudan),Sign formal agreement,Norwegian Church Aid,2006-08-29
976,Japan,Consult,China,2007-01-12
977,Andrzej Lepper,Consult,Hui Liangyu,2006-11-30
978,Thailand,Express intent to cooperate,Malaysia,2005-09-13
979,Kuwait,Engage in diplomatic cooperation,Iran,2014-11-27
980,Angola,Express intent to engage in diplomatic cooperation (such as policy support),Portugal,2015-11-13
981,Head of Government (Kenya),Consult,Media (Africa),2011-02-23
982,Daily Monitor,Consult,Media Personnel (Uganda),2010-07-22
983,Japan,Consult,South Korea,2006-11-08
984,China,Engage in diplomatic cooperation,Vietnam,2008-05-31
985,Foreign Affairs (Israel),Consult,Foreign Affairs (Argentina),2013-01-29
986,Japan,Engage in diplomatic cooperation,South Korea,2009-05-03
987,Malaysia,Sign formal agreement,Oman,2015-10-22
988,Benjamin Netanyahu,Consult,Barack Obama,2015-11-20
989,Cambodia,Engage in negotiation,Malaysia,2008-06-19
990,Mehmet Agar,Consult,Industry (Turkey),2006-10-11
991,Ethiopia,Sign formal agreement,Kuwait,2007-05-14
992,Dmitry Anatolyevich Medvedev,Consult,Benjamin Netanyahu,2010-12-04
993,Oluṣẹgun Ọbasanjọ,Discuss by telephone,Media (Africa),2015-01-13
994,Vietnam,Express intent to cooperate,Cambodia,2007-04-10
995,Kuomintang,Engage in negotiation,China,2005-04-30
996,Human Rights Watch,Consult,Associated Press,2010-07-23
997,Lawyer/Attorney (Australia),Make statement,Police (Australia),2005-07-01
998,Serik Akhmetov,Consult,Dmitry Anatolyevich Medvedev,2013-11-20
999,Foreign Affairs (Venezuela),Express intent to meet or negotiate,Colombia,2014-11-18
1000,Hashim Thaçi,Meet at a 'third' location,Catherine Ashton,2013-11-06
1001,Nuri al-Maliki,Engage in negotiation,Head of Government (Qatar),2011-10-30
1002,UN Security Council,Sign formal agreement,Iran,2015-09-28
1003,China,Consult,South Korea,2008-10-31
1004,Alexis Tsipras,Discuss by telephone,Jacob J. Lew,2015-05-28
1005,Daniel Mitov,Express intent to meet or negotiate,Philip Hammond,2015-01-14
1006,Iran,Engage in negotiation,Sergey Vladilenovich Kiriyenko,2006-09-25
1007,Barack Obama,Engage in negotiation,Abdullah Gül,2009-04-06
1008,Roh Moo Hyun,Engage in negotiation,Oluṣẹgun Ọbasanjọ,2006-11-06
1009,Cambodia,Express intent to cooperate,Thailand,2014-06-17
1010,South Korea,Express intent to meet or negotiate,China,2006-03-24
1011,Angela Merkel,Engage in negotiation,Herman Van Rompuy,2010-02-11
1012,Romania,Engage in diplomatic cooperation,France,2014-02-07
1013,Chevron,Consult,Other Authorities / Officials (Nigeria),2010-08-04
1014,Ministry (Brazil),Consult,Head of Government (Brazil),2014-10-23
1015,Benedict XVI,Discuss by telephone,Angela Merkel,2009-02-08
1016,China,Express intent to cooperate,South Korea,2011-08-28
1017,South Korea,Express intent to meet or negotiate,Japan,2008-03-30
1018,China,Express intent to cooperate,South Korea,2012-05-13
1019,China,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2006-08-29
1020,Police (Philippines),Engage in negotiation,City Mayor (Philippines),2014-01-31
1021,Abdullah Gül,Engage in symbolic act,Tzipi Livni,2006-05-29
1022,Thailand,Use conventional military force,Military (Myanmar),2007-03-27
1023,South Korea,Express intent to cooperate,China,2009-11-18
1024,Valentin Sobolev,Discuss by telephone,UN Security Council,2008-02-18
1025,Police (Australia),Consult,Police (New Zealand),2014-12-11
1026,Laos,Consult,Cambodia,2008-10-23
1027,Colombia,Express intent to meet or negotiate,Foreign Affairs (Venezuela),2014-11-18
1028,Envoy (United States),Consult,Yerlan Idrisov,2012-10-04
1029,South Korea,Express intent to cooperate,China,2009-04-12
1030,South Africa,Express intent to cooperate,China,2014-11-16
1031,Iván Velázquez-Caballero,Use unconventional violence,Miguel Treviño Morales,2012-09-27
1032,Japan,Express intent to cooperate,China,2009-01-07
1033,Cambodia,Consult,Laos,2008-10-22
1034,Benjamin Netanyahu,Engage in negotiation,Envoy (United States),2010-08-11
1035,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Rashid Gumarovich Nurgaliyev,2007-06-01
1036,Royal Administration (Jordan),Consult,Mahmoud Abbas,2005-10-05
1037,Election Commission (India),Consult,Media (India),2010-11-02
1038,Japan,Engage in diplomatic cooperation,South Korea,2014-09-04
1039,Sheikh Ahmed Abdullah,Engage in negotiation,Amina Mohamed,2015-06-09
1040,Energy Department/Ministry (Brazil),Express intent to engage in diplomatic cooperation (such as policy support),Lee Myung Bak,2008-11-19
1041,Toru Hashimoto,Consult,Okada Katsuya,2015-08-31
1042,Sher Bahadur Deuba,Consult,Foreign Affairs (India),2015-09-19
1043,Professor (France),Consult,Media (Africa),2015-12-02
1044,Civil Service (Laos),Share intelligence or information,Domestic Affairs (Vietnam),2006-08-01
1045,China,Engage in diplomatic cooperation,Japan,2005-06-02
1046,Oman,Sign formal agreement,Iran,2008-12-22
1047,Mekong River Commission,Consult,Vietnam,2014-04-05
1048,Japan,Make an appeal or request,China,2007-01-17
1049,Mohammad Reza Naqdi,Consult,Mehr News Agency,2009-11-30
1050,China,Express intent to engage in diplomatic cooperation (such as policy support),France,2008-06-14
1051,South Korea,Consult,Japan,2005-06-14
1052,Barack Obama,Engage in negotiation,Angela Merkel,2013-06-11
1053,China,Consult,South Africa,2012-03-28
1054,Barack Obama,Consult,Mahmoud Abbas,2010-06-02
1055,Barack Obama,Consult,Benjamin Netanyahu,2015-09-02
1056,Mahmoud Abbas,Engage in negotiation,Royal Administration (Jordan),2005-10-18
1057,Mauritania,Express intent to cooperate,France,2009-10-15
1058,Portugal,Express intent to engage in diplomatic cooperation (such as policy support),Angola,2015-11-13
1059,Police (Israel),Consult,Benjamin Netanyahu,2014-06-14
1060,Arseniy Yatsenyuk,Consult,Taavi Rõivas,2015-02-23
1061,Pham Binh Minh,Engage in negotiation,Cabinet / Council of Ministers / Advisors (United States),2014-05-22
1062,Director General (India),Consult,Medical Personnel (India),2010-12-12
1063,Raheel Sharif,Consult,Senate Armed Services Committee,2014-11-20
1064,Nasser Judeh,Consult,Alexander Vershbow,2012-06-22
1065,Japan,Consult,South Korea,2009-04-14
1066,Media (Africa),Discuss by telephone,Oluṣẹgun Ọbasanjọ,2015-01-13
1067,Vietnam,Engage in diplomatic cooperation,China,2010-10-12
1068,Ali Abdullah Saleh,Consult,Mahmoud Abbas,2007-02-10
1069,Thailand,Consult,Cabinet / Council of Ministers / Advisors (Jordan),2005-04-25
1070,Laos,Express intent to cooperate,Thailand,2011-04-21
1071,Director General (Vanuatu),Consult,Sato Kilman,2007-08-08
1072,China,Express intent to meet or negotiate,South Korea,2012-05-10
1073,Laos,Express intent to meet or negotiate,Cambodia,2006-12-01
1074,Mahmoud Abbas,Consult,Ali Abdullah Saleh,2007-02-10
1075,China,Express intent to engage in diplomatic cooperation (such as policy support),Association of Southeast Asian Nations,2005-08-07
1076,Eritrea,Make an appeal or request,UN Security Council,2008-05-01
1077,Barack Obama,Consult,Benjamin Netanyahu,2015-11-20
1078,City Mayor (Indonesia),Consult,Abdul Aziz,2008-09-29
1079,UN Security Council,Consult,African Union,2005-01-10
1080,Tzipi Livni,Consult,Oman,2007-09-26
1081,Iran,Consult,Iraq,2007-09-03
1082,South Korea,Express intent to cooperate,China,2015-12-22
1083,Yemen,Engage in diplomatic cooperation,Djibouti,2007-03-11
1084,Iran,Sign formal agreement,Bolivia,2012-06-19
1085,Benjamin Netanyahu,Criticize or denounce,Barack Obama,2015-02-22
1086,Niger,Sign formal agreement,Muhammadu Buhari,2015-07-31
1087,Laos,Sign formal agreement,Kuwait,2008-08-06
1088,Guy Scott,Express intent to cooperate,Citizen (Zambia),2014-12-20
1089,Japan,Engage in negotiation,China,2007-08-24
1090,Naval (Canada),Express intent to engage in material cooperation,Air Force (Canada),2005-02-16
1091,China,Express intent to cooperate,Japan,2008-07-22
1092,Education (Iran),Consult,Student (Iran),2009-10-04
1093,Javier Solana,Consult,Iran,2008-03-15
1094,Ministry (Egypt),Consult,Abdel Fattah Al-Sisi,2015-04-22
1095,Iraq,Express intent to cooperate,Iran,2007-07-25
1096,France,Engage in negotiation,Iran,2005-02-18
1097,China,Consult,South Korea,2006-01-05
1098,Wen Jiabao,Consult,Angela Merkel,2006-09-15
1099,Iran,Engage in diplomatic cooperation,Tatarstan,2005-12-14
1100,Burundi,Consult,Tanzania,2013-12-02
1101,Japan,Express intent to meet or negotiate,Association of Southeast Asian Nations,2005-09-29
1102,South Korea,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2012-05-11
1103,Charge D'affaires (Saudi Arabia),Consult,Noppadon Pattama,2008-03-07
1104,Kim Kye Gwan,Consult,Envoy (United States),2007-07-17
1105,Tanzania,Consult,Burundi,2013-12-02
1106,China,Express intent to meet or negotiate,South Korea,2010-02-16
1107,Citizen (Tanzania),Consult,Student (Tanzania),2011-10-04
1108,South Korea,Express intent to engage in diplomatic cooperation (such as policy support),China,2006-08-29
1109,Association of Southeast Asian Nations,Consult,James Baker,2005-07-29
1110,Japan,Engage in negotiation,China,2006-12-18
1111,Thailand,Express intent to meet or negotiate,Laos,2005-07-05
1112,Angela Merkel,Consult,Cabinet / Council of Ministers / Advisors (United States),2015-10-24
1113,France,Consult,China,2008-11-17
1114,Japan,Express intent to meet or negotiate,China,2005-12-08
1115,Barack Obama,Criticize or denounce,Benjamin Netanyahu,2015-02-22
1116,City Mayor (Australia),Express intent to cooperate,Citizen (Australia),2015-02-23
1117,China,Express intent to cooperate,Vietnam,2007-12-03
1118,China,Consult,Japan,2006-02-14
1119,Domestic Affairs (Vietnam),Share intelligence or information,Civil Service (Laos),2006-08-01
1120,Ali Abdullah Saleh,Consult,Head of Government (Qatar),2010-09-08
1121,Barack Obama,Consult,Iran,2015-05-17
1122,Kuwait,Sign formal agreement,Laos,2008-08-06
1123,South Korea,Consult,Japan,2006-11-08
1124,ANC Youth League,Consult,Naledi Pandor,2009-02-17
1125,Vuk Jeremić,Consult,UN Security Council,2008-02-19
1126,Bolivia,Sign formal agreement,Iran,2012-06-19
1127,Uhuru Muigai Kenyatta,Consult,William Ruto,2006-12-20
1128,China,Express intent to cooperate,Japan,2015-10-28
1129,Japan,Express intent to cooperate,China,2005-04-18
1130,Japan,Consult,China,2006-05-18
1131,Laos,Express intent to cooperate,Cambodia,2008-01-16
1132,China,Engage in negotiation,Japan,2011-12-02
1133,Senate (Argentina),Consult,Daniel Scioli,2015-04-14
1134,UN Security Council,Consult,Oluṣẹgun Ọbasanjọ,2005-10-07
1135,Iran,Engage in negotiation,France,2005-02-18
1136,Pokot,Consult,Media (Africa),2015-03-27
1137,Cambodia,Consult,Laos,2008-11-10
1138,Tony Blair,Express intent to meet or negotiate,Mahmoud Abbas,2007-07-23
1139,Thailand,Engage in diplomatic cooperation,Laos,2012-06-22
1140,Malaysia,Express intent to cooperate,Laos,2013-11-18
1141,Abderrahim Ould Hadrami,Sign formal agreement,Foreign Affairs (Mauritania),2007-09-28
1142,Barack Obama,Consult,Muhammadu Buhari,2015-07-16
1143,China,Sign formal agreement,Association of Southeast Asian Nations,2006-03-11
1144,Malaysia,Sign formal agreement,Thailand,2006-04-14
1145,Jerry Ekandjo,Consult,Media (Africa),2008-05-13
1146,Kuwait,Consult,United Arab Emirates,2014-09-15
1147,South Sudan,Express intent to cooperate,Sudan,2013-09-11
1148,Abdullah Gül,Sign formal agreement,Jack Straw,2005-10-09
1149,Djibouti,Engage in diplomatic cooperation,Yemen,2007-03-11
1150,Abdullah Gül,Consult,Angela Merkel,2005-11-24
1151,Internal Security Operations Command,Consult,Royal Thai Police,2013-02-23
1152,Ministry (Brazil),Discuss by telephone,Cláudio Lembo,2006-05-15
1153,Yemen,Consult,Isaias Afewerki,2010-10-22
1154,Islamic Preacher (Iran),Consult,Iran,2013-09-23
1155,Achmad Sukarno,Engage in negotiation,Lawyer/Attorney (United States),2006-01-24
1156,Fan Changlong,Consult,Chuck Hagel,2014-04-08
1157,Barack Obama,Engage in negotiation,Benjamin Netanyahu,2010-06-24
1158,South Korea,Consult,Japan,2009-04-14
1159,Government (Nigeria),Express intent to cooperate,Citizen (Nigeria),2015-02-26
1160,China,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2013-11-15
1161,Citizen (Zambia),Express intent to cooperate,Guy Scott,2014-12-20
1162,Benazir Bhutto,fight with small arms and light weapons,Benazir Bhutto,2007-12-31
1163,Senate (Romania),Consult,Legislature (Romania),2015-11-16
1164,Cabinet / Council of Ministers / Advisors (United States),Consult,Benjamin Netanyahu,2013-12-19
1165,Cambodia,Express intent to cooperate,Vietnam,2007-04-10
1166,Ma Ying Jeou,Consult,Ed Royce,2015-03-13
1167,Vietnam,Express intent to cooperate,Laos,2007-07-11
1168,Shaukat Aziz,Express intent to cooperate,Pervez Musharraf,2005-07-30
1169,Citizen (Singapore),Express intent to meet or negotiate,Government Affiliated Bank (Singapore),2006-09-08
1170,Iran,Engage in diplomatic cooperation,Kuwait,2014-11-27
1171,Laos,Express intent to cooperate,Vietnam,2007-07-11
1172,Separatist (India),fight with small arms and light weapons,Military Personnel - Special (India),2015-09-10
1173,Cambodia,Consult,Thailand,2008-08-02
1174,Legislature (Romania),Express intent to meet or negotiate,Foreign Affairs (Romania),2006-08-29
1175,Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2011-07-04
1176,Joanne Liu,Discuss by telephone,Barack Obama,2015-10-08
1177,China,Engage in diplomatic cooperation,France,2005-05-03
1178,Straits Exchange Foundation,Consult,China,2008-06-13
1179,South Korea,Express intent to cooperate,China,2007-09-14
1180,Laos,Express intent to cooperate,Vietnam,2009-07-04
1181,Police (Philippines),Make statement,City Mayor (Philippines),2006-01-11
1182,Chung Sye Kyun,Consult,Democratic Party,2010-11-03
1183,Pervez Musharraf,Consult,Head of Government (Pakistan),2006-11-11
1184,France,Engage in diplomatic cooperation,Romania,2014-02-07
1185,Foreign Affairs (Argentina),Consult,Foreign Affairs (Israel),2013-01-29
1186,Iran,Consult,Islamic Preacher (Iran),2013-09-23
1187,Japan,Consult,Vietnam,2005-12-02
1188,Mahmoud Abbas,Consult,Barack Obama,2012-03-20
1189,Thailand,Express intent to cooperate,Cambodia,2014-06-17
1190,Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2015-07-16
1191,Saud bin Faisal bin Abdul-Aziz,Consult,Foreign Affairs (Singapore),2007-09-27
1192,Manuel Villar,Consult,Human Rights Watch,2010-04-26
1193,Laos,Consult,Thailand,2012-07-01
1194,Mahmoud Ahmadinejad,Discuss by telephone,Dmitry Anatolyevich Medvedev,2012-02-22
1195,France,Express intent to engage in diplomatic cooperation (such as policy support),Citizen (Greece),2015-06-02
1196,Malaysia,Express intent to cooperate,Japan,2015-05-25
1197,Iraq,Engage in diplomatic cooperation,Iran,2014-02-19
1198,Catherine Ashton,Engage in negotiation,Benjamin Netanyahu,2010-10-01
1199,Prachanda,Consult,Minister Nemwang,2007-10-26
1200,Kuwait,Sign formal agreement,Vietnam,2007-05-23
1201,Thailand,Express intent to engage in diplomatic cooperation (such as policy support),China,2013-11-15
1202,Lawmaker (Japan),Make statement,Government Official (Japan),2007-01-16
1203,National Democratic Party,Sign formal agreement,Main Opposition (Egypt),2010-03-15
1204,Japan,Express intent to meet or negotiate,Mexico,2005-04-13
1205,Royal Administration (Saudi Arabia),Consult,Iraq,2006-10-14
1206,Vietnam,Sign formal agreement,South Korea,2006-06-21
1207,Cambodia,Express intent to cooperate,Laos,2008-06-12
1208,Laos,Sign formal agreement,Vietnam,2007-07-10
1209,Michael Sata,Consult,Archbishop (Zambia),2012-08-10
1210,Colombia,Sign formal agreement,South Korea,2012-07-16
1211,Head of Government (India),Consult,Abdel Fattah Al-Sisi,2015-10-03
1212,Sudan,Engage in diplomatic cooperation,China,2013-03-04
1213,Thailand,Sign formal agreement,Qatar,2010-05-13
1214,Sudan,Express intent to cooperate on intelligence,Vietnam,2010-11-04
1215,Head of Government (South Korea),Consult,Yasuo Fukuda,2008-04-21
