,head,relation,tail,time
15215,Other Authorities / Officials (Nigeria),Make an appeal or request,Government (Nigeria),2013-06-06
15216,Government (Pakistan),Make pessimistic comment,Pervez Musharraf,2007-11-06
15217,South Korea,"Reject proposal to meet, discuss, or negotiate",Japan,2008-07-17
15218,Thailand,Express intent to cooperate,Citizen (Thailand),2013-05-24
15219,Leopoldo López,Make an appeal or request,Citizen (Venezuela),2014-02-16
15220,Japan,Sign formal agreement,South Korea,2005-09-29
15221,Military (Philippines),Use conventional military force,Criminal (Abu Sayyaf),2015-10-08
15222,China,Express intent to meet or negotiate,Japan,2010-08-24
15223,Barack Obama,Make an appeal or request,Mahmoud Abbas,2014-03-18
15224,China,Engage in diplomatic cooperation,Cambodia,2012-05-28
15225,United Arab Emirates,Engage in diplomatic cooperation,Thailand,2015-02-23
15226,Iran,Host a visit,Nuri al-Maliki,2009-05-21
15227,South Korea,Express intent to cooperate,China,2008-08-28
15228,Iran,Expel or deport individuals,Refugee (Afghanistan),2009-04-24
15229,China,Host a visit,Abdullah Gül,2009-07-08
15230,France,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-11-05
15231,France,Host a visit,Lee Myung Bak,2011-11-05
15232,Japan,Express intent to provide military aid,Iraq,2006-06-26
15233,Ma Ying Jeou,Make statement,China,2013-04-09
15234,Ministry (Nigeria),Accuse,Citizen (Nigeria),2014-12-29
15235,Citizen (Nigeria),Make an appeal or request,Other Authorities / Officials (Nigeria),2012-12-03
15236,China,Engage in diplomatic cooperation,Japan,2008-06-30
15237,Xi Jinping,Make statement,China,2014-11-12
15238,Other Authorities / Officials (Nigeria),Make statement,Newspaper (Nigeria),2015-09-16
15239,Fatah al-Islam,Use conventional military force,Military (Lebanon),2007-09-02
15240,Police (Israel),fight with small arms and light weapons,Criminal (Israel),2015-05-05
15241,Military (South Sudan),Use conventional military force,Armed Band (South Sudan),2013-04-11
15242,Oman,Host a visit,Mahmoud Ahmadinejad,2007-06-02
15243,France,Engage in diplomatic cooperation,China,2010-07-14
15244,Oman,Praise or endorse,Yemen,2007-06-05
15245,Thailand,Host a visit,Association of Southeast Asian Nations,2009-01-06
15246,Ministry (Brazil),Criticize or denounce,Citizen (Brazil),2014-07-23
15247,Iran,Express intent to engage in diplomatic cooperation (such as policy support),Sudan,2012-05-06
15248,Head of Government (India),Make statement,Member of Parliament (India),2006-07-20
15249,Armed Rebel (Ukraine),Make statement,Military (Ukraine),2015-12-26
15250,Wen Jiabao,Consult,Lee Myung Bak,2008-12-13
15251,China,Make an appeal or request,Vincent C. Siew,2008-04-27
15252,Protester (Indonesia),Engage in negotiation,Police (Indonesia),2006-12-14
15253,Jack Straw,Make a visit,Iran,2014-01-09
15254,Military Personnel (Thailand),Make an appeal or request,Citizen (Thailand),2006-12-11
15255,Citizen (Sudan),Accuse,Sudan,2014-04-15
15256,al-Aqsa Martyrs' Brigades,Make statement,Israeli Defense Forces,2007-02-13
15257,Japan,Make statement,South Korea,2015-02-26
15258,Lee Myung Bak,Express intent to engage in diplomatic cooperation (such as policy support),Wen Jiabao,2010-05-30
15259,Media Personnel (Uganda),Discuss by telephone,Daily Monitor,2011-05-28
15260,Ethiopia,Host a visit,African Union,2013-04-05
15261,Vietnam,Make a visit,Cambodia,2007-08-28
15262,Rapid Action Battalion,"Arrest, detain, or charge with legal action",Citizen (Bangladesh),2007-06-26
15263,Protester (Thailand),Demonstrate or rally,Abhisit Vejjajiva,2010-04-26
15264,Yair Lapid,Criticize or denounce,Benjamin Netanyahu,2014-12-08
15265,Japan,Express intent to meet or negotiate,Vietnam,2006-09-28
15266,Ali Abdullah Saleh,Make statement,Yemen,2010-06-03
15267,Citizen (Australia),Make an appeal or request,City Mayor (Australia),2011-03-22
15268,Karim Wade,Consult,Modou Diagne Fada,2015-06-23
15269,Vincent C. Siew,Make statement,Ma Ying Jeou,2009-11-13
15270,Military Personnel (Philippines),Make statement,Police (Philippines),2012-09-30
15271,Northern Ireland,Bring lawsuit against,Citizen (United Kingdom),2015-08-01
15272,Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2015-04-13
15273,United Arab Emirates,Host a visit,Pervez Musharraf,2007-01-23
15274,South Sudan,"Arrest, detain, or charge with legal action",Citizen (Sudan),2012-03-19
15275,South Korea,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2008-06-14
15276,Militant (Nigeria),"Reject proposal to meet, discuss, or negotiate",Government (Nigeria),2008-01-03
15277,Sudan,Accuse,Citizen (Sudan),2007-08-07
15278,Police (Australia),"Arrest, detain, or charge with legal action",Women (Australia),2009-01-23
15279,Israeli Defense Forces,"Arrest, detain, or charge with legal action","Criminal (Palestinian Territory, Occupied)",2015-12-03
15280,Evo Morales,Express intent to provide economic aid,Bolivia,2007-10-26
15281,Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),2005-01-16
15282,Thailand,Ease administrative sanctions,Student (Thailand),2014-11-04
15283,Police (Philippines),"Arrest, detain, or charge with legal action",Militant (Philippines),2011-05-08
15284,Laos,Make a visit,Vietnam,2013-11-14
15285,Ministry (Nigeria),Make an appeal or request,Citizen (Nigeria),2013-01-07
15286,Yemen,Host a visit,Ali Abdullah Saleh,2010-04-11
15287,Rupiah Banda,Praise or endorse,China,2010-02-21
15288,Other Authorities / Officials (Kazakhstan),Accede to demands for change in policy,Kazakhstan,2006-03-21
15289,Mexico,Host a visit,Ivonne Ortega Pacheco,2010-02-25
15290,South Africa,"Arrest, detain, or charge with legal action",Men (South Africa),2009-11-10
15291,Angela Merkel,Make a visit,Angola,2011-09-15
15292,People First Party Korea,Engage in material cooperation,Kuomintang,2006-10-31
15293,Qatar,Consult,Kuwait,2005-12-19
15294,Japan,Express intent to cooperate,South Korea,2006-05-09
15295,Other Authorities / Officials (Nigeria),Make statement,Government (Nigeria),2009-04-02
15296,Antonis Samaras,Criticize or denounce,Citizen (Greece),2014-12-02
15297,Mauritania,Make an appeal or request,UN Security Council,2014-12-19
15298,Head of Government (Ukraine),Engage in negotiation,Barack Obama,2014-03-12
15299,Barack Obama,Consult,Yoshihiko Noda,2011-11-12
15300,Yasuo Fukuda,Make a visit,South Korea,2013-08-21
15301,Yemen,Engage in diplomatic cooperation,France,2010-05-19
15302,Wen Jiabao,Engage in negotiation,Head of Government (South Korea),2012-05-14
15303,Malaysia,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2007-02-13
15304,Barack Obama,Make statement,South Africa,2015-11-05
15305,Israeli Defense Forces,Sexually assault,"Women (Palestinian Territory, Occupied)",2010-04-06
15306,Ma Ying Jeou,Criticize or denounce,Xi Jinping,2015-11-07
15307,Iran,"Impose embargo, boycott, or sanctions",South Korea,2005-10-20
15308,Ethiopia,Appeal for economic aid,UN Security Council,2007-06-11
15309,South Korea,Express intent to meet or negotiate,Japan,2013-03-05
15310,Barack Obama,Make a visit,Mexico,2013-09-24
15311,Citizen (Thailand),Use unconventional violence,Thailand,2015-05-06
15312,Military Personnel - Special (Afghanistan),Use conventional military force,Attacker (Afghanistan),2011-11-03
15313,France,Consult,China,2006-07-12
15314,Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),2010-01-15
15315,Colombia,Host a visit,Xi Jinping,2009-02-23
15316,Militant (Nigeria),Make pessimistic comment,Government (Nigeria),2009-08-05
15317,Head of Government (Mongolia),Express intent to meet or negotiate,China,2013-10-25
15318,Lawyer/Attorney (Australia),Reject,Citizen (Australia),2010-09-16
15319,Legislature (Turkey),Use conventional military force,Iraq,2014-10-07
15320,Japan,Engage in diplomatic cooperation,China,2010-11-14
15321,Verkhovna Rada,Sign formal agreement,Head of Government (Ukraine),2007-01-24
15322,Foreign Affairs (South Korea),Complain officially,Japan,2008-07-16
15323,Yemen,Accuse,Eritrea,2010-04-28
15324,Government Official (Japan),Make statement,Japan,2006-07-20
15325,Head of Government (South Korea),Demand,Chongwadai,2005-07-21
15326,Dmitry Anatolyevich Medvedev,Engage in negotiation,Raúl Castro,2009-01-30
15327,Vietnam,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2010-09-06
15328,Media Personnel (New Zealand),Make statement,Police (New Zealand),2005-12-20
15329,Iran,Engage in negotiation,Iraq,2015-08-19
15330,Barack Obama,Express intent to engage in diplomatic cooperation (such as policy support),Angela Merkel,2011-04-04
15331,Ethiopia,Host a visit,African Union,2012-01-16
15332,Media Personnel (Uganda),Make statement,Police (Uganda),2012-09-22
15333,Government (Nigeria),Accuse,Citizen (Nigeria),2011-10-27
15334,Julia Gillard,Reduce relations,Citizen (Australia),2012-04-29
15335,Defense / Security Ministry (United States),Make a visit,China,2007-12-03
15336,Oman,Host a visit,Iran,2007-06-08
15337,Wen Jiabao,Demand,China,2007-09-12
15338,Lawyer/Attorney (South Korea),"Arrest, detain, or charge with legal action",Business (South Korea),2015-04-21
15339,Kuwait,Express intent to engage in diplomatic cooperation (such as policy support),Iraq,2011-01-01
15340,Iraq,Sign formal agreement,South Korea,2006-03-05
15341,Malaysia,Make statement,South Korea,2011-01-25
15342,Governor (India),Make an appeal or request,Head of Government (India),2015-09-12
15343,Dmitry Anatolyevich Medvedev,Discuss by telephone,Shimon Peres,2011-01-05
15344,Ministry (Nigeria),Make statement,Government (Nigeria),2008-12-12
15345,China,Express intent to engage in diplomatic cooperation (such as policy support),South Africa,2015-07-20
15346,Member of Parliament (India),Demand,Election Commission (India),2009-03-23
15347,Armed Gang (South Africa),Use unconventional violence,Police (South Africa),2007-04-25
15348,Iran,Make a visit,Iraq,2008-03-07
15349,Vietnam,Engage in diplomatic cooperation,Japan,2007-11-23
15350,Militant (Nigeria),Use unconventional violence,Citizen (Nigeria),2008-01-02
15351,Vietnam,Praise or endorse,Cambodia,2012-08-20
15352,South Sudan,Criticize or denounce,Sudan,2012-11-14
15353,Malaysia,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2005-11-01
15354,France,Make an appeal or request,Iran,2006-06-02
15355,Barack Obama,Threaten,Iran,2010-04-12
15356,Kazakhstan,Praise or endorse,China,2012-06-06
15357,Abdoulaye Wade,Make a visit,Mauritania,2006-03-06
15358,Muslim (United Kingdom),Criticize or denounce,Citizen (United Kingdom),2007-12-05
15359,Malaysia,Make optimistic comment,Iran,2010-02-15
15360,Yemen,Engage in diplomatic cooperation,Sudan,2005-09-26
15361,China,Express intent to cooperate,Vietnam,2009-04-24
15362,Citizen (United Kingdom),Express intent to engage in diplomatic cooperation (such as policy support),Labor Party (United Kingdom),2015-04-29
15363,Cape Verde,Engage in diplomatic cooperation,Angola,2012-04-11
15364,China,Express intent to meet or negotiate,Japan,2006-07-26
15365,Yuriy Lutsenko,Make statement,Police (Ukraine),2005-03-01
15366,Xi Jinping,Threaten,China,2011-06-10
15367,Armed Gang (South Africa),Use unconventional violence,Men (South Africa),2006-04-02
15368,Abu Sayyaf,Use conventional military force,Military (Philippines),2008-02-05
15369,Saudi Arabian Defence Forces,fight with artillery and tanks,Citizen (Saudi Arabia),2015-09-28
15370,Head of Government (Kenya),Appeal for diplomatic cooperation (such as policy support),Daniel Arap Moi,2010-07-28
15371,Iran,Host a visit,Japan,2007-10-16
15372,Barack Obama,Criticize or denounce,China,2013-12-15
15373,China,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2011-02-06
15374,Police (Australia),Make statement,Medical Personnel (Australia),2006-02-08
15375,Media (Nigeria),Consult,Ministry (Nigeria),2009-10-14
15376,Cristina Fernández de Kirchner,Consult,Xi Jinping,2015-09-12
15377,Iran,Make a visit,Jack Straw,2015-03-08
15378,Police (Australia),Investigate,Citizen (Australia),2015-10-12
15379,Guatemala,Sign formal agreement,Colombia,2007-08-13
15380,Chuck Hagel,Express intent to meet or negotiate,Association of Southeast Asian Nations,2014-03-14
15381,Police (Canada),"Arrest, detain, or charge with legal action",Children (Canada),2007-11-16
15382,Angela Merkel,Express intent to meet or negotiate,France,2010-10-18
15383,Police (Tanzania),Use conventional military force,Citizen (Tanzania),2010-11-11
15384,Police (Kenya),"Arrest, detain, or charge with legal action",Student (Kenya),2007-02-03
15385,France,Make statement,Iraq,2014-06-19
15386,China,Express intent to engage in diplomatic cooperation (such as policy support),Ethiopia,2014-07-10
15387,Police (Australia),Accuse,Women (Australia),2012-02-01
15388,South Korea,Express intent to cooperate,China,2006-10-19
15389,Villager (India),Provide humanitarian aid,Head of Government (India),2012-08-29
15390,South Korea,Make a visit,China,2007-04-27
15391,Japan,Express intent to meet or negotiate,South Korea,2012-05-21
15392,Armed Rebel (Syria),Reject,Iran,2012-08-31
15393,Japan,Express intent to cooperate,South Korea,2011-10-07
15394,Police (Australia),Investigate,Citizen (Australia),2006-10-13
15395,Nuri al-Maliki,Praise or endorse,Supreme Council (Iraq),2007-10-08
15396,South Korea,Make optimistic comment,China,2007-05-05
15397,China,Share intelligence or information,Kazakhstan,2008-07-04
15398,State Security Service,"Arrest, detain, or charge with legal action",Citizen (Nigeria),2007-11-15
15399,China,Sign formal agreement,South Korea,2014-11-11
15400,Angela Merkel,Express intent to meet or negotiate,Japan,2007-08-27
15401,China,Make an appeal or request,South Korea,2015-03-24
15402,Barack Obama,Express intent to meet or negotiate,Middle East,2009-02-04
15403,Xi Jinping,Make statement,China,2013-04-20
15404,Military Personnel (Philippines),Make statement,Military (Philippines),2015-01-07
15405,China,Engage in diplomatic cooperation,Japan,2012-12-07
15406,Mahmoud Abbas,Engage in negotiation,Ali Abdullah Saleh,2006-08-06
15407,Sudan,Engage in diplomatic cooperation,Ethiopia,2007-08-07
15408,Mahmoud Abbas,Make statement,"Government (Palestinian Territory, Occupied)",2007-04-27
15409,Iran,Make a visit,Malaysia,2013-07-26
15410,Employee (Israel),Make statement,Benjamin Netanyahu,2007-08-14
15411,Le Hong Anh,Express intent to meet or negotiate,China,2014-08-26
15412,China,Express intent to meet or negotiate,Japan,2011-12-17
15413,Head of Government (Nigeria),Demand diplomatic cooperation (such as policy support),Citizen (Nigeria),2015-07-27
15414,Kuwait,Engage in negotiation,Iran,2006-05-31
15415,Angela Merkel,Make a visit,China,2014-11-12
15416,Guatemala,Host a visit,Donald Rumsfeld,2005-03-22
15417,Member of Parliament (India),Make an appeal or request,Governor (India),2008-04-01
15418,Member of Parliament (India),Criticize or denounce,Party President (Bharatiya Janata),2012-07-05
15419,Thailand,Engage in judicial cooperation,Laos,2007-08-04
15420,Police (Kenya),"Arrest, detain, or charge with legal action",Men (Kenya),2012-01-21
15421,Businessperson (Australia),Investigate,Citizen (Australia),2014-09-10
15422,South Korea,Engage in negotiation,Japan,2013-10-15
15423,Media Personnel (Australia),Make statement,Police (Australia),2005-09-07
15424,Foreign Affairs (France),Express intent to engage in diplomatic cooperation (such as policy support),France,2011-05-24
15425,Wen Jiabao,Make statement,China,2006-02-15
15426,China,Host a visit,Wen Jiabao,2009-08-25
15427,Police (Philippines),Use conventional military force,Thief (Philippines),2008-04-28
15428,Lawyer/Attorney (Australia),Accuse,Police (Australia),2008-04-30
15429,Head of Government (Ghana),Praise or endorse,China,2013-06-15
15430,Gerhard Schröder,Express intent to meet or negotiate,Angela Merkel,2005-08-06
15431,Colombia,Make statement,Rafael Correa,2008-03-04
15432,Abhisit Vejjajiva,Make statement,Thailand,2011-02-14
15433,Sudan,Sign formal agreement,Ethiopia,2005-12-14
15434,Tony Blair,Give ultimatum,Iran,2007-04-14
15435,France,Sign formal agreement,China,2015-10-21
15436,Police (Philippines),"Arrest, detain, or charge with legal action",Men (Philippines),2010-08-10
15437,Iraq,Host a visit,Barack Obama,2008-07-21
15438,Japan,Make optimistic comment,Iran,2006-08-01
15439,Police (Tanzania),"Arrest, detain, or charge with legal action",Citizen (Tanzania),2008-07-21
15440,Thailand,"Reject proposal to meet, discuss, or negotiate",National United Front for Democracy Against Dictatorship,2010-05-18
15441,Cabinet / Council of Ministers / Advisors (United States),Make a visit,Iraq,2006-04-03
15442,Citizen (Australia),Demand change in leadership,Member of Parliament (Australia),2014-06-29
15443,Iran,Host a visit,France,2014-02-02
15444,National United Front for Democracy Against Dictatorship,Make an appeal or request,Citizen (Thailand),2014-01-31
15445,Boris Johnson,Make pessimistic comment,Citizen (United Kingdom),2014-04-01
15446,Sudan,Express intent to meet or negotiate,South Sudan,2012-04-24
15447,Congress (United States),Make an appeal or request,South Korea,2005-09-19
15448,Thailand,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2015-11-14
15449,Iraq,Demand,Citizen (International),2008-05-29
15450,Police (Kenya),"Arrest, detain, or charge with legal action",Men (Kenya),2014-10-28
15451,Pervez Musharraf,Consult,Head of Government (Pakistan),2007-05-24
15452,Angela Merkel,Discuss by telephone,Barack Obama,2011-02-28
15453,Citizen (Australia),Use unconventional violence,Police (Australia),2015-07-10
15454,Ministry (Nigeria),Make statement,Umaru Musa Yar'Adua,2008-10-10
15455,Military Personnel (Philippines),Make statement,Military (Philippines),2006-01-17
15456,Government (Nigeria),Engage in symbolic act,Human Rights Activist (Nigeria),2009-09-09
15457,Malaysia,Express intent to meet or negotiate,Thailand,2009-12-04
15458,Nonaligned Movement,Make a visit,Iran,2012-08-31
15459,Police (Australia),Confiscate property,Citizen (Australia),2007-10-29
15460,Thailand,Express intent to cooperate,Cambodia,2011-02-11
15461,Lawyer/Attorney (Australia),Make statement,Police (Australia),2005-02-08
15462,Gholamali Haddad Adel,Make statement,Iran,2006-12-12
15463,Civil Guard,Investigate,Citizen (United Kingdom),2013-11-13
15464,Japan,Make a visit,Ma Ying Jeou,2014-04-28
15465,Ethiopia,Sign formal agreement,Japan,2009-07-16
15466,Lawyer/Attorney (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2009-02-05
15467,China,Sign formal agreement,Japan,2008-06-18
15468,Citizen (Thailand),Threaten non-force,Transportation Ministry/Department (Thailand),2008-09-09
15469,Settler (Israel),Use unconventional violence,Israeli Defense Forces,2005-08-22
15470,Mainland Affairs Council,Engage in negotiation,China,2011-05-06
15471,Thailand,Cooperate economically,Vietnam,2008-03-20
15472,City Mayor (Philippines),Make statement,Police (Philippines),2007-10-18
15473,Police (Saudi Arabia),Express intent to release persons or property,Citizen (Saudi Arabia),2006-08-15
15474,Men (India),Use unconventional violence,Military Personnel - Special (India),2010-08-14
15475,Moro Islamic Liberation Front,Make statement,Military (Philippines),2014-07-29
15476,Japan,Make a visit,China,2008-05-07
15477,Wen Jiabao,Make statement,China,2007-05-28
15478,Police (Australia),Make pessimistic comment,Citizen (Australia),2008-07-25
15479,Isaias Afewerki,Make a visit,Qatar,2011-07-13
15480,United Arab Emirates,Make statement,Yemen,2014-01-26
15481,Organized Crime (Mexico),Use unconventional violence,Military (Mexico),2010-09-03
15482,Lawyer/Attorney (Australia),Investigate,Police (Australia),2007-09-19
15483,Citizen (Sudan),"Protest violently, riot",Military Personnel - Special (Sudan),2011-01-19
15484,Angela Merkel,Consult,Mario Monti,2012-06-22
15485,Lawmaker (Lebanon),Make statement,Nabih Berri,2007-11-22
15486,Police (South Korea),"Return, release person(s)",Ministry (South Korea),2010-05-20
15487,Iran,Make statement,Mahmoud Ahmadinejad,2005-10-29
15488,City Mayor (China),Make statement,China,2005-09-29
15489,Grand National Party,Make an appeal or request,Lee Myung Bak,2010-05-21
15490,South Korea,Consult,Lee Myung Bak,2009-10-26
15491,Eritrea,Make statement,UN Security Council,2005-11-27
15492,Mahmoud Abbas,Express intent to provide material aid,"Government (Palestinian Territory, Occupied)",2014-03-04
15493,Thailand,Coerce,Citizen (Thailand),2014-09-26
15494,Romania,Retreat or surrender militarily,Iraq,2005-04-25
15495,Abhisit Vejjajiva,Make statement,Thailand,2010-08-03
15496,South Korea,Express intent to meet or negotiate,Japan,2007-10-09
15497,Sheikh Hamad bin Khalifa al-Thani,Consult,Qatar,2008-06-07
15498,Military Personnel (Philippines),Make statement,Military (Philippines),2012-05-05
15499,Malaysia,Meet at a 'third' location,Thailand,2005-07-14
15500,Member of Parliament (Thailand),Make statement,Thailand,2005-08-19
15501,Shaukat Aziz,Make empathetic comment,China,2006-02-16
15502,Qatar,Express intent to meet or negotiate,Oman,2011-12-01
15503,Iraq,"Arrest, detain, or charge with legal action",Information / Communication / Transparency Ministry (Iraq),2009-12-21
15504,Mahmoud Abbas,Consult,Sheikh Hamad bin Isa al Khalifah,2006-01-03
15505,Other Authorities / Officials (Brazil),"Arrest, detain, or charge with legal action",Criminal (Brazil),2013-01-30
15506,Japan,Host a visit,Michael Sata,2012-10-10
15507,South Korea,Express intent to cooperate,Iran,2015-11-07
15508,Military (Mexico),"Arrest, detain, or charge with legal action",Criminal (Mexico),2014-01-24
15509,Barack Obama,Host a visit,Xi Jinping,2015-09-23
15510,Sudan,Host a visit,South Sudan,2012-01-26
15511,Kuwait,Praise or endorse,Vietnam,2009-04-06
15512,Police (Australia),Accuse,Citizen (Australia),2010-12-14
15513,Citizen (Thailand),Express intent to cooperate,Thailand,2008-05-01
15514,China,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2008-05-21
15515,Citizen (Sudan),Express intent to meet or negotiate,Sudan,2005-03-29
15516,Yemen,Host a visit,Mahmoud Abbas,2013-02-19
15517,Criminal (Australia),Sexually assault,Women (Australia),2008-07-29
15518,France,Make statement,Iraq,2012-01-14
15519,Pervez Musharraf,Make optimistic comment,Government (Pakistan),2005-11-01
15520,Protester (Thailand),"Obstruct passage, block",Thailand,2008-08-27
15521,South Korea,Express intent to meet or negotiate,Japan,2005-01-07
15522,Barack Obama,Reduce or break diplomatic relations,Malaysia,2013-10-04
15523,Military Personnel - Special (India),Use unconventional violence,Protester (India),2009-04-24
15524,Lawmaker (Japan),Consult,Yasuo Fukuda,2007-11-05
15525,Oluṣẹgun Ọbasanjọ,Consult,UN Security Council,2005-10-07
15526,Royal Administration (Nigeria),Make an appeal or request,Citizen (Nigeria),2015-04-06
15527,Ministry (Nigeria),Make statement,Umaru Musa Yar'Adua,2008-04-25
15528,Citizen (Australia),Appeal to others to meet or negotiate,Businessperson (Australia),2012-12-17
15529,Association of Southeast Asian Nations,Express intent to meet or negotiate,Japan,2009-04-10
15530,Laos,Make statement,Vietnam,2010-09-20
15531,Government (Nigeria),Accuse,Citizen (Nigeria),2015-04-07
15532,Barack Obama,Threaten,Xi Jinping,2015-09-25
15533,Sudan,Make statement,African Union,2006-09-06
15534,China,Host a visit,Mahmoud Ahmadinejad,2006-06-16
15535,UN Security Council,Criticize or denounce,Sudan,2010-06-14
15536,Muhammadu Buhari,Make a visit,Oluṣẹgun Ọbasanjọ,2015-01-14
15537,China,Host a visit,Grand National Party,2010-03-19
15538,South Africa,"Arrest, detain, or charge with legal action",Men (South Africa),2011-06-27
15539,Wen Jiabao,Host a visit,Vietnam,2008-02-05
15540,Oman,Express intent to cooperate,Iran,2015-05-26
15541,Ethiopia,Sign formal agreement,Sudan,2015-12-30
15542,Prime Minister Qarase,Reject,Prime Minister Chaudhry,2006-05-11
15543,Military Personnel - Special (Afghanistan),"Arrest, detain, or charge with legal action",Militant (Taliban),2009-09-14
15544,Police (Australia),"Return, release person(s)",Women (Australia),2013-07-04
15545,Cabinet / Council of Ministers / Advisors (United States),Consult,South Korea,2013-04-13
15546,Mohamed Ould Abdel Aziz,Make a visit,France,2012-11-21
15547,China,Criticize or denounce,Japan,2006-12-27
15548,China,Grant diplomatic recognition,South Sudan,2011-07-10
15549,Barack Obama,Make a visit,The Hague,2014-03-24
15550,Ministry (Nigeria),Make statement,Government (Nigeria),2013-02-22
15551,Business (Iran),Express intent to engage in diplomatic cooperation (such as policy support),Iraq,2014-11-15
15552,Sudan,Accuse,South Sudan,2011-09-19
15553,UN Security Council,Make an appeal or request,Eritrea,2005-10-06
15554,Democratic Party,Rally opposition against,Lee Myung Bak,2009-04-28
15555,China,Express intent to cooperate,South Korea,2014-12-09
15556,Japan,Engage in negotiation,Kuwait,2012-03-22
15557,Member of Legislative (Govt) (Nigeria),Express intent to engage in diplomatic cooperation (such as policy support),Citizen (Nigeria),2011-06-16
15558,Association of Southeast Asian Nations,Express intent to meet or negotiate,China,2009-06-22
15559,Special Court for Sierra Leone,"Arrest, detain, or charge with legal action",Charles Taylor,2008-12-03
15560,Citizen (Nigeria),Kill by physical assault,Other Authorities / Officials (Nigeria),2012-07-23
15561,Government (Sudan),Express intent to engage in diplomatic cooperation (such as policy support),African Union,2005-05-24
15562,Police (Malaysia),"Arrest, detain, or charge with legal action",Men (Malaysia),2009-08-28
15563,African Union,Provide military protection or peacekeeping,Sudan,2006-09-05
15564,Government (Nigeria),Use conventional military force,Citizen (Nigeria),2009-05-15
15565,Police (South Africa),Investigate,South Africa,2005-08-18
15566,Media Personnel (Japan),Make statement,Japan,2010-01-04
15567,Mahmoud Abbas,Consult,France,2005-10-09
15568,Iran,Host a visit,Julie Bishop,2015-04-22
15569,Police (Australia),Engage in symbolic act,Citizen (Australia),2005-04-28
15570,Mexico,"Arrest, detain, or charge with legal action",Criminal (Mexico),2005-04-09
15571,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2009-01-02
15572,Nuri al-Maliki,Host a visit,Tony Blair,2007-05-19
15573,Citizen (Australia),Use unconventional violence,Police (Australia),2008-01-03
15574,Iran,"Arrest, detain, or charge with legal action",Citizen (United Kingdom),2007-04-01
15575,Wen Jiabao,Make statement,China,2010-03-23
15576,China,Express intent to cooperate,Japan,2009-10-25
15577,South Korea,Express intent to cooperate,China,2006-07-15
15578,Mahmoud Abbas,Express intent to meet or negotiate,France,2015-09-22
15579,The Daily Telegraph,Make an appeal or request,Citizen (Australia),2007-11-22
15580,Other Authorities / Officials (Romania),Consult,Klaus Johannis,2015-02-04
15581,Islam Karimov,Consult,Xi Jinping,2014-08-20
15582,Wen Jiabao,Make a visit,China,2010-06-28
15583,Police (Australia),Make statement,Criminal (Australia),2011-12-01
15584,Citizen (Nigeria),Accuse,Government (Nigeria),2014-12-02
15585,Police (Australia),Investigate,Citizen (Australia),2005-03-09
15586,Jonah David Jang,Make statement,Government (Nigeria),2013-08-08
15587,Iran,Praise or endorse,African Union,2012-03-28
15588,Mahmoud Ahmadinejad,Make a visit,China,2006-06-17
15589,Governor (Thailand),Make statement,Thailand,2005-11-25
15590,Citizen (Uganda),Express intent to engage in diplomatic cooperation (such as policy support),Police (Uganda),2008-08-21
15591,Jack Straw,Make a visit,Iraq,2005-06-09
15592,Malaysia,Host a visit,Thailand,2010-12-23
15593,Raúl Castro,Express intent to meet or negotiate,Barack Obama,2008-12-15
15594,Governor (Thailand),Make statement,Thailand,2010-11-04
15595,Police (Tanzania),"Arrest, detain, or charge with legal action",Criminal (Tanzania),2014-05-30
15596,Mexico,Make a visit,South Korea,2015-05-25
15597,Police (Indonesia),"Arrest, detain, or charge with legal action",Men (Indonesia),2006-11-11
15598,"Combatant (Palestinian Territory, Occupied)",Use unconventional violence,Israeli Defense Forces,2006-07-07
15599,Jerry Ekandjo,Use conventional military force,Children (Namibia),2007-03-13
15600,Xi Jinping,Express intent to meet or negotiate,Barack Obama,2013-06-02
15601,Member of the Judiciary (Sudan),"Return, release person(s)",Citizen (Sudan),2008-02-10
15602,Yemen,Host a visit,Ali Abdullah Saleh,2010-05-06
15603,Wen Jiabao,Express intent to meet or negotiate,Japan,2007-04-08
15604,France,Express intent to meet or negotiate,China,2008-09-17
15605,Japan,Sign formal agreement,China,2011-10-07
15606,Mahmoud Ahmadinejad,Make a visit,Iran,2006-02-27
15607,South Africa,Provide humanitarian aid,Malawi,2005-11-23
15608,Other Authorities / Officials (Nigeria),"Arrest, detain, or charge with legal action",Citizen (Nigeria),2011-04-25
15609,Police (Uganda),Use conventional military force,Citizen (Uganda),2008-01-21
15610,Japan,Consult,South Korea,2005-06-14
15611,Military Personnel - Special (Afghanistan),Use conventional military force,Attacker (Afghanistan),2015-04-19
