,head,relation,tail,time
6708,Guatemala,Sign formal agreement,Colombia,2007-08-13
6709,Chuck Hagel,Express intent to meet or negotiate,Association of Southeast Asian Nations,2014-03-14
6710,Iran,Engage in negotiation,Rand Paul,2015-04-08
6711,Police (Australia),Accuse,Women (Australia),2012-02-01
6712,Cabinet / Council of Ministers / Advisors (United States),Consult,Head of Government (Egypt),2014-09-23
6713,South Korea,Express intent to cooperate,China,2006-10-19
6714,South Korea,Make a visit,China,2007-04-27
6715,Japan,Express intent to meet or negotiate,South Korea,2012-05-21
6716,Japan,Express intent to cooperate,South Korea,2011-10-07
6717,South Korea,Make optimistic comment,China,2007-05-05
6718,China,Sign formal agreement,South Korea,2014-11-11
6719,China,Make an appeal or request,South Korea,2015-03-24
6720,Xi Jinping,Make statement,China,2013-04-20
6721,Military Personnel (Philippines),Make statement,Military (Philippines),2015-01-07
6722,China,Engage in diplomatic cooperation,Japan,2012-12-07
6723,Other Authorities / Officials (Greece),Make an appeal or request,Citizen (Greece),2011-08-26
6724,Mahmoud Abbas,Engage in negotiation,Ali Abdullah Saleh,2006-08-06
6725,Mahmoud Abbas,Make statement,"Government (Palestinian Territory, Occupied)",2007-04-27
6726,China,Express intent to meet or negotiate,Japan,2011-12-17
6727,Kuwait,Engage in negotiation,Iran,2006-05-31
6728,South Korea,Engage in negotiation,Japan,2013-10-15
6729,Media Personnel (Australia),Make statement,Police (Australia),2005-09-07
6730,Envoy (United States),Consult,Kim Kye Gwan,2007-07-17
6731,Lawyer/Attorney (Australia),Accuse,Police (Australia),2008-04-30
6732,Gerhard Schröder,Express intent to meet or negotiate,Angela Merkel,2005-08-06
6733,Colombia,Make statement,Rafael Correa,2008-03-04
6734,Abhisit Vejjajiva,Make statement,Thailand,2011-02-14
6735,Sudan,Sign formal agreement,Ethiopia,2005-12-14
6736,France,Sign formal agreement,China,2015-10-21
6737,Iran,Host a visit,France,2014-02-02
6738,National United Front for Democracy Against Dictatorship,Make an appeal or request,Citizen (Thailand),2014-01-31
6739,Thailand,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2015-11-14
6740,Pervez Musharraf,Consult,Head of Government (Pakistan),2007-05-24
6741,Angela Merkel,Discuss by telephone,Barack Obama,2011-02-28
6742,Military Personnel (Philippines),Make statement,Military (Philippines),2006-01-17
6743,Thailand,Express intent to cooperate,Cambodia,2011-02-11
6744,Lawyer/Attorney (Australia),Make statement,Police (Australia),2005-02-08
6745,Head of Government (India),Consult,Media (India),2007-03-08
6746,Ethiopia,Sign formal agreement,Japan,2009-07-16
6747,China,Sign formal agreement,Japan,2008-06-18
6748,City Mayor (Philippines),Make statement,Police (Philippines),2007-10-18
6749,Moro Islamic Liberation Front,Make statement,Military (Philippines),2014-07-29
6750,Japan,Make a visit,China,2008-05-07
6751,Lawyer/Attorney (Australia),Investigate,Police (Australia),2007-09-19
6752,Angela Merkel,Consult,Mario Monti,2012-06-22
6753,Lawmaker (Lebanon),Make statement,Nabih Berri,2007-11-22
6754,Governor (Thailand),Consult,Boonrawd Somtat,2006-10-16
6755,Ministry (Sudan),Make statement,Sudan,2005-03-12
6756,Iran,Make statement,Mahmoud Ahmadinejad,2005-10-29
6757,South Korea,Consult,Lee Myung Bak,2009-10-26
6758,Eritrea,Make statement,UN Security Council,2005-11-27
6759,Abhisit Vejjajiva,Make statement,Thailand,2010-08-03
6760,South Korea,Express intent to meet or negotiate,Japan,2007-10-09
6761,Sheikh Hamad bin Khalifa al-Thani,Consult,Qatar,2008-06-07
6762,Government Official (Japan),Make statement,Lawmaker (Japan),2007-01-16
6763,Military Personnel (Philippines),Make statement,Military (Philippines),2012-05-05
6764,Sergey Vladilenovich Kiriyenko,Consult,Gholam Reza Aghazadeh,2006-12-11
6765,Member of Parliament (Thailand),Make statement,Thailand,2005-08-19
6766,Mahmoud Abbas,Consult,Sheikh Hamad bin Isa al Khalifah,2006-01-03
6767,Ma Ying Jeou,Make statement,UN Security Council,2011-12-20
6768,Police (Australia),Accuse,Citizen (Australia),2010-12-14
6769,Citizen (Thailand),Express intent to cooperate,Thailand,2008-05-01
6770,China,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2008-05-21
6771,Citizen (Sudan),Express intent to meet or negotiate,Sudan,2005-03-29
6772,Medical Personnel (Russia),Consult,Military (Russia),2005-12-23
6773,South Korea,Express intent to meet or negotiate,Japan,2005-01-07
6774,Agence France-Presse,Discuss by telephone,Media Personnel (Pakistan),2012-11-22
6775,Oluṣẹgun Ọbasanjọ,Consult,UN Security Council,2005-10-07
6776,Association of Southeast Asian Nations,Express intent to meet or negotiate,Japan,2009-04-10
6777,Laos,Make statement,Vietnam,2010-09-20
6778,Government (Nigeria),Accuse,Citizen (Nigeria),2015-04-07
6779,Sudan,Make statement,African Union,2006-09-06
6780,UN Security Council,Criticize or denounce,Sudan,2010-06-14
6781,Wen Jiabao,Host a visit,Vietnam,2008-02-05
6782,Ethiopia,Sign formal agreement,Sudan,2015-12-30
6783,Prime Minister Qarase,Reject,Prime Minister Chaudhry,2006-05-11
6784,China,Criticize or denounce,Japan,2006-12-27
6785,Ministry (Nigeria),Make statement,Government (Nigeria),2013-02-22
6786,Sudan,Accuse,South Sudan,2011-09-19
6787,UN Security Council,Make an appeal or request,Eritrea,2005-10-06
6788,China,Express intent to cooperate,South Korea,2014-12-09
6789,Association of Southeast Asian Nations,Express intent to meet or negotiate,China,2009-06-22
6790,Mahmoud Abbas,Consult,France,2005-10-09
6791,Police (Australia),Engage in symbolic act,Citizen (Australia),2005-04-28
6792,China,Express intent to cooperate,Japan,2009-10-25
6793,South Korea,Express intent to cooperate,China,2006-07-15
6794,Islam Karimov,Consult,Xi Jinping,2014-08-20
6795,Police (Australia),Make statement,Criminal (Australia),2011-12-01
6796,Citizen (Nigeria),Accuse,Government (Nigeria),2014-12-02
6797,Jonah David Jang,Make statement,Government (Nigeria),2013-08-08
6798,Xi Jinping,Express intent to meet or negotiate,Barack Obama,2013-06-02
6799,Wen Jiabao,Express intent to meet or negotiate,Japan,2007-04-08
6800,France,Express intent to meet or negotiate,China,2008-09-17
6801,Japan,Sign formal agreement,China,2011-10-07
6802,Japan,Consult,South Korea,2005-06-14
6803,Malaysia,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2009-11-03
6804,Japan,Consult,South Korea,2006-09-30
6805,Police (South Africa),fight with small arms and light weapons,Men (South Africa),2012-02-24
6806,China,Consult,Japan,2010-05-17
6807,Malaysia,Consult,Cambodia,2006-09-13
6808,China,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2007-02-23
6809,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2011-04-24
6810,Ministry (Brazil),Accuse,Citizen (Brazil),2009-12-10
6811,South Sudan,Accuse,Sudan,2012-06-01
6812,Police (Australia),Accuse,Women (Australia),2008-01-16
6813,Yemen,Sign formal agreement,Iran,2015-03-01
6814,Vietnam,Express intent to engage in diplomatic cooperation (such as policy support),Cambodia,2005-01-25
6815,Cambodia,Express intent to cooperate,Laos,2008-01-16
6816,Police (Israel),Make statement,Haaretz,2013-03-27
6817,Media Personnel (Australia),Make statement,Police (Australia),2007-11-01
6818,France,Make statement,South Korea,2005-12-06
6819,Cambodia,Engage in diplomatic cooperation,Vietnam,2005-08-24
6820,Oversight Court (Japan),Make statement,Japan,2009-05-26
6821,Iraq,Sign formal agreement,Iran,2005-10-04
6822,Vietnam,Engage in diplomatic cooperation,Laos,2014-12-11
6823,Iran,Engage in negotiation,China,2006-06-15
6824,Japan,Sign formal agreement,Ethiopia,2006-08-24
6825,Media Personnel (Pakistan),Discuss by telephone,Agence France-Presse,2013-11-23
6826,Umaru Musa Yar'Adua,Make statement,Government (Nigeria),2009-10-21
6827,Military Personnel (Philippines),Make statement,Military (Philippines),2007-01-13
6828,South Korea,Express intent to meet or negotiate,Japan,2014-10-16
6829,China,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2008-12-14
6830,Barack Obama,Praise or endorse,Nuri al-Maliki,2011-12-13
6831,Citizen (Tanzania),Use unconventional violence,Criminal (Tanzania),2011-04-02
6832,Royal Administration (Spain),Consult,Barack Obama,2010-02-17
6833,Defense / Security Ministry (United States),Consult,Media Personnel (Japan),2006-03-14
6834,Head of Government (South Korea),Consult,Business (South Korea),2006-11-30
6835,Head of Government (Taiwan),Consult,China,2008-11-21
6836,Daily Trust,Consult,Other Authorities / Officials (Nigeria),2010-10-08
6837,Iran,Engage in diplomatic cooperation,Iraq,2011-07-07
6838,Japan,Sign formal agreement,Vietnam,2010-05-21
6839,Oluṣẹgun Ọbasanjọ,Make an appeal or request,Citizen (Nigeria),2006-06-19
6840,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Lee Myung Bak,2011-11-02
6841,Japan,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2010-06-27
6842,China,Reject,Japan,2014-06-04
6843,Mahmoud Abbas,Consult,Benjamin Netanyahu,2010-09-05
6844,UN Security Council,Praise or endorse,Government (Sudan),2013-05-07
6845,China,Make optimistic comment,Iran,2006-09-10
6846,Citizen (Australia),Demand,Julia Gillard,2012-02-22
6847,Japan,Make statement,China,2005-02-12
6848,Israeli Defense Forces,fight with small arms and light weapons,al-Aqsa Martyrs' Brigades,2005-11-13
6849,South Korea,Consult,China,2005-12-03
6850,China,Express intent to cooperate,Defense / Security Ministry (Chile),2007-05-15
6851,Ministry (Nigeria),Make statement,Government (Nigeria),2013-02-21
6852,Julia Gillard,Make an appeal or request,Citizen (Australia),2010-07-17
6853,Military Personnel (Philippines),Make statement,Military (Philippines),2011-11-03
6854,Criminal (Australia),Threaten with military force,Citizen (Australia),2005-08-13
6855,Mahmoud Abbas,Discuss by telephone,Benjamin Netanyahu,2015-07-18
6856,Head of Government (South Korea),Consult,Benedict XVI,2007-02-15
6857,Japan,Engage in negotiation,Association of Southeast Asian Nations,2009-02-08
6858,Citizen (Nigeria),Accuse,Head of Government (Nigeria),2015-07-24
6859,Citizen (Australia),Make an appeal or request,Lawyer/Attorney (Australia),2007-02-26
6860,France,Consult,Iran,2014-09-19
6861,China,Engage in diplomatic cooperation,Vietnam,2005-09-06
6862,Foreign Affairs (Malaysia),Make statement,Malaysia,2009-01-19
6863,Military Personnel (Canada),Make statement,Police (Canada),2007-09-13
6864,Citizen (Australia),Criticize or denounce,City Mayor (Australia),2015-09-08
6865,Cambodia,Consult,Thailand,2012-02-23
6866,Thailand,Make pessimistic comment,Citizen (Thailand),2006-04-02
6867,France,Engage in diplomatic cooperation,Vietnam,2010-01-26
6868,Boko Haram,"Abduct, hijack, or take hostage",Citizen (Nigeria),2015-11-08
6869,Media Personnel (Iran),Make statement,Iran,2007-12-17
6870,Thailand,Reduce relations,Cambodia,2009-12-03
6871,Iran,Sign formal agreement,China,2006-02-14
6872,Head of Government (India),Make statement,Member of Parliament (India),2008-03-21
6873,South Korea,Express intent to meet or negotiate,Japan,2015-03-19
6874,Gurbanguly Berdymukhammedov,Consult,Dmitry Anatolyevich Medvedev,2009-08-20
6875,Royal Administration (Saudi Arabia),Consult,Mahmoud Abbas,2007-02-10
6876,China,Make an appeal or request,Vietnam,2012-12-07
6877,"Peace, Unity, and Development Party",Express intent to cooperate,Main Opposition (For Justice and Development),2008-05-27
6878,Citizen (Thailand),Express intent to meet or negotiate,Party Member (Thailand),2005-09-28
6879,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2010-01-20
6880,Evo Morales,Praise or endorse,Daniel Ortega,2007-01-12
6881,Malaysia,Engage in diplomatic cooperation,Thailand,2009-08-12
6882,Police (Australia),Ease administrative sanctions,Citizen (Australia),2008-04-12
6883,Ethiopia,Consult,Sudan,2013-11-01
6884,China,Consult,Wen Jiabao,2011-08-19
6885,Thailand,Consult,Vietnam,2010-09-18
6886,Iran,Engage in diplomatic cooperation,Kazakhstan,2013-10-28
6887,China,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2007-04-25
6888,Citizen (Australia),Criticize or denounce,Police (Australia),2013-12-06
6889,Citizen (Tanzania),Demand,Police (Tanzania),2015-10-01
6890,Japan,Express intent to cooperate,China,2007-06-03
6891,Other Authorities / Officials (Nigeria),Make an appeal or request,Citizen (Nigeria),2015-06-08
6892,South Korea,Engage in diplomatic cooperation,Japan,2011-09-24
6893,African Union,Praise or endorse,Sudan,2011-02-11
6894,Cambodia,Sign formal agreement,China,2006-04-08
6895,New Democracy,Accuse,Alexis Tsipras,2015-04-08
6896,Mario Monti,Express intent to meet or negotiate,Angela Merkel,2012-01-16
6897,Xi Jinping,Make statement,China,2013-07-02
6898,China,Make statement,East Turkistan Islamic Movement,2011-08-24
6899,Thailand,Express intent to cooperate,Laos,2007-03-12
6900,Catherine Ashton,Consult,Mahmoud Abbas,2011-01-06
6901,Barack Obama,Consult,Dmitry Anatolyevich Medvedev,2011-11-15
6902,Media (Thailand),Make statement,Abhisit Vejjajiva,2009-04-10
6903,France,Engage in diplomatic cooperation,Vietnam,2006-02-22
6904,Amina Mohamed,Engage in negotiation,Sheikh Ahmed Abdullah,2015-06-09
6905,China,Consult,Association of Southeast Asian Nations,2015-11-25
6906,Cambodia,Engage in diplomatic cooperation,Thailand,2005-03-12
6907,Insurgent (Thailand),fight with small arms and light weapons,Citizen (Thailand),2006-10-09
6908,Cabinet / Council of Ministers / Advisors (Japan),Make statement,Japan,2008-10-04
6909,Yasuo Fukuda,Consult,Head of Government (South Korea),2008-04-21
6910,Barack Obama,Make statement,France,2009-04-03
6911,Citizen (Nigeria),Make an appeal or request,Muhammadu Buhari,2015-05-04
6912,Citizen (Nigeria),Accuse,Government (Nigeria),2015-07-24
6913,José Dirceu de Oliveira e Silva,Criticize or denounce,Ministry (Brazil),2005-04-15
6914,Vietnam,Express intent to cooperate,Thailand,2011-03-27
6915,Police (Philippines),Make statement,Employee (Philippines),2013-11-29
6916,Barack Obama,Host a visit,Benjamin Netanyahu,2010-04-26
6917,Military Personnel (Philippines),Make statement,Police (Philippines),2007-05-18
6918,Herman Van Rompuy,Engage in negotiation,Angela Merkel,2010-02-11
6919,Japan,Engage in negotiation,Lee Myung Bak,2008-06-02
6920,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2012-10-24
6921,Republic of South Ossetia,Express intent to meet or negotiate,Zurab Nogaideli,2005-10-28
6922,Kuwait,Make a visit,Yemen,2009-10-10
6923,China,Express intent to meet or negotiate,South Korea,2005-06-24
6924,Police (Kenya),Make statement,Domestic Affairs (Kenya),2005-01-18
6925,China,Consult,Shivraj Patil,2006-11-15
6926,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2011-03-17
6927,Xi Jinping,Consult,Head of Government (India),2014-06-30
6928,South Korea,Consult,China,2007-01-04
6929,Ministry (Iran),Make statement,Iran,2012-02-04
6930,Mahmoud Ahmadinejad,Express intent to meet or negotiate,Iran,2013-02-06
6931,Japan,Consult,Laos,2006-12-03
6932,France,Make optimistic comment,China,2006-02-08
6933,Labor Union (Nigeria),Accuse,Citizen (Nigeria),2012-11-13
6934,Envoy (United States),Consult,Mahmoud Abbas,2013-12-10
6935,Al-Shabaab,Use conventional military force,Peacekeeping Troop (African Union),2009-11-23
6936,Citizen (Thailand),Use unconventional violence,Insurgent (Thailand),2009-12-08
6937,South Korea,Consult,Head of Government (Turkmenistan),2014-06-16
6938,Mahmoud Abbas,Express intent to meet or negotiate,China,2005-05-05
6939,Insurgent (Thailand),fight with small arms and light weapons,Citizen (Thailand),2013-01-23
6940,Police (Australia),Physically assault,Citizen (Australia),2008-01-09
6941,Japan,Express intent to meet or negotiate,South Korea,2014-05-13
6942,Lee Myung Bak,Make statement,South Korea,2010-05-12
6943,Police (Philippines),Make statement,Military Personnel (Philippines),2006-02-15
6944,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2011-10-31
6945,Cambodia,Express intent to meet or negotiate,Thailand,2005-07-05
6946,Cambodia,Express intent to engage in diplomatic cooperation (such as policy support),Vietnam,2005-09-27
6947,Criminal (Zambia),Use unconventional violence,Citizen (Zambia),2015-10-06
6948,Iran,Engage in negotiation,Iraq,2012-08-16
6949,Cambodia,Engage in diplomatic cooperation,Vietnam,2006-03-24
6950,Dmitry Anatolyevich Medvedev,Consult,Barack Obama,2009-04-02
6951,China,Consult,South Africa,2015-06-08
6952,China,Consult,Thailand,2006-01-13
6953,France,Make a visit,Iran,2014-02-04
6954,Tony Blair,Express intent to meet or negotiate,Mahmoud Abbas,2005-01-11
6955,France,Consult,Barack Obama,2009-04-11
6956,Dmitry Anatolyevich Medvedev,Express intent to cooperate,Barack Obama,2009-07-10
6957,China,Engage in diplomatic cooperation,Japan,2010-10-18
6958,Iran,Express intent to meet or negotiate,Catherine Ashton,2010-07-28
6959,Philip Ruddock,Consult,Lawyer/Attorney (Australia),2006-03-23
6960,Catherine Ashton,Express intent to meet or negotiate,Iran,2014-01-14
6961,Angela Merkel,Make statement,Business (Germany),2005-11-27
6962,Japan,Consult,China,2009-09-22
6963,Japan,Engage in negotiation,China,2006-07-27
6964,Media Personnel (China),Make statement,China,2009-01-20
6965,Japan,Express intent to meet or negotiate,China,2013-10-23
6966,Pervez Musharraf,Consult,Shaukat Aziz,2007-06-22
6967,Wang Yi,Make statement,China,2013-10-20
6968,Cambodia,Express intent to cooperate,Thailand,2010-08-10
6969,Benjamin Netanyahu,Make statement,Iran,2012-09-28
6970,China,Sign formal agreement,Thailand,2005-07-05
6971,Military Personnel (Thailand),Consult,Thailand,2011-04-29
6972,Ministry (Iran),Make statement,Iran,2012-07-01
6973,Lawyer/Attorney (Australia),Make statement,Police (Australia),2007-09-08
6974,France,Sign formal agreement,Kazakhstan,2008-06-26
6975,China,Engage in diplomatic cooperation,Japan,2015-08-25
6976,Lee Myung Bak,Express intent to cooperate,Wen Jiabao,2008-12-15
6977,Yoshihiko Noda,Express intent to meet or negotiate,Barack Obama,2011-11-03
6978,Cristina Fernández de Kirchner,Express intent to cooperate,Angela Merkel,2013-01-27
6979,Police (Australia),Accuse,Women (Australia),2013-11-26
6980,France,Make statement,Iran,2005-08-25
6981,Citizen (Australia),Criticize or denounce,Member of Parliament (Australia),2008-06-28
6982,Iran,Make a visit,Iraq,2012-06-03
6983,South Korea,Consult,China,2005-12-12
6984,Kazakhstan,Engage in diplomatic cooperation,Iran,2010-06-01
6985,Court Judge (United Kingdom),Make an appeal or request,Citizen (United Kingdom),2014-06-26
6986,Tony Blair,Engage in negotiation,Bertie Ahern,2009-04-24
6987,Malaysia,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2014-12-01
6988,Evo Morales,Make statement,Bolivia,2006-12-09
6989,Christian (Indonesia),Use conventional military force,Muslim (Indonesia),2005-05-31
6990,Muhammadu Buhari,Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria),2015-02-19
6991,Men (South Africa),fight with small arms and light weapons,Police (South Africa),2005-09-01
6992,Defense / Security Ministry (United States),Consult,South Korea,2006-10-18
6993,Cambodia,Use conventional military force,Thailand,2011-02-15
6994,Media Personnel (China),Make statement,China,2005-09-06
6995,Ministry (South Korea),Make statement,China,2010-11-30
6996,Barack Obama,Sign formal agreement,Dmitry Anatolyevich Medvedev,2010-04-22
6997,China,Express intent to engage in diplomatic cooperation (such as policy support),Vietnam,2015-11-06
6998,City Mayor (Philippines),Discuss by telephone,Inquirer,2012-10-10
6999,Christine Lagarde,Make statement,France,2008-12-09
7000,Lawyer/Attorney (Australia),Make statement,Dr. Mohamed Haneef,2007-07-10
7001,China,Express intent to meet or negotiate,South Korea,2011-12-31
7002,Barack Obama,Accuse,China,2010-12-06
7003,Muhammadu Buhari,Express intent to cooperate,Citizen (Nigeria),2015-05-30
7004,Association of Southeast Asian Nations,Engage in diplomatic cooperation,China,2005-10-19
7005,Citizen (Nigeria),Accuse,Labor Union (Nigeria),2012-09-02
7006,Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014-12-31
7007,Vietnam,Host a visit,Wen Jiabao,2010-10-28
7008,Criminal (Brazil),Use unconventional violence,Citizen (Brazil),2009-09-16
7009,Cambodia,Express intent to cooperate,Vietnam,2015-10-29
7010,Government (Pakistan),Make statement,Pervez Musharraf,2007-04-27
7011,Cristina Fernández de Kirchner,Express intent to cooperate,Justicialist Party,2014-04-17
7012,China,Praise or endorse,UN Security Council,2010-11-10
7013,Media Personnel (Saudi Arabia),Make statement,Police (Saudi Arabia),2012-01-15
7014,South Korea,Engage in negotiation,Japan,2014-09-25
7015,Insurgent (Thailand),Use unconventional violence,Citizen (Thailand),2014-06-17
7016,China,Express intent to cooperate,Japan,2007-02-21
7017,Ministry (Nigeria),Make statement,Government (Nigeria),2011-12-22
7018,Representatives (France),Express intent to meet or negotiate,France,2015-11-23
7019,Senate (Argentina),Make an appeal or request,Federal Judge (Argentina),2006-06-20
7020,Ministry (Nigeria),Make an appeal or request,Citizen (Nigeria),2012-08-24
7021,Citizen (Nigeria),Make an appeal or request,Ministry (Nigeria),2008-01-21
7022,Vietnam,Engage in diplomatic cooperation,China,2010-08-25
7023,Wang Yi,Engage in negotiation,Benjamin Netanyahu,2013-12-17
7024,Citizen (Nigeria),Accuse,Government (Nigeria),2008-07-28
7025,China,Engage in negotiation,South Korea,2013-07-30
7026,Japan,Express intent to meet or negotiate,South Korea,2006-04-28
7027,Iraq,Consult,Nuri al-Maliki,2012-10-22
7028,Vietnam,Host a visit,France,2015-11-05
7029,Barack Obama,Consult,Shimon Peres,2011-04-06
7030,Foreign Affairs (Malaysia),Make statement,Malaysia,2009-03-16
7031,Japan,Sign formal agreement,China,2005-09-29
7032,Kazakhstan,Consult,Dmitry Anatolyevich Medvedev,2010-04-05
7033,Benjamin Netanyahu,Express intent to meet or negotiate,Mahmoud Abbas,2010-09-03
7034,Rashid Gumarovich Nurgaliyev,Consult,Dmitry Anatolyevich Medvedev,2009-09-07
7035,China,Express intent to meet or negotiate,South Korea,2007-10-31
7036,China,Praise or endorse,Barack Obama,2010-06-10
7037,Royal Administration (Saudi Arabia),Express intent to engage in diplomatic cooperation (such as policy support),Citizen (Saudi Arabia),2005-09-27
7038,Muslim (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-06-02
7039,China,Criticize or denounce,Iran,2006-01-21
7040,Associated Press,Consult,China,2007-07-12
7041,Cabinet / Council of Ministers / Advisors (Thailand),Express intent to meet or negotiate,Thailand,2009-05-04
7042,Other Authorities / Officials (Egypt),Make statement,Police (Egypt),2015-07-02
7043,Vietnam,Consult,Thailand,2011-12-12
7044,China,Make statement,Media Personnel (China),2012-02-11
7045,South Africa,Engage in diplomatic cooperation,Angola,2011-01-03
7046,Vietnam,Engage in diplomatic cooperation,Laos,2006-11-24
7047,Japan,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2009-09-23
7048,Ministry (Nigeria),Express intent to cooperate,Citizen (Nigeria),2015-02-03
7049,Cambodia,Express intent to meet or negotiate,Thailand,2011-10-26
7050,Japan,Express intent to cooperate,China,2005-05-31
7051,Nuri al-Maliki,Make statement,Iraq,2014-02-12
7052,Tanzania,Consult,Angola,2010-02-02
7053,Police (Indonesia),Engage in material cooperation,Business (Indonesia),2006-02-25
7054,Lawyer/Attorney (Australia),Reject,Citizen (Australia),2007-11-17
7055,Lawyer/Attorney (Australia),Make an appeal or request,Citizen (Australia),2012-10-03
7056,Laos,Sign formal agreement,Cambodia,2008-11-05
7057,France,Express intent to meet or negotiate,China,2005-05-03
7058,Representatives (Russia),Consult,Dmitry Anatolyevich Medvedev,2012-02-23
7059,Ministry (Nigeria),Make statement,Dora Akunyili,2009-10-12
7060,Government (Nigeria),Praise or endorse,Jonah David Jang,2009-02-06
7061,Thailand,Engage in diplomatic cooperation,Malaysia,2009-10-08
7062,Military Personnel (Philippines),Make statement,Military (Philippines),2013-06-15
7063,Japan,Make a visit,South Korea,2014-04-16
7064,Iran,Engage in diplomatic cooperation,Iraq,2009-05-26
7065,United Arab Emirates,Express intent to meet or negotiate,Qatar,2006-04-06
7066,Roh Moo Hyun,Engage in negotiation,Oluṣẹgun Ọbasanjọ,2007-03-08
7067,Government (Nigeria),"Accuse of crime, corruption",Citizen (Nigeria),2005-06-14
7068,Police (Australia),Accuse,Citizen (Australia),2013-09-23
7069,Benjamin Netanyahu,Consult,Mahmoud Abbas,2012-02-12
7070,Japan,Make statement,South Korea,2015-04-07
7071,China,Express intent to meet or negotiate,France,2006-12-04
7072,Abdullah Gül,Host a visit,France,2008-10-15
7073,Media (Argentina),Consult,Cristina Fernández de Kirchner,2008-08-03
7074,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2013-06-05
7075,China,Express intent to engage in diplomatic cooperation (such as policy support),Vietnam,2012-02-12
7076,Japan,Engage in negotiation,China,2015-10-15
7077,China,Reject,Japan,2012-10-01
7078,Head of Government (Cuba),Consult,Evo Morales,2009-10-22
7079,Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2009-01-21
7080,Donald Rumsfeld,Consult,Nuri al-Maliki,2006-04-26
7081,Party Member (United Kingdom),Make an appeal or request,Citizen (United Kingdom),2014-11-28
7082,South Korea,Criticize or denounce,Japan,2013-09-27
7083,African Union,Make statement,Oluṣẹgun Ọbasanjọ,2005-08-17
7084,Police (Australia),Make an appeal or request,Citizen (Australia),2007-04-08
7085,Vietnam,Express intent to cooperate,Malaysia,2015-08-10
7086,Police (Australia),Consult,Citizen (Australia),2015-10-26
7087,South Korea,Engage in negotiation,China,2006-03-27
7088,Kuwait,Consult,Qatar,2015-10-01
7089,Barack Obama,Praise or endorse,France,2015-11-17
7090,South Korea,Sign formal agreement,Vietnam,2007-11-16
7091,South Korea,Make an appeal or request,China,2014-06-25
7092,China,Praise or endorse,UN Security Council,2014-09-08
7093,Mahmoud Ahmadinejad,Express intent to meet or negotiate,Iran,2013-07-30
7094,Lee Myung Bak,Make statement,South Korea,2012-01-10
7095,Iraq,Sign formal agreement,Iran,2014-11-24
7096,Muhammadu Buhari,Make statement,Government (Nigeria),2015-02-17
7097,Japan,Express intent to meet or negotiate,China,2005-10-17
7098,Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2010-05-25
7099,Muslim (United Kingdom),Make an appeal or request,Citizen (United Kingdom),2008-02-28
7100,Iran,Host a visit,Iraq,2007-07-08
7101,Iran,Consult,Kazakhstan,2015-02-02
7102,Wang Yi,Make statement,China,2005-04-10
7103,South Korea,Express intent to meet or negotiate,China,2011-02-14
7104,Daniel Ortega,Make statement,Tomas Borge,2011-02-27
7105,Iran,Engage in diplomatic cooperation,Sudan,2014-02-16
7106,African Union,Consult,Ramtane Lamamra,2009-01-17
7107,South Korea,Criticize or denounce,Japan,2006-07-13
7108,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,France,2012-11-26
7109,Kuomintang,Make statement,Ma Ying Jeou,2008-01-12
7110,Japan,Praise or endorse,UN Security Council,2012-04-17
7111,Qatar,Consult,Kuwait,2015-10-01
7112,Roh Moo Hyun,Express intent to meet or negotiate,South Korea,2005-09-13
7113,Al-Shabaab,Use conventional military force,Ethiopia,2015-08-06
7114,Citizen (Nigeria),Praise or endorse,Muhammadu Buhari,2015-04-05
7115,France,Consult,China,2010-07-20
7116,Angola,Sign formal agreement,Guinea-Bissau,2011-03-22
7117,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Xi Jinping,2008-05-23
7118,Japan,Engage in negotiation,South Korea,2006-03-06
7119,Wang Yi,Consult,Kim Kye Gwan,2013-06-21
7120,Mahmoud Ahmadinejad,Make statement,Iran,2010-05-18
7121,Xi Jinping,Make statement,China,2015-05-27
7122,China,Express intent to cooperate,Japan,2009-05-05
7123,Barack Obama,Discuss by telephone,Benjamin Netanyahu,2015-07-14
7124,China,Sign formal agreement,South Korea,2015-07-19
