head	relation_x	tail	time
South Korea	Make a visit	China	2007-07-17
Joint Chiefs of Staff (United States)	Make a visit	Iraq	2014-11-15
Abdelkader Messahel	Make a visit	African Union	2009-01-30
Vincent C. Siew	Make a visit	International Government Organizations	2014-05-20
Tony Tan Keng Yam	Make a visit	Naval (Brunei)	2013-05-29
Cristina Fernández de Kirchner	Make a visit	China	2015-02-13
Rafael Correa	Make a visit	Iran	2008-12-13
Roh Moo Hyun	Make a visit	Malaysia	2005-12-13
Qatar	Make a visit	United Arab Emirates	2009-01-22
Wen Jiabao	Make a visit	Scientist (China)	2011-09-04
Jack Straw	Make a visit	Royal Administration (Saudi Arabia)	2006-04-18
Yi Pyong-chol	Make a visit	China	2008-04-22
Tsai Ing-wen	Make a visit	Party Member (Taiwan)	2015-01-03
Xi Jinping	Make a visit	South Korea	2014-06-28
Christine Lagarde	Make a visit	China	2011-06-09
United Arab Emirates	Make a visit	Iraq	2008-06-05
Radoslaw Sikorski	Make a visit	Iran	2014-01-28
Islam Karimov	Make a visit	China	2005-05-26
Terrorist (Irish Republican Army)	Make a visit	Colombia	2005-08-17
Wen Jiabao	Make a visit	Cambodia	2006-04-11
Kim Kye Gwan	Make a visit	China	2013-06-17
Media Personnel (International)	Make a visit	China	2006-01-20
Yasuo Fukuda	Make a visit	China	2007-10-02
Uhuru Muigai Kenyatta	Make a visit	The Hague	2013-02-13
International Monetary Fund	Make a visit	Thailand	2012-07-11
Javier Solana	Make a visit	Laos	2005-07-26
Adam Ingram	Make a visit	Malawi	2005-02-18
Head of Government (Cyprus)	Make a visit	Romania	2007-03-14
Saud bin Faisal bin Abdul-Aziz	Make a visit	Heinz Fischer	2006-03-19
Rafiq Hariri	Make a visit	Foreign Affairs (Syria)	2005-02-16
Barack Obama	Make a visit	Thailand	2012-11-24
José Miguel Insulza	Make a visit	Colombia	2007-12-14
Alberto Gonzales	Make a visit	Iraq	2006-08-29
Jakaya Mrisho Kikwete	Make a visit	Tanzania	2015-03-07
Association of Southeast Asian Nations	Make a visit	Vietnam	2010-10-13
Barack Obama	Make a visit	Colombia	2012-08-03
Iran	Make a visit	China	2010-06-10
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	Middle East	2013-06-10
Walker San Miguel	Make a visit	China	2006-08-30
Saud bin Faisal bin Abdul-Aziz	Make a visit	Head of Government (Egypt)	2008-03-01
Mahmoud Abbas	Make a visit	Japan	2010-02-07
Sheikh Hamad bin Khalifa al-Thani	Make a visit	Abdul Kalam	2005-04-14
South Korea	Make a visit	China	2012-12-03
Joseph Ushigiale	Make a visit	Togo	2005-02-23
Rafael Correa	Make a visit	Juan Carlos I	2014-04-24
Iraq	Make a visit	Donald Rumsfeld	2005-12-24
City Mayor (United States)	Make a visit	Mexico	2014-03-03
John Baird	Make a visit	China	2009-07-12
Refugee (Afghanistan)	Make a visit	Iran	2010-10-24
Mahmoud Ahmadinejad	Make a visit	China	2012-05-24
Vincent C. Siew	Make a visit	China	2014-11-14
Wen Jiabao	Make a visit	Middle East	2012-01-21
African Union	Make a visit	Sudan	2013-11-15
State Media (Lebanon)	Make a visit	Foreign Affairs (Italy)	2013-06-26
Head of Government (Pakistan)	Make a visit	Juan Carlos I	2010-06-04
Association of Southeast Asian Nations	Make a visit	Thailand	2009-07-21
Pervez Musharraf	Make a visit	Mahmoud Ahmadinejad	2008-04-28
Nasser Judeh	Make a visit	France	2012-08-06
Sheikh Hamad bin Khalifa al-Thani	Make a visit	Transportation Ministry/Department (Singapore)	2005-06-11
Norwegian Refugee Council	Make a visit	Yemen	2013-04-29
John Brennan	Make a visit	United Arab Emirates	2011-06-01
Head of Government (Uruguay)	Make a visit	Vietnam	2007-11-19
Japan	Make a visit	China	2005-11-15
Head of Government (South Korea)	Make a visit	China	2014-04-09
Thailand	Make a visit	China	2011-11-01
Governor (Japan)	Make a visit	France	2005-03-26
Muhammadu Buhari	Make a visit	Iran	2015-12-24
Kuomintang	Make a visit	China	2009-08-30
Ricardo Cabrisas	Make a visit	Japan	2015-03-09
Mahmoud Abbas	Make a visit	Middle East	2009-01-16
Yoshihiko Noda	Make a visit	Japan	2011-09-08
Andrius Kubilius	Make a visit	Cabinet / Council of Ministers / Advisors (United States)	2011-07-01
South African National Defence Force	Make a visit	Sudan	2005-03-03
Media Personnel (New Zealand)	Make a visit	Cambodia	2006-02-24
Intelligence Chief (South Korea)	Make a visit	France	2008-10-28
Mahmoud Abbas	Make a visit	Yemen	2006-08-06
Benedict XVI	Make a visit	Romania	2010-12-07
Haider Al-Abadi	Make a visit	Iraq	2015-04-11
Mahmoud Ahmadinejad	Make a visit	Iran	2006-12-19
East African Community	Make a visit	Burundi	2011-12-12
Bolivia	Make a visit	The Hague	2015-05-02
Head of Government (South Korea)	Make a visit	China	2012-01-10
Mahmoud Ahmadinejad	Make a visit	Economic Cooperation Organization	2006-05-08
Yasuo Fukuda	Make a visit	China	2007-12-17
Hamrokhon Zarifi	Make a visit	China	2010-04-28
Cristina Fernández de Kirchner	Make a visit	Raúl Castro	2009-01-21
Gurbanguly Berdymukhammedov	Make a visit	South Korea	2008-11-06
Japan	Make a visit	China	2006-02-23
Malaysia	Make a visit	Laos	2007-07-11
Xi Jinping	Make a visit	South Korea	2009-12-16
Foreign Affairs (India)	Make a visit	Cabinet / Council of Ministers / Advisors (United States)	2012-05-09
China	Make a visit	Vietnam	2005-11-02
Congress (United States)	Make a visit	South Korea	2005-01-14
Israeli Defense Forces	Make a visit	France	2007-02-22
Lee Myung Bak	Make a visit	Thailand	2009-04-10
China	Make a visit	Japan	2013-10-28
Defense / Security Ministry (New Zealand)	Make a visit	Military (Singapore)	2008-08-21
Tourist (South Korea)	Make a visit	Yemen	2009-03-18
Kuwait	Make a visit	Iraq	2012-04-28
Henry M. Paulson	Make a visit	China	2007-03-05
Isaias Afewerki	Make a visit	Eritrea	2008-02-17
Lee Myung Bak	Make a visit	Vietnam	2009-10-23
Arseniy Yatsenyuk	Make a visit	Portugal	2008-04-21
Iraq	Make a visit	Iran	2007-07-08
Dmitry Anatolyevich Medvedev	Make a visit	China	2008-05-22
Mahmoud Ahmadinejad	Make a visit	China	2012-06-08
Uhuru Muigai Kenyatta	Make a visit	China	2013-11-28
Roh Moo Hyun	Make a visit	Cambodia	2006-11-21
Abdul-Karim Al-Arhabi	Make a visit	Japan	2008-04-20
Shaukat Aziz	Make a visit	Royal Administration (Saudi Arabia)	2006-12-16
Xi Jinping	Make a visit	Barack Obama	2015-10-09
Pervez Musharraf	Make a visit	China	2006-02-24
Mahmoud Ahmadinejad	Make a visit	Iran	2006-01-05
Envoy (United States)	Make a visit	South Korea	2008-07-22
Elmar Mammadyarov	Make a visit	China	2005-02-04
Mohamed Ibn Chambas	Make a visit	Niger	2006-01-10
Tony Blair	Make a visit	Abdel Fattah Al-Sisi	2014-09-08
Ashraf Ghani Ahmadzai	Make a visit	China	2014-11-05
Wang Yi	Make a visit	South Korea	2015-03-21
Kim Hwang Sik	Make a visit	United Arab Emirates	2012-01-20
Defense / Security Ministry (Spain)	Make a visit	China	2006-10-23
Abu Bakr Abdullah al-Qirbi	Make a visit	Kuwait	2005-12-10
Head of Government (Egypt)	Make a visit	Ethiopia	2011-06-01
Barack Obama	Make a visit	Malaysia	2013-10-04
Head of Government (Ukraine)	Make a visit	France	2010-10-29
USS Nimitz	Make a visit	South Korea	2013-05-11
Donald Rumsfeld	Make a visit	Iraq	2005-04-12
Head of Government (Brazil)	Make a visit	Iran	2010-05-15
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	France	2014-07-26
Mahmoud Abbas	Make a visit	Benjamin Netanyahu	2010-09-17
Teodoro Obiang Nguema Mbasogo	Make a visit	China	2005-10-22
USS Harry S. Truman	Make a visit	Middle East	2015-11-16
Wen Jiabao	Make a visit	Cristina Fernández de Kirchner	2012-06-25
Thailand	Make a visit	China	2011-10-31
Eshaq Jahangiri	Make a visit	Iraq	2015-02-18
China	Make a visit	South Africa	2011-05-30
Envoy (United States)	Make a visit	South Korea	2009-05-10
Barack Obama	Make a visit	China	2009-12-01
Nuri al-Maliki	Make a visit	Iran	2006-09-23
Gholamali Haddad Adel	Make a visit	Iran	2005-10-03
Special Rapporteurs of the United Nations	Make a visit	Sudan	2008-07-10
Joint Chiefs of Staff (United States)	Make a visit	Iraq	2012-08-21
African Union	Make a visit	Ethiopia	2013-04-25
Japan	Make a visit	China	2007-07-21
Sali Berisha	Make a visit	Iraq	2005-12-20
Head of Government (Turkmenistan)	Make a visit	Iran	2007-06-26
Muhammad VI	Make a visit	Government (Guinea-Bissau)	2015-05-28
Combatant (Al Qaeda)	Make a visit	Yemen	2012-08-28
Mahmoud Abbas	Make a visit	Middle East	2008-01-10
Refugee (Afghanistan)	Make a visit	Iran	2009-06-17
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	China	2012-05-09
Royal Administration (Spain)	Make a visit	Portugal	2014-07-07
Mahmoud Abbas	Make a visit	Ministry (Egypt)	2010-05-05
Chen Zhili	Make a visit	Cambodia	2008-12-16
Benazir Bhutto	Make a visit	Japan	2007-12-30
Oman	Make a visit	Japan	2014-02-15
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	Malaysia	2015-07-31
Rafael Correa	Make a visit	Dominican Republic	2010-01-30
Xi Jinping	Make a visit	China	2014-05-23
Head of Government (Sierra Leone)	Make a visit	China	2006-04-24
Defense / Security Ministry (United States)	Make a visit	China	2014-04-08
Pervez Musharraf	Make a visit	China	2006-02-20
Head of Government (South Korea)	Make a visit	China	2006-10-13
Japan	Make a visit	China	2006-05-03
U.S. Marine Forces Central Command	Make a visit	Oman	2014-05-21
Vietnam	Make a visit	Marie-George Buffet	2008-11-17
Defense / Security Ministry (United States)	Make a visit	China	2007-12-04
Ministry (Egypt)	Make a visit	South Korea	2012-03-27
Bill Richardson	Make a visit	Sudan	2006-09-10
Oluṣẹgun Ọbasanjọ	Make a visit	Boko Haram	2011-09-20
Foreign Affairs (Belgium)	Make a visit	Angola	2007-04-16
Muhammad Naji al-Otari	Make a visit	Iran	2007-03-11
Sami Hafez Anan	Make a visit	William E. Ward	2008-02-18
Barack Obama	Make a visit	Mexico	2008-06-26
Wen Jiabao	Make a visit	Malaysia	2011-04-28
Foreign Affairs (Denmark)	Make a visit	Swaziland	2014-10-29
Gerhard Schröder	Make a visit	China	2006-02-23
Head of Government (Brazil)	Make a visit	Mwai Kibaki	2010-07-06
Donald Rumsfeld	Make a visit	China	2005-10-19
Defense / Security Ministry (New Zealand)	Make a visit	Vietnam	2009-05-18
Abdirahman Mohamed Farole	Make a visit	Yemen	2013-09-26
Macky Sall	Make a visit	Barack Obama	2013-04-03
Japan	Make a visit	Thailand	2015-01-23
Barack Obama	Make a visit	Air Force (South Africa)	2013-06-28
Tzipi Livni	Make a visit	South Korea	2007-01-10
Xi Jinping	Make a visit	Barack Obama	2015-09-23
Thailand	Make a visit	Malaysia	2013-03-04
Benjamin Netanyahu	Make a visit	Barack Obama	2014-03-03
Iraq	Make a visit	Iran	2014-12-24
France	Make a visit	Abdullah Gül	2008-10-15
Klaus Johannis	Make a visit	France	2015-02-10
Rafael Correa	Make a visit	Iran	2008-10-12
Angela Merkel	Make a visit	China	2015-10-26
Seyoum Mesfin	Make a visit	South Sudan	2014-01-15
Mahmoud Ahmadinejad	Make a visit	Iran	2009-02-18
Tony Blair	Make a visit	Japan	2007-08-30
Pervez Musharraf	Make a visit	China	2009-05-26
Shimon Peres	Make a visit	Vietnam	2011-11-23
Secretary of State for the Home Department	Make a visit	Makhdoom Shah Mahmood Qureshi	2008-04-08
Chamber of Deputies of Brazil	Make a visit	Angola	2015-06-12
Angela Merkel	Make a visit	Antonis Samaras	2012-10-09
Secret Agent (Argentina)	Make a visit	Mexico	2007-01-20
Mahmoud Ahmadinejad	Make a visit	Iran	2006-06-07
Defense / Security Ministry (South Africa)	Make a visit	Vietnam	2005-10-21
Straits Exchange Foundation	Make a visit	China	2008-10-23
Special Rapporteurs of the United Nations	Make a visit	Japan	2005-10-29
Gerhard Schröder	Make a visit	Government (Germany)	2007-11-15
Hisham Qandil	Make a visit	International Monetary Fund	2013-03-18
Tan Sri Muhyiddin Yassin	Make a visit	Malaysia	2014-12-29
Head of Government (Pakistan)	Make a visit	China	2009-02-24
Barack Obama	Make a visit	China	2009-11-21
Mahmoud Ahmadinejad	Make a visit	Iran	2013-03-14
Jack Straw	Make a visit	China	2005-01-24
Association of Southeast Asian Nations	Make a visit	Thailand	2009-02-23
Omar Suleiman	Make a visit	Sudan	2010-10-22
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	Oman	2014-11-09
Kamla Persad-Bissessar	Make a visit	China	2014-02-26
Undersecretary (United States)	Make a visit	China	2006-11-08
Mahmoud Ahmadinejad	Make a visit	Royal Administration (Saudi Arabia)	2007-03-04
Romania	Make a visit	France	2010-08-27
Peacekeeping Troop (Malaysia)	Make a visit	Timor-Leste	2006-05-27
Donald Rumsfeld	Make a visit	South Korea	2005-10-21
Pervez Musharraf	Make a visit	China	2008-04-08
Government (Germany)	Make a visit	Colombia	2008-05-18
China	Make a visit	Romania	2008-03-04
Iraq	Make a visit	Iran	2015-08-17
John Faulkner	Make a visit	Japan	2010-05-23
China	Make a visit	Japan	2008-05-06
East African Community	Make a visit	Tanzania	2006-03-28
John Dramani Mahama	Make a visit	Togo	2015-04-23
Evo Morales	Make a visit	Bolivia	2005-12-23
Julia Gillard	Make a visit	Malaysia	2011-01-29
Mikhail Yefimovich Fradkov	Make a visit	Kazakhstan	2007-03-31
Raúl Castro	Make a visit	Mexico	2015-10-29
Mahmoud Ahmadinejad	Make a visit	Iran	2007-08-16
Esfandiar Rahim Mashaei	Make a visit	Education (Iran)	2008-05-04
Rafael Correa	Make a visit	Bolivia	2006-12-11
Islam Karimov	Make a visit	China	2012-06-10
Tony Blair	Make a visit	Ivan Gasparovic	2006-03-10
Vietnam	Make a visit	Laos	2010-07-30
South Korea	Make a visit	South Sudan	2011-10-01
Barack Obama	Make a visit	Ethiopia	2015-09-08
Laos	Make a visit	Japan	2015-03-04
Naval (United States)	Make a visit	Japan	2009-02-05
Tony Sithembiso Yengeni	Make a visit	South Africa	2006-11-13
Gerhard Schröder	Make a visit	Yemen	2005-03-02
Evo Morales	Make a visit	Bolivia	2008-05-20
China	Make a visit	Iran	2006-02-24
Wen Jiabao	Make a visit	China	2011-09-17
Mahmoud Ahmadinejad	Make a visit	Iraq	2012-11-04
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	Vietnam	2010-08-10
William Ruto	Make a visit	The Hague	2014-01-20
Sheikh Jabir al Ahmad al Jabir al Sabah	Make a visit	Romania	2008-05-09
Media Personnel (Japan)	Make a visit	Ireland	2005-05-07
Foreign Affairs (Venezuela)	Make a visit	Iran	2015-04-20
Le Hong Anh	Make a visit	China	2014-08-25
Donald Rumsfeld	Make a visit	Iraq	2005-02-11
Dmitry Anatolyevich Medvedev	Make a visit	France	2010-03-04
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	China	2008-01-17
Adil Abdul-Mahdi	Make a visit	Iran	2009-03-02
Roh Moo Hyun	Make a visit	Mexico	2005-09-11
Sheikh Hamad bin Isa al Khalifah	Make a visit	Kazakhstan	2014-04-17
Jason C. Hu	Make a visit	China	2005-06-04
African Union	Make a visit	Ethiopia	2007-02-16
Vietnam	Make a visit	Cambodia	2012-07-18
China	Make a visit	Japan	2010-09-01
Barack Obama	Make a visit	China	2014-11-07
Barack Obama	Make a visit	Angela Merkel	2015-06-05
Evo Morales	Make a visit	Bolivia	2006-05-20
Nasser Judeh	Make a visit	Romania	2014-07-14
Tzipi Livni	Make a visit	South Korea	2007-01-16
International Monetary Fund	Make a visit	Japan	2012-09-25
Benjamin Netanyahu	Make a visit	Japan	2005-09-01
Pervez Musharraf	Make a visit	United Arab Emirates	2007-01-23
Peter Costello	Make a visit	South Africa	2006-07-11
Benedict XVI	Make a visit	Mexico	2012-03-25
Igor Ivanovich Shuvalov	Make a visit	Islam Karimov	2010-01-19
William Ruto	Make a visit	The Hague	2013-11-20
Islam Karimov	Make a visit	Healthcare Facility (Uzbekistan)	2012-08-30
Dmitry Anatolyevich Medvedev	Make a visit	China	2013-10-14
Lee Myung Bak	Make a visit	Thailand	2009-10-26
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	China	2009-02-23
Angela Merkel	Make a visit	Abdullah Gül	2010-03-29
Lee Myung Bak	Make a visit	Japan	2008-04-21
China	Make a visit	France	2008-11-02
Islam Karimov	Make a visit	Japan	2007-11-14
Deval Patrick	Make a visit	Kuwait	2010-07-22
China	Make a visit	Oman	2010-10-29
China	Make a visit	Burundi	2005-09-15
Thongsing Thammavong	Make a visit	Vietnam	2006-11-23
Head of Government (Mongolia)	Make a visit	Foreign Affairs (India)	2010-06-18
Envoy (United States)	Make a visit	South Korea	2005-04-28
European Central Bank	Make a visit	Ireland	2013-11-27
South Africa	Make a visit	Iran	2013-12-02
Abhisit Vejjajiva	Make a visit	China	2009-02-23
A.K. Antony	Make a visit	China	2013-07-07
New Democracy	Make a visit	Cabinet / Council of Ministers / Advisors (United States)	2011-07-18
Muhammad VI	Make a visit	Kuwait	2012-10-17
Mahmoud Ahmadinejad	Make a visit	Iran	2009-04-08
African Union	Make a visit	Sudan	2007-05-10
Abdul Aziz Abdul Ghani	Make a visit	Oluṣẹgun Ọbasanjọ	2006-06-07
Mikhail Yefimovich Fradkov	Make a visit	Japan	2007-03-16
Lee Myung Bak	Make a visit	Japan	2011-05-22
Angela Merkel	Make a visit	China	2015-10-23
Francis Muthaura	Make a visit	The Hague	2011-03-30
Finance / Economy / Commerce / Trade Ministry (Canada)	Make a visit	Romania	2010-07-15
Alexis Tsipras	Make a visit	Angela Merkel	2015-03-23
Raúl Castro	Make a visit	Mexico	2009-01-23
Phongthep Thepkanjana	Make a visit	Thailand	2013-10-25
Gerhard Schröder	Make a visit	France	2005-09-30
Mahmoud Ahmadinejad	Make a visit	China	2006-06-16
Japan	Make a visit	China	2006-11-28
Association of Southeast Asian Nations	Make a visit	Thailand	2009-01-06
Barack Obama	Make a visit	Japan	2011-10-04
Wen Jiabao	Make a visit	China	2005-05-27
Donald Rumsfeld	Make a visit	China	2005-10-22
Joon Young Woo	Make a visit	South Korea	2006-07-21
Alain Joyandet	Make a visit	Madagascar	2010-03-31
Kim Kye Gwan	Make a visit	China	2010-03-02
City Mayor (Philippines)	Make a visit	China	2012-09-12
Nuri al-Maliki	Make a visit	Iran	2008-06-22
Wen Jiabao	Make a visit	Malaysia	2011-05-01
Barack Obama	Make a visit	Cambodia	2012-11-08
William J. Fallon	Make a visit	Islam Karimov	2008-01-24
Tony Blair	Make a visit	Iraq	2006-05-22
Thanong Bidaya	Make a visit	Laos	2006-02-04
Japan	Make a visit	China	2005-07-25
Foreign Affairs (India)	Make a visit	Awad Ahmed al-Jaz	2005-10-29
African Union	Make a visit	Ethiopia	2012-07-13
Foreign Affairs (Slovakia)	Make a visit	France	2012-09-13
China	Make a visit	Laos	2008-03-29
Ministry (Poland)	Make a visit	South Korea	2015-06-07
Dmitry Anatolyevich Medvedev	Make a visit	Republic of South Ossetia	2009-07-15
Barack Obama	Make a visit	Benjamin Netanyahu	2014-03-01
Angela Merkel	Make a visit	China	2012-09-02
Iraq	Make a visit	Iran	2007-08-05
Henry M. Paulson	Make a visit	China	2008-08-19
Chung Sye Kyun	Make a visit	South Korea	2005-06-24
Abhisit Vejjajiva	Make a visit	Thailand	2010-10-25
Nuri al-Maliki	Make a visit	Kuwait	2006-07-05
Association of Southeast Asian Nations	Make a visit	Cambodia	2011-02-05
Mahmoud Ahmadinejad	Make a visit	Iran	2008-08-24
Human Rights Watch	Make a visit	Sudan	2014-02-28
Guatemala	Make a visit	China	2005-06-21
China	Make a visit	Cabinet / Council of Ministers / Advisors (United States)	2009-09-29
Benedict XVI	Make a visit	Middle East	2009-10-12
Sudan	Make a visit	Qatar	2009-02-16
Iran	Make a visit	France	2014-06-09
Foreign Affairs (Romania)	Make a visit	Royal Administration (Saudi Arabia)	2011-04-26
South Sudan	Make a visit	Sudan	2012-05-28
Serik Akhmetov	Make a visit	Kazakhstan	2012-03-25
Nurse (India)	Make a visit	United Arab Emirates	2014-07-12
Ali Abdullah Saleh	Make a visit	China	2006-04-29
Wen Jiabao	Make a visit	Angela Merkel	2007-08-27
China	Make a visit	South Korea	2010-10-20
Barack Obama	Make a visit	China	2014-11-15
Abu Bakr Abdullah al-Qirbi	Make a visit	Oman	2010-11-10
Special Court (Lebanon)	Make a visit	The Hague	2014-12-05
Yoshihiko Noda	Make a visit	South Korea	2011-10-13
Head of Government (Peru)	Make a visit	Bolivia	2008-06-08
Kim Kye Gwan	Make a visit	Japan	2006-04-08
Japan	Make a visit	South Korea	2015-03-21
Mahmoud Ahmadinejad	Make a visit	Education (Iran)	2012-09-24
Larry Hogan	Make a visit	South Korea	2015-05-29
Ahmad bin Abdul-Nabi Mekki	Make a visit	Oman	2005-07-04
Benjamin Netanyahu	Make a visit	China	2013-05-08
Pervez Musharraf	Make a visit	United Arab Emirates	2013-03-24
Donald Rumsfeld	Make a visit	China	2005-10-21
Barack Obama	Make a visit	Middle East	2008-07-30
Mahmoud Ahmadinejad	Make a visit	Kazakhstan	2009-04-06
Liu Yandong	Make a visit	China	2014-07-14
Shivraj Patil	Make a visit	China	2005-09-07
Kim Hwang Sik	Make a visit	United Arab Emirates	2012-01-17
Sergey Kuzhugetovich Shoygu	Make a visit	Iran	2015-01-22
Philip Hammond	Make a visit	Urmas Reinsalu	2013-12-02
Barack Obama	Make a visit	China	2009-10-26
Refugee (Afghanistan)	Make a visit	Iran	2012-10-15
Nuri al-Maliki	Make a visit	Iraq	2012-12-04
Barack Obama	Make a visit	Ireland	2011-05-24
Pervez Musharraf	Make a visit	United Arab Emirates	2007-01-24
Office of the United Nations High Commissioner for Human Rights	Make a visit	Mexico	2015-09-30
Barack Obama	Make a visit	Middle East	2008-08-03
Hashim Thaçi	Make a visit	Herman Van Rompuy	2011-12-08
Cambodia	Make a visit	Laos	2007-07-11
Lawyer/Attorney (United States)	Make a visit	China	2010-10-20
Head of Government (Egypt)	Make a visit	Iraq	2015-01-12
Japan	Make a visit	South Korea	2006-05-23
Nuri al-Maliki	Make a visit	South Korea	2011-05-03
Wu Po-hsiung	Make a visit	China	2008-05-31
Xi Jinping	Make a visit	China	2014-03-28
Islam Karimov	Make a visit	Kazakhstan	2012-09-06
Emperor Akihito	Make a visit	Japan	2009-07-05
Middle East	Make a visit	United Arab Emirates	2010-11-10
Roh Moo Hyun	Make a visit	Mexico	2005-09-08
Barack Obama	Make a visit	Northern Ireland	2013-07-28
Staffan de Mistura	Make a visit	China	2015-07-23
Association of Southeast Asian Nations	Make a visit	Malaysia	2015-08-07
Barack Obama	Make a visit	Iraq	2008-07-21
Herman Van Rompuy	Make a visit	Portugal	2009-12-01
Zalmai Rassoul	Make a visit	Qatar	2012-04-02
Morteza Sarmadi	Make a visit	Iran	2015-04-08
Ishaq Dar	Make a visit	China	2014-10-28
Envoy (United States)	Make a visit	Sudan	2009-04-04
Benjamin Netanyahu	Make a visit	Barack Obama	2009-05-19
Valentin Sobolev	Make a visit	Iran	2008-05-12
Lawyer/Attorney (United Kingdom)	Make a visit	Portugal	2007-05-14
Japan	Make a visit	China	2007-12-09
Xi Jinping	Make a visit	France	2014-03-29
Jaber Mubarak Al-Sabah	Make a visit	Royal Administration (Spain)	2007-12-31
Refugee (Afghanistan)	Make a visit	Iran	2014-07-28
Head of Government (Ukraine)	Make a visit	Mikhail Yefimovich Fradkov	2006-08-17
Newspaper (Malaysia)	Make a visit	Aceh	2005-01-11
José Miguel Insulza	Make a visit	Bolivia	2006-04-10
Lien Chan	Make a visit	China	2005-06-15
Javier Solana	Make a visit	Iran	2008-07-07
African Union	Make a visit	Tanzania	2006-09-07
Chongwadai	Make a visit	Qatar	2015-03-13
Envoy (United States)	Make a visit	South Korea	2014-12-05
Julia Gillard	Make a visit	Indigenous People (United States)	2010-07-09
Elizabeth II	Make a visit	Ireland	2014-04-08
Zillur Rahman	Make a visit	Treasury/Finance Ministry (Bangladesh)	2010-05-13
Iraq	Make a visit	Iran	2005-12-01
Lee Myung Bak	Make a visit	Thailand	2012-11-15
Japan	Make a visit	China	2010-01-19
Uong Chu Luu	Make a visit	Thailand	2005-07-29
Envoy (United States)	Make a visit	Sudan	2009-11-17
Barack Obama	Make a visit	China	2014-11-10
Lawrence Cannon	Make a visit	Japan	2009-05-14
Andrius Kubilius	Make a visit	Japan	2012-02-20
Special Rapporteurs of the United Nations	Make a visit	China	2005-11-27
Ingrid Betancourt Pulecio	Make a visit	Benedict XVI	2008-09-02
Yoshihiko Noda	Make a visit	Laos	2012-11-04
Jian Yu	Make a visit	China	2007-05-30
Abdelilah Benkirane	Make a visit	Muhammad VI	2011-11-29
Okada Katsuya	Make a visit	South Korea	2010-05-16
Abhisit Vejjajiva	Make a visit	Thailand	2009-04-10
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	Abdel Fattah Al-Sisi	2014-07-07
Mahmoud Ahmadinejad	Make a visit	Iran	2008-02-02
Isaias Afewerki	Make a visit	Sudan	2006-06-30
Isaias Afewerki	Make a visit	Eritrea	2006-12-21
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	South Korea	2009-06-06
Angela Merkel	Make a visit	Romania	2011-08-19
Liu Zhenmin	Make a visit	South Korea	2014-02-20
Envoy (United States)	Make a visit	Mahmoud Abbas	2012-08-12
Head of Government (India)	Make a visit	Ireland	2015-09-22
Congress (United States)	Make a visit	Yemen	2010-04-01
Admiral (Russia)	Make a visit	France	2005-06-22
UN Security Council	Make a visit	South Sudan	2010-10-07
Benjamin Netanyahu	Make a visit	Barack Obama	2010-07-04
Foreign Affairs (Italy)	Make a visit	Colombia	2012-06-06
Defense / Security Ministry (United States)	Make a visit	Kuwait	2015-02-23
Uhuru Muigai Kenyatta	Make a visit	Ethiopia	2014-03-09
Envoy (United States)	Make a visit	China	2005-04-26
Rafael Ramírez	Make a visit	South Korea	2009-03-21
South Korea	Make a visit	China	2013-06-16
Shaukat Aziz	Make a visit	Oman	2005-03-16
Rasa Juknevičienė	Make a visit	South Korea	2010-02-18
Henri Konan Bedie	Make a visit	France	2009-07-06
UN Security Council	Make a visit	Yemen	2013-01-16
Member of Legislative (Govt) (Syria)	Make a visit	Iran	2010-01-06
Abhisit Vejjajiva	Make a visit	Japan	2009-02-04
Presidential Family (United States)	Make a visit	Kuwait	2007-10-24
Newin Chidchob	Make a visit	Thailand	2010-08-30
Head of Government (South Korea)	Make a visit	Thailand	2012-11-14
African Union	Make a visit	Sudan	2011-06-07
Government (Qatar)	Make a visit	UAE Armed Forces	2005-02-20
Roh Moo Hyun	Make a visit	South Korea	2005-11-10
Rudy Giuliani	Make a visit	Guatemala	2014-10-08
Human Rights Watch	Make a visit	Royal Administration (Saudi Arabia)	2006-12-18
Barack Obama	Make a visit	South Africa	2013-06-26
Cristina Fernández de Kirchner	Make a visit	Mexico	2007-04-24
Envoy (United States)	Make a visit	South Korea	2009-03-10
Iran	Make a visit	Iraq	2013-07-26
Lawyer/Attorney (Czech Republic)	Make a visit	South Africa	2009-06-01
Iraq	Make a visit	Iran	2010-02-06
High Commission for Refugees	Make a visit	Sudan	2005-08-24
Luis de Almagro	Make a visit	France	2014-06-10
China	Make a visit	Mulatu Teshome	2015-10-07
Abdullah bin Nasser bin Khalifa Al-Thani	Make a visit	Ona	2015-06-10
Mahmoud Abbas	Make a visit	Middle East	2007-03-10
Raúl Castro	Make a visit	South Africa	2009-07-19
Peacekeeping Troop (Albania)	Make a visit	Iraq	2008-09-09
Rafael Ramírez	Make a visit	Japan	2009-03-30
