head	relation_x	tail	time_x
John Kerry	Discuss by telephone	Benjamin Netanyahu	2014-07-23
John Kerry	Discuss by telephone	Benjamin Netanyahu	2014-11-18
John Kerry	Discuss by telephone	Benjamin Netanyahu	2014-03-27
Antonis Samaras	Discuss by telephone	Evangelos Venizelos	2014-09-30
Benjamin Netanyahu	Discuss by telephone	John Kerry	2014-03-27
Benjamin Netanyahu	Discuss by telephone	John Kerry	2014-07-13
Benjamin Netanyahu	Discuss by telephone	John Kerry	2014-07-23
Benjamin Netanyahu	Discuss by telephone	John Kerry	2014-07-22
Benjamin Netanyahu	Discuss by telephone	John Kerry	2014-07-14
Benjamin Netanyahu	Discuss by telephone	John Kerry	2014-09-04
Benjamin Netanyahu	Discuss by telephone	John Kerry	2014-11-18
Benjamin Netanyahu	Discuss by telephone	John Kerry	2014-03-19
François Hollande	Discuss by telephone	Angela Merkel	2014-07-04
François Hollande	Discuss by telephone	Angela Merkel	2014-05-30
François Hollande	Discuss by telephone	Angela Merkel	2014-05-24
François Hollande	Discuss by telephone	Angela Merkel	2014-07-10
François Hollande	Discuss by telephone	Angela Merkel	2014-06-21
François Hollande	Discuss by telephone	Angela Merkel	2014-06-19
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-03-08
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-03-12
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-22
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-10-24
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-03-13
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-10
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-06-22
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-02-22
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-02-28
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-09
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-12-19
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-12-15
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-21
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-19
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-11-23
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-03-16
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-08
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-05-30
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-23
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-10-04
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-05-03
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-03-14
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-09-21
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-02-23
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-03-19
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-07-28
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-03
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-07-19
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-02
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-26
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-06-01
Pavlo Klimkin	Discuss by telephone	Sergey Viktorovich Lavrov	2014-08-15
Pavlo Klimkin	Discuss by telephone	Sergey Viktorovich Lavrov	2014-06-20
Malaysia	Discuss by telephone	Barack Obama	2014-07-17
Barack Obama	Discuss by telephone	Abdullah Abdullah	2014-08-27
Joseph Robinette Biden	Discuss by telephone	Haider Al-Abadi	2014-08-27
François Hollande	Discuss by telephone	Barack Obama	2014-06-21
François Hollande	Discuss by telephone	Barack Obama	2014-07-08
François Hollande	Discuss by telephone	Barack Obama	2014-05-16
François Hollande	Discuss by telephone	Barack Obama	2014-06-20
François Hollande	Discuss by telephone	Barack Obama	2014-03-08
François Hollande	Discuss by telephone	Barack Obama	2014-05-17
Joseph Robinette Biden	Discuss by telephone	Arseniy Yatsenyuk	2014-07-29
Alexander Stubb	Discuss by telephone	Dmitry Anatolyevich Medvedev	2014-07-24
Alexander Stubb	Discuss by telephone	Dmitry Anatolyevich Medvedev	2014-07-25
Benjamin Netanyahu	Discuss by telephone	Barack Obama	2014-07-10
Benjamin Netanyahu	Discuss by telephone	Barack Obama	2014-07-30
Benjamin Netanyahu	Discuss by telephone	Barack Obama	2014-07-27
Benjamin Netanyahu	Discuss by telephone	Barack Obama	2014-07-19
Benjamin Netanyahu	Discuss by telephone	Barack Obama	2014-08-13
Benjamin Netanyahu	Discuss by telephone	Barack Obama	2014-07-11
Benjamin Netanyahu	Discuss by telephone	Barack Obama	2014-07-20
Benjamin Netanyahu	Discuss by telephone	Barack Obama	2014-07-21
Benjamin Netanyahu	Discuss by telephone	Barack Obama	2014-07-13
Benjamin Netanyahu	Discuss by telephone	Barack Obama	2014-07-28
Barack Obama	Discuss by telephone	Toomas Hendrik Ilves	2014-03-09
Catherine Ashton	Discuss by telephone	Sergey Viktorovich Lavrov	2014-02-21
Malaysia	Discuss by telephone	China	2014-03-22
Benjamin Netanyahu	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-03-21
Benjamin Netanyahu	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-07-14
Benjamin Netanyahu	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-07-18
Benjamin Netanyahu	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-07-25
Benjamin Netanyahu	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-11-07
Benjamin Netanyahu	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-11-18
Benjamin Netanyahu	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-03-20
Evangelos Venizelos	Discuss by telephone	Antonis Samaras	2014-09-30
Sergey Viktorovich Lavrov	Discuss by telephone	Catherine Ashton	2014-02-21
Sergey Viktorovich Lavrov	Discuss by telephone	Foreign Affairs (Ukraine)	2014-04-12
Sergey Viktorovich Lavrov	Discuss by telephone	Foreign Affairs (Ukraine)	2014-04-07
Dmitry Anatolyevich Medvedev	Discuss by telephone	Arseniy Yatsenyuk	2014-11-27
Barack Obama	Discuss by telephone	Abdel Fattah Al-Sisi	2014-06-11
Barack Obama	Discuss by telephone	Abdel Fattah Al-Sisi	2014-06-10
Joseph Robinette Biden	Discuss by telephone	Head of Government (Ukraine)	2014-04-05
Joseph Robinette Biden	Discuss by telephone	Head of Government (Ukraine)	2014-02-28
Joseph Robinette Biden	Discuss by telephone	Head of Government (Ukraine)	2014-07-11
Joseph Robinette Biden	Discuss by telephone	Head of Government (Ukraine)	2014-07-03
Barack Obama	Discuss by telephone	François Hollande	2014-05-16
Barack Obama	Discuss by telephone	François Hollande	2014-06-21
Barack Obama	Discuss by telephone	François Hollande	2014-07-07
Barack Obama	Discuss by telephone	François Hollande	2014-03-08
Barack Obama	Discuss by telephone	François Hollande	2014-07-08
Barack Obama	Discuss by telephone	François Hollande	2014-05-17
Barack Obama	Discuss by telephone	François Hollande	2014-06-20
Arseniy Yatsenyuk	Discuss by telephone	Joseph Robinette Biden	2014-09-17
Sergey Viktorovich Lavrov	Discuss by telephone	Saud bin Faisal bin Abdul-Aziz	2014-06-09
Abdullah Abdullah	Discuss by telephone	Barack Obama	2014-08-27
Haider Al-Abadi	Discuss by telephone	Barack Obama	2014-08-13
Haider Al-Abadi	Discuss by telephone	Barack Obama	2014-09-08
Haider Al-Abadi	Discuss by telephone	Barack Obama	2014-09-09
Haider Al-Abadi	Discuss by telephone	Barack Obama	2014-08-14
Sergey Viktorovich Lavrov	Discuss by telephone	Federica Mogherini	2014-09-02
Sergey Viktorovich Lavrov	Discuss by telephone	Federica Mogherini	2014-10-28
Sergey Viktorovich Lavrov	Discuss by telephone	Federica Mogherini	2014-09-01
Head of Government (Ukraine)	Discuss by telephone	Joseph Robinette Biden	2014-04-05
Head of Government (Ukraine)	Discuss by telephone	Joseph Robinette Biden	2014-07-03
Head of Government (Ukraine)	Discuss by telephone	Joseph Robinette Biden	2014-02-28
Head of Government (Ukraine)	Discuss by telephone	Joseph Robinette Biden	2014-07-11
Abdullah Abdullah	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-07-08
Sergey Kuzhugetovich Shoygu	Discuss by telephone	Chuck Hagel	2014-01-04
Sergey Kuzhugetovich Shoygu	Discuss by telephone	Chuck Hagel	2014-03-20
Sergey Kuzhugetovich Shoygu	Discuss by telephone	Chuck Hagel	2014-03-21
Sergey Kuzhugetovich Shoygu	Discuss by telephone	Chuck Hagel	2014-04-29
Sergey Kuzhugetovich Shoygu	Discuss by telephone	Chuck Hagel	2014-01-05
Sergey Kuzhugetovich Shoygu	Discuss by telephone	Chuck Hagel	2014-04-30
Massoud Barzani	Discuss by telephone	Joseph Robinette Biden	2014-07-13
Massoud Barzani	Discuss by telephone	Joseph Robinette Biden	2014-02-02
Massoud Barzani	Discuss by telephone	Joseph Robinette Biden	2014-08-25
Massoud Barzani	Discuss by telephone	Joseph Robinette Biden	2014-01-12
Nuri al-Maliki	Discuss by telephone	Joseph Robinette Biden	2014-01-26
Nuri al-Maliki	Discuss by telephone	Joseph Robinette Biden	2014-01-28
Nuri al-Maliki	Discuss by telephone	Joseph Robinette Biden	2014-01-09
Nuri al-Maliki	Discuss by telephone	Joseph Robinette Biden	2014-01-08
Nuri al-Maliki	Discuss by telephone	Joseph Robinette Biden	2014-06-12
Nuri al-Maliki	Discuss by telephone	Joseph Robinette Biden	2014-01-07
Nuri al-Maliki	Discuss by telephone	Joseph Robinette Biden	2014-05-17
Barack Obama	Discuss by telephone	Haider Al-Abadi	2014-09-08
Barack Obama	Discuss by telephone	Haider Al-Abadi	2014-08-14
Barack Obama	Discuss by telephone	Haider Al-Abadi	2014-09-09
John Kerry	Discuss by telephone	Massoud Barzani	2014-07-02
John Kerry	Discuss by telephone	Massoud Barzani	2014-07-03
Media Personnel (Pakistan)	Discuss by telephone	Media (Pakistan)	2014-01-22
Mevlut Cavusoglu	Discuss by telephone	Mohammad Javad Zarif	2014-10-02
Fuad Masum	Discuss by telephone	Joseph Robinette Biden	2014-08-08
Head of Government (India)	Discuss by telephone	Barack Obama	2014-05-20
Head of Government (Ukraine)	Discuss by telephone	John Kerry	2014-12-05
Reuven Rivlin	Discuss by telephone	Benjamin Netanyahu	2014-05-29
Reuven Rivlin	Discuss by telephone	Benjamin Netanyahu	2014-05-28
Dmitry Anatolyevich Medvedev	Discuss by telephone	Alexander Stubb	2014-07-25
Dmitry Anatolyevich Medvedev	Discuss by telephone	Alexander Stubb	2014-07-24
Iran	Express intent to cooperate economically	China	2014-12-09
Iran	Express intent to cooperate economically	China	2014-10-29
Iran	Express intent to cooperate economically	China	2014-02-22
Iran	Express intent to cooperate economically	China	2014-11-30
Iran	Express intent to cooperate economically	China	2014-12-11
Sergey Viktorovich Lavrov	Express intent to cooperate economically	John Kerry	2014-07-27
Barack Obama	Express intent to cooperate economically	Xi Jinping	2014-03-10
Japan	Express intent to cooperate economically	China	2014-03-03
Iran	Express intent to cooperate economically	Iraq	2014-09-07
Iran	Express intent to cooperate economically	Iraq	2014-07-24
Iran	Express intent to cooperate economically	Iraq	2014-03-04
Iran	Express intent to cooperate economically	Iraq	2014-09-10
John Kerry	Express intent to cooperate economically	Sergey Viktorovich Lavrov	2014-07-27
Iran	Express intent to cooperate economically	Afghanistan	2014-07-30
China	Express intent to cooperate economically	South Korea	2014-03-03
China	Express intent to cooperate economically	South Korea	2014-11-09
South Korea	Express intent to cooperate economically	China	2014-11-15
South Korea	Express intent to cooperate economically	China	2014-03-03
South Korea	Express intent to cooperate economically	China	2014-11-09
France	Express intent to cooperate economically	China	2014-04-23
South Korea	Express intent to cooperate economically	Japan	2014-03-12
South Korea	Express intent to cooperate economically	Japan	2014-11-03
South Korea	Express intent to cooperate economically	Japan	2014-03-03
Iran	Express intent to cooperate economically	Oman	2014-09-02
China	Express intent to cooperate economically	France	2014-04-23
Armenia	Express intent to cooperate economically	Iran	2014-06-06
Japan	Express intent to cooperate economically	South Korea	2014-11-03
Japan	Express intent to cooperate economically	South Korea	2014-03-03
Haider Al-Abadi	Express intent to cooperate economically	Barack Obama	2014-09-08
Haider Al-Abadi	Express intent to cooperate economically	Barack Obama	2014-09-09
Armenia	Express intent to cooperate economically	Kazakhstan	2014-12-23
Barack Obama	Express intent to cooperate economically	Haider Al-Abadi	2014-09-08
Barack Obama	Express intent to cooperate economically	Haider Al-Abadi	2014-09-09
Iran	Express intent to change institutions, regime	Iraq	2014-08-06
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-07-07
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-09-13
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-04-11
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-08-31
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-10-04
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-07-16
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-08-19
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-10-27
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-10-20
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-06-09
Jack Straw	Ease economic sanctions, boycott, embargo	Iran	2014-01-09
Jack Straw	Ease economic sanctions, boycott, embargo	Iran	2014-01-13
Iran	Cooperate economically	China	2014-02-19
Iran	Cooperate economically	Iraq	2014-11-12
Iran	Cooperate economically	Iraq	2014-11-13
South Korea	Cooperate economically	China	2014-03-22
South Korea	Cooperate economically	Japan	2014-10-15
South Korea	Cooperate economically	Japan	2014-10-16
Canada	Cooperate economically	Japan	2014-07-28
Tajikistan	Cooperate economically	Kazakhstan	2014-11-01
China	Cooperate economically	France	2014-03-26
Sudan	Cooperate economically	Ethiopia	2014-08-26
Thailand	Cooperate economically	Cambodia	2014-10-31
Thailand	Cooperate economically	Cambodia	2014-12-15
Thailand	Cooperate economically	Cambodia	2014-12-12
Iran	Cooperate economically	Japan	2014-04-09
Cambodia	Cooperate economically	Thailand	2014-12-12
Cambodia	Cooperate economically	Thailand	2014-10-31
Cambodia	Cooperate economically	Thailand	2014-12-15
Thailand	Cooperate economically	Vietnam	2014-09-15
Thailand	Cooperate economically	Vietnam	2014-12-15
Iran	Cooperate economically	South Korea	2014-04-09
Iran	Cooperate economically	South Korea	2014-02-17
South Africa	Cooperate economically	China	2014-12-04
Iran	Cooperate economically	Tajikistan	2014-09-10
Ethiopia	Cooperate economically	Djibouti	2014-12-12
Iran	Demonstrate military or police power	Iraq	2014-06-15
Iran	Demonstrate military or police power	Iraq	2014-06-25
China	Demonstrate military or police power	Japan	2014-12-23
China	Demonstrate military or police power	Japan	2014-08-05
China	Demonstrate military or police power	Japan	2014-08-04
North Korea	Demonstrate military or police power	Japan	2014-07-26
North Korea	Demonstrate military or police power	South Korea	2014-02-27
Ministry (Iran)	Demonstrate military or police power	Iran	2014-11-22
Sergey Viktorovich Lavrov	Reject plan, agreement to settle dispute	John Kerry	2014-03-15
John Kerry	Reject plan, agreement to settle dispute	Sergey Viktorovich Lavrov	2014-03-15
Japan	Reject plan, agreement to settle dispute	North Korea	2014-09-21
Japan	Reject plan, agreement to settle dispute	North Korea	2014-09-20
Japan	Reject plan, agreement to settle dispute	North Korea	2014-05-28
Pakistan Tehreek-e-Insaf	Reject plan, agreement to settle dispute	Government (Pakistan)	2014-12-27
Ashraf Ghani Ahmadzai	Reject plan, agreement to settle dispute	Abdullah Abdullah	2014-07-26
North Korea	Reject plan, agreement to settle dispute	Japan	2014-05-28
China	Reject plan, agreement to settle dispute	Malaysia	2014-08-21
France	Reject plan, agreement to settle dispute	China	2014-09-25
North Korea	Reject plan, agreement to settle dispute	South Korea	2014-06-20
North Korea	Reject plan, agreement to settle dispute	South Korea	2014-10-29
North Korea	Reject plan, agreement to settle dispute	South Korea	2014-01-09
North Korea	Reject plan, agreement to settle dispute	South Korea	2014-03-06
North Korea	Reject plan, agreement to settle dispute	South Korea	2014-03-07
North Korea	Reject plan, agreement to settle dispute	South Korea	2014-01-21
China	Reject plan, agreement to settle dispute	France	2014-04-23
China	Reject plan, agreement to settle dispute	France	2014-09-25
Japan	Reject plan, agreement to settle dispute	South Korea	2014-10-09
Benjamin Netanyahu	Reject plan, agreement to settle dispute	Cabinet / Council of Ministers / Advisors (United States)	2014-07-25
Government (Pakistan)	Reject plan, agreement to settle dispute	Pakistan Tehreek-e-Insaf	2014-12-27
Senate (Argentina)	Reject plan, agreement to settle dispute	Sergio Massa	2014-03-10
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-07
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-01
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-04
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-30
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-04
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-10-27
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-31
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-11
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-30
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-17
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-22
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-29
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-16
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-05
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-25
South Korea	Express intent to cooperate on intelligence	Japan	2014-12-30
South Korea	Express intent to cooperate on intelligence	Japan	2014-12-29
South Korea	Express intent to cooperate on intelligence	Japan	2014-12-26
Japan	Express intent to cooperate on intelligence	South Korea	2014-12-29
Japan	Express intent to cooperate on intelligence	South Korea	2014-12-26
Japan	Express intent to cooperate on intelligence	South Korea	2014-12-30
Barack Obama	Express intent to settle dispute	Xi Jinping	2014-05-18
Barack Obama	Express intent to settle dispute	Xi Jinping	2014-01-23
Barack Obama	Express intent to settle dispute	Xi Jinping	2014-01-01
Barack Obama	Express intent to settle dispute	Xi Jinping	2014-09-09
Barack Obama	Express intent to settle dispute	Xi Jinping	2014-11-12
Japan	Express intent to settle dispute	China	2014-12-31
Japan	Express intent to settle dispute	China	2014-09-11
China	Express intent to settle dispute	Japan	2014-09-11
China	Express intent to settle dispute	Japan	2014-12-31
Xi Jinping	Express intent to settle dispute	Barack Obama	2014-09-09
Xi Jinping	Express intent to settle dispute	Barack Obama	2014-11-12
Xi Jinping	Express intent to settle dispute	Barack Obama	2014-01-23
Xi Jinping	Express intent to settle dispute	Barack Obama	2014-05-18
China	Express intent to settle dispute	South Korea	2014-07-07
China	Express intent to settle dispute	South Korea	2014-07-19
South Korea	Express intent to settle dispute	China	2014-09-11
South Korea	Express intent to settle dispute	China	2014-07-19
South Korea	Express intent to settle dispute	China	2014-07-07
France	Express intent to settle dispute	China	2014-02-27
South Korea	Express intent to settle dispute	Japan	2014-09-11
Vietnam	Express intent to settle dispute	China	2014-10-17
Vietnam	Express intent to settle dispute	China	2014-12-27
Vietnam	Express intent to settle dispute	China	2014-03-11
China	Express intent to settle dispute	Vietnam	2014-02-25
China	Express intent to settle dispute	Vietnam	2014-10-17
China	Express intent to settle dispute	France	2014-02-27
Japan	Express intent to settle dispute	South Korea	2014-09-11
Abdullah Abdullah	Halt negotiations	Ashraf Ghani Ahmadzai	2014-09-11
Japan	Halt negotiations	North Korea	2014-03-20
Catherine Ashton	Halt negotiations	Mohammad Javad Zarif	2014-05-14
Mohammad Javad Zarif	Halt negotiations	Catherine Ashton	2014-05-14
North Korea	Halt negotiations	South Korea	2014-09-08
Antonis Samaras	Halt negotiations	Evangelos Venizelos	2014-11-28
Mohammad Javad Zarif	Halt negotiations	John Kerry	2014-11-22
John Kerry	Halt negotiations	France	2014-11-21
John Kerry	Halt negotiations	France	2014-11-22
John Kerry	Halt negotiations	France	2014-11-23
Evangelos Venizelos	Halt negotiations	Antonis Samaras	2014-11-28
Ma Ying Jeou	Halt negotiations	Xi Jinping	2014-10-09
Ma Ying Jeou	Halt negotiations	Xi Jinping	2014-10-17
North Korea	Appeal for easing of economic sanctions, boycott, or embargo	South Korea	2014-06-26
North Korea	Threaten to halt negotiations	South Korea	2014-11-02
South Korea	Reject judicial cooperation	Japan	2014-07-18
John Kerry	Accede to demands for change in institutions, regime	Iraq	2014-06-25
China	Halt mediation	Vietnam	2014-12-08
North Korea	Investigate human rights abuses	Citizen (North Korea)	2014-08-15
Iran	Express intent to change institutions, regime	Iraq	2014-08-06
China	Veto	UN Security Council	2014-10-16
China	Veto	UN Security Council	2014-06-21
China	Veto	UN Security Council	2014-05-14
China	Veto	UN Security Council	2014-05-24
China	Veto	UN Security Council	2014-01-21
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-07-07
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-09-13
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-04-11
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-08-31
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-10-04
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-07-16
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-08-19
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-10-27
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-10-20
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-06-09
Thailand	Express intent to cooperate militarily	China	2014-11-02
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-06-19
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-06-05
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-05-28
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-11-22
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-09-24
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-06-26
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-09-12
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-05-29
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-02-26
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-01-03
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-07-12
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-02-25
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-05-31
Barack Obama	Express intent to de-escalate military engagement	Iraq	2014-09-12
John Kerry	Appeal to others to settle dispute	China	2014-08-10
John Kerry	Appeal to others to settle dispute	Iran	2014-11-12
Barack Obama	Appeal to others to settle dispute	China	2014-06-20
Barack Obama	Appeal to others to settle dispute	China	2014-04-25
China	Appeal to others to settle dispute	South Sudan	2014-01-06
China	Appeal to others to settle dispute	South Sudan	2014-01-08
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-07
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-01
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-04
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-30
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-04
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-10-27
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-31
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-11
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-30
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-17
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-22
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-29
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-16
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-05
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-25
China	Express intent to settle dispute	Afghanistan	2014-10-28
China	Express intent to settle dispute	Afghanistan	2014-12-29
China	Express intent to settle dispute	Afghanistan	2014-12-28
Citizen (Nigeria)	Appeal to yield	Member of the Judiciary (Nigeria)	2014-12-07
Citizen (Nigeria)	Appeal to yield	Government (Nigeria)	2014-11-29
John Kerry	Reject military cooperation	Iran	2014-09-16
John Kerry	Reject military cooperation	Iran	2014-09-15
Iran	Reduce or stop military assistance	Iraq	2014-07-09
Iran	Reduce or stop military assistance	Iraq	2014-07-06
China	Reduce or stop military assistance	South Sudan	2014-07-18
Barack Obama	Accede to demands for change in policy	Iraq	2014-11-23
Iran	Appeal for target to allow international involvement (non-mediation)	Government (Syria)	2014-01-06
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-18
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-01-31
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-06
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-11-24
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-04-17
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-12-18
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-01-13
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-07
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-04-01
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-12-16
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-04-02
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-01-16
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-10-14
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-13
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-10-15
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-15
