head	relation_x	tail	time_x
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-08-29
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-08-25
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-05-16
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-04-14
Government (Kenya)	Accede to demands for rights	Citizen (Kenya)	2014-11-17
Iran	Express intent to change institutions, regime	Iraq	2014-08-06
South Korea	Reject judicial cooperation	Japan	2014-07-18
Iran	Express intent to change institutions, regime	Iraq	2014-08-06
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-06-05
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-05-28
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-05-29
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-02-26
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-01-03
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-02-25
Barack Obama	Express intent to de-escalate military engagement	Afghanistan	2014-05-31
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-07
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-01
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-04
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-30
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-04
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-10-27
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-31
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-11
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-30
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-17
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-22
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-29
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-16
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-05
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-25
Mohammad Javad Zarif	Ease economic sanctions, boycott, embargo	Iran	2014-03-18
Mohammad Javad Zarif	Ease economic sanctions, boycott, embargo	Iran	2014-03-02
Mohammad Javad Zarif	Ease economic sanctions, boycott, embargo	Iran	2014-03-03
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-07-07
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-09-13
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-04-11
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-08-31
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-10-04
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-07-16
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-08-19
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-10-27
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-10-20
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-06-09
John Kerry	Accede to demands for change in institutions, regime	Iraq	2014-06-25
Cabinet / Council of Ministers / Advisors (United States)	Accede to demands for change in institutions, regime	Iraq	2014-06-27
Iran	Express intent to change institutions, regime	Iraq	2014-08-06
North Korea	Appeal for easing of economic sanctions, boycott, or embargo	South Korea	2014-06-26
China	Express intent to settle dispute	Japan	2014-09-11
China	Express intent to settle dispute	South Korea	2014-07-07
China	Express intent to settle dispute	South Korea	2014-07-19
South Korea	Express intent to settle dispute	China	2014-09-11
South Korea	Express intent to settle dispute	China	2014-07-19
South Korea	Express intent to settle dispute	China	2014-07-07
South Korea	Express intent to settle dispute	Japan	2014-09-11
Vietnam	Express intent to settle dispute	China	2014-10-17
Vietnam	Express intent to settle dispute	China	2014-03-11
China	Express intent to settle dispute	Vietnam	2014-02-25
China	Express intent to settle dispute	Vietnam	2014-10-17
Japan	Express intent to settle dispute	South Korea	2014-09-11
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-30
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-31
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-29
Colombia	Express intent to cooperate on intelligence	Mexico	2014-02-09
Iran	Express intent to change institutions, regime	Iraq	2014-08-06
North Korea	Appeal for easing of economic sanctions, boycott, or embargo	South Korea	2014-06-26
South Korea	Reject judicial cooperation	Japan	2014-07-18
Mohammad Javad Zarif	Ease economic sanctions, boycott, embargo	Iran	2014-03-18
Mohammad Javad Zarif	Ease economic sanctions, boycott, embargo	Iran	2014-03-02
Mohammad Javad Zarif	Ease economic sanctions, boycott, embargo	Iran	2014-03-03
North Korea	Reject military cooperation	South Korea	2014-02-16
Citizen (Kenya)	Demand policy change	Government (Kenya)	2014-06-18
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-07
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-01
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-04
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-30
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-04
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-31
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-11
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-30
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-17
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-22
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-29
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-16
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-05
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-25
Iran	Express intent to change institutions, regime	Iraq	2014-08-06
Bahrain	Accede to demands for change in policy	Qatar	2014-03-08
Protester (Thailand)	Obstruct passage, block	Thailand	2014-04-01
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-27
Protester (Thailand)	Obstruct passage, block	Thailand	2014-02-06
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-14
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-20
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-21
Protester (Thailand)	Obstruct passage, block	Thailand	2014-02-26
Protester (Thailand)	Obstruct passage, block	Thailand	2014-02-14
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-31
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-01
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-22
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-13
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-08
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-02
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-12
Protester (Thailand)	Obstruct passage, block	Thailand	2014-02-03
Protester (Thailand)	Obstruct passage, block	Thailand	2014-03-22
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-15
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-28
Protester (Thailand)	Obstruct passage, block	Thailand	2014-03-05
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-16
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-30
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-18
Citizen (Tanzania)	Obstruct passage, block	Tanzania	2014-06-26
Protester (Ukraine)	Obstruct passage, block	City Mayor (Ukraine)	2014-02-15
Protester (Thailand)	Protest violently, riot	Thailand	2014-01-28
Protester (Thailand)	Protest violently, riot	Thailand	2014-02-18
Protester (Thailand)	Protest violently, riot	Thailand	2014-01-29
Protester (Thailand)	Protest violently, riot	Thailand	2014-01-13
Protester (Thailand)	Protest violently, riot	Thailand	2014-02-26
Protester (Thailand)	Protest violently, riot	Thailand	2014-01-18
Protester (Thailand)	Protest violently, riot	Thailand	2014-02-05
Protester (Thailand)	Protest violently, riot	Thailand	2014-02-19
Protester (Thailand)	Protest violently, riot	Thailand	2014-01-22
Protester (Thailand)	Protest violently, riot	Thailand	2014-02-07
Protester (Thailand)	Protest violently, riot	Thailand	2014-02-04
Protester (Thailand)	Protest violently, riot	Thailand	2014-02-20
Protester (Thailand)	Protest violently, riot	Thailand	2014-02-03
Protester (Thailand)	Protest violently, riot	Thailand	2014-01-26
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-01-10
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-04-03
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-09-30
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-02-22
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-08-15
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-04-26
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-03-07
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-01-03
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-04-14
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-08-14
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-04-19
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-02-07
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-07-04
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-01-29
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-03-23
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-12-01
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-03-30
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-03-19
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-01-14
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-11-28
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-11-30
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-07-03
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-08-08
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-03-31
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-05-23
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-09-22
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-02-14
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-04-16
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-03-26
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-01-25
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-09-16
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-03-08
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-03-24
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-01-17
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-03-05
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-11-29
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-01-04
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-01-05
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-08-13
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-01-26
Protester (Bosnia and Herzegovina)	Protest violently, riot	Police (Bosnia and Herzegovina)	2014-02-05
Protester (Bosnia and Herzegovina)	Protest violently, riot	Police (Bosnia and Herzegovina)	2014-02-06
Protester (Bosnia and Herzegovina)	Protest violently, riot	Police (Bosnia and Herzegovina)	2014-02-07
Citizen (India)	Protest violently, riot	Military Personnel (India)	2014-04-20
Protester (Pakistan)	Protest violently, riot	Government (Pakistan)	2014-01-29
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-04-02
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-09-29
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-10-20
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-10-16
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-09-30
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-10-05
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-06-14
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-10-21
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-10-19
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-06-17
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-10-04
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-10-03
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-10-17
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-09-28
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-10-15
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-09-27
Protester (Egypt)	Protest violently, riot	Abdel Fattah Al-Sisi	2014-03-29
Protester (Macedonia)	Protest violently, riot	Police (Macedonia)	2014-07-04
Protester (Thailand)	Reduce or stop humanitarian assistance	Thailand	2014-01-22
Protester (Thailand)	Reduce or stop humanitarian assistance	Thailand	2014-01-08
Protester (Thailand)	Threaten to reduce or stop aid	Thailand	2014-01-07
Protester (Thailand)	Threaten to reduce or stop aid	Thailand	2014-01-04
Protester (Thailand)	Ease military blockade	Thailand	2014-02-05
Protester (Thailand)	Ease military blockade	Thailand	2014-02-04
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-07
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-01
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-04
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-30
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-04
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-10-27
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-31
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-11
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-30
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-17
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-22
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-29
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-16
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-05
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-25
Militant (Iraq)	Carry out car bombing	Iraq	2014-05-08
Militant (Iraq)	Carry out suicide bombing	Iraq	2014-05-22
Militant (Iraq)	Carry out suicide bombing	Iraq	2014-07-08
Militant (Iraq)	Carry out suicide bombing	Iraq	2014-10-29
Militant (Iraq)	Carry out suicide bombing	Iraq	2014-05-23
Militant (Iraq)	Carry out suicide bombing	Iraq	2014-03-09
Armed Gang (Afghanistan)	Carry out suicide bombing	Military Personnel - Special (Afghanistan)	2014-03-26
Armed Gang (Afghanistan)	Carry out suicide bombing	Afghanistan	2014-03-19
Armed Gang (Afghanistan)	Carry out suicide bombing	Afghanistan	2014-04-11
Armed Gang (Afghanistan)	Carry out suicide bombing	Afghanistan	2014-08-30
Armed Gang (Afghanistan)	Carry out suicide bombing	Afghanistan	2014-03-31
Armed Gang (Afghanistan)	Carry out suicide bombing	Afghanistan	2014-01-18
Armed Gang (Afghanistan)	Carry out suicide bombing	Afghanistan	2014-03-18
Armed Gang (Afghanistan)	Carry out suicide bombing	Afghanistan	2014-01-17
Armed Gang (Afghanistan)	Carry out suicide bombing	Afghanistan	2014-03-29
Armed Gang (Afghanistan)	Carry out suicide bombing	Afghanistan	2014-06-02
Armed Gang (Afghanistan)	Carry out suicide bombing	Afghanistan	2014-03-12
Armed Gang (Afghanistan)	Carry out suicide bombing	Afghanistan	2014-01-12
Armed Gang (Afghanistan)	Carry out suicide bombing	Afghanistan	2014-05-05
Armed Gang (Egypt)	Carry out suicide bombing	Police (Egypt)	2014-05-06
Armed Gang (Egypt)	Carry out suicide bombing	Police (Egypt)	2014-05-03
Armed Gang (Egypt)	Carry out suicide bombing	Police (Egypt)	2014-05-02
Armed Gang (Lebanon)	Carry out suicide bombing	Military (Lebanon)	2014-02-23
Armed Gang (Lebanon)	Carry out suicide bombing	Military (Lebanon)	2014-06-22
Armed Gang (Lebanon)	Carry out suicide bombing	Military (Lebanon)	2014-03-29
Armed Gang (Lebanon)	Carry out suicide bombing	Military (Lebanon)	2014-03-30
Armed Gang (Lebanon)	Carry out suicide bombing	Military (Lebanon)	2014-02-22
Militant (Yemen)	Carry out suicide bombing	Citizen (Yemen)	2014-06-26
Attacker (Afghanistan)	Carry out suicide bombing	Afghanistan	2014-11-09
Attacker (Afghanistan)	Carry out suicide bombing	Afghanistan	2014-07-08
Attacker (Afghanistan)	Carry out suicide bombing	Afghanistan	2014-10-11
Attacker (Afghanistan)	Carry out suicide bombing	Afghanistan	2014-01-18
Attacker (Afghanistan)	Carry out suicide bombing	Afghanistan	2014-06-02
Attacker (Afghanistan)	Carry out suicide bombing	National Directorate of Security	2014-03-12
Citizen (Kenya)	Demand judicial cooperation	Police (Kenya)	2014-06-17
Militant (Iraq)	Carry out car bombing	Iraq	2014-05-08
Militant (Taliban)	Carry out roadside bombing	Afghanistan	2014-05-10
Militant (Yemen)	Use as human shield	Citizen (Yemen)	2014-05-09
Boko Haram	Express intent to release persons or property	Citizen (Nigeria)	2014-05-20
Boko Haram	Express intent to release persons or property	Citizen (Nigeria)	2014-05-12
Government (Nigeria)	Express intent to release persons or property	Citizen (Nigeria)	2014-02-05
Government (Nigeria)	Express intent to release persons or property	Citizen (Nigeria)	2014-05-05
United Arab Emirates	Express intent to release persons or property	Qatar	2014-11-18
United Arab Emirates	Express intent to release persons or property	Qatar	2014-11-19
United Arab Emirates	Express intent to release persons or property	Qatar	2014-11-17
Member of the Judiciary (Nigeria)	Express intent to release persons or property	Citizen (Nigeria)	2014-01-24
Court Judge (India)	Express intent to release persons or property	Citizen (India)	2014-06-21
Court Judge (India)	Express intent to release persons or property	Citizen (India)	2014-03-22
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-05-16
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-04-14
North Korea	Appeal for easing of economic sanctions, boycott, or embargo	South Korea	2014-06-26
Lawyer/Attorney (Kenya)	Ease administrative sanctions	Citizen (Kenya)	2014-03-24
Government (Nigeria)	Ease administrative sanctions	Citizen (Nigeria)	2014-01-10
Court Judge (Namibia)	Ease administrative sanctions	Citizen (Namibia)	2014-02-27
Lawyer/Attorney (South Korea)	Ease administrative sanctions	Citizen (South Korea)	2014-04-15
Court Judge (Nigeria)	Ease administrative sanctions	Citizen (Nigeria)	2014-09-30
Court Judge (Nigeria)	Ease administrative sanctions	Citizen (Nigeria)	2014-01-22
Court Judge (Nigeria)	Ease administrative sanctions	Citizen (Nigeria)	2014-07-01
Court Judge (Nigeria)	Ease administrative sanctions	Citizen (Nigeria)	2014-05-09
Court Judge (Nigeria)	Ease administrative sanctions	Citizen (Nigeria)	2014-05-20
Court Judge (Nigeria)	Ease administrative sanctions	Citizen (Nigeria)	2014-07-17
Court Judge (Nigeria)	Ease administrative sanctions	Citizen (Nigeria)	2014-11-06
Member of the Judiciary (Nigeria)	Ease administrative sanctions	Citizen (Nigeria)	2014-09-29
Member of the Judiciary (South Africa)	Ease administrative sanctions	Men (South Africa)	2014-08-02
Member of the Judiciary (South Africa)	Ease administrative sanctions	Men (South Africa)	2014-10-28
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-10-18
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-06-13
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-01-01
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-03-21
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-09-24
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-02-27
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-11-30
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-04-22
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-07-17
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-02-28
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-06-19
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-01-07
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-11-01
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-09-25
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-05-06
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-05-11
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-01-02
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-05-15
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-11-20
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-07-08
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-05-01
Court Judge (India)	Ease administrative sanctions	Citizen (India)	2014-09-10
Northern Ireland	Ease administrative sanctions	Men (United Kingdom)	2014-07-01
Sudan	Ease administrative sanctions	Citizen (Sudan)	2014-03-14
Lawyer/Attorney (Australia)	Ease administrative sanctions	Citizen (Australia)	2014-05-12
Lawyer/Attorney (Australia)	Ease administrative sanctions	Citizen (Australia)	2014-03-15
Lawyer/Attorney (Australia)	Ease administrative sanctions	Citizen (Australia)	2014-10-03
Special Court (Pakistan)	Ease administrative sanctions	Pervez Musharraf	2014-10-31
Philippines	Ease administrative sanctions	Criminal (Philippines)	2014-06-15
South Korea	Ease administrative sanctions	Defector (North Korea)	2014-09-05
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-08-29
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-08-25
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-05-16
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-04-14
Protester (Ukraine)	Obstruct passage, block	Police (Ukraine)	2014-02-18
Protester (Ukraine)	Obstruct passage, block	Police (Ukraine)	2014-04-14
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-27
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-14
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-20
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-21
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-31
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-01
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-22
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-13
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-08
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-02
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-12
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-15
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-28
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-16
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-30
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-18
Iran	Reduce or stop military assistance	Iraq	2014-07-09
Iran	Reduce or stop military assistance	Iraq	2014-07-06
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-08-29
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-08-25
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-05-16
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-04-14
Iran	Express intent to change institutions, regime	Iraq	2014-08-06
Police (Canada)	Impose blockade, restrict movement	Canada	2014-05-07
Other Authorities / Officials (China)	Increase police alert status	China	2014-03-01
Other Authorities / Officials (China)	Increase police alert status	China	2014-02-26
Police (Canada)	Increase police alert status	Canada	2014-10-23
Police (South Africa)	Increase police alert status	South Africa	2014-01-17
Police (Philippines)	Increase police alert status	Philippines	2014-04-25
Police (Philippines)	Increase police alert status	Philippines	2014-06-01
Police (Ukraine)	Engage in mass expulsion	Protester (Ukraine)	2014-02-02
China	Express intent to provide military protection or peacekeeping	South Sudan	2014-08-26
China	Express intent to provide military protection or peacekeeping	South Sudan	2014-05-29
Protester (Thailand)	Reduce or stop humanitarian assistance	Thailand	2014-01-22
Protester (Thailand)	Reduce or stop humanitarian assistance	Thailand	2014-01-08
Protester (Thailand)	Threaten to reduce or stop aid	Thailand	2014-01-07
Protester (Thailand)	Threaten to reduce or stop aid	Thailand	2014-01-04
Protester (Thailand)	Ease military blockade	Thailand	2014-02-05
Protester (Thailand)	Ease military blockade	Thailand	2014-02-04
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-04-14
Militant (Iraq)	Carry out car bombing	Iraq	2014-05-08
Protester (Thailand)	Reduce or stop humanitarian assistance	Thailand	2014-01-22
Protester (Thailand)	Reduce or stop humanitarian assistance	Thailand	2014-01-08
Protester (Thailand)	Threaten to reduce or stop aid	Thailand	2014-01-07
Protester (Thailand)	Threaten to reduce or stop aid	Thailand	2014-01-04
Protester (Hong Kong)	Engage in violent protest for rights	Police (Hong Kong)	2014-12-09
Police (South Africa)	Increase police alert status	South Africa	2014-03-06
Police (South Africa)	Increase police alert status	South Africa	2014-01-30
Police (South Africa)	Increase police alert status	South Africa	2014-05-30
Police (South Africa)	Increase police alert status	South Africa	2014-04-24
Police (South Africa)	Increase police alert status	South Africa	2014-01-17
Police (South Africa)	Increase police alert status	South Africa	2014-06-11
Militant (Iraq)	Carry out car bombing	Iraq	2014-05-08
