,head,relation,tail,time
16499,Police (Uganda),Use tactics of violent repression,Citizen (Uganda),2011-03-22
16500,Police (Philippines),"Arrest, detain, or charge with legal action",Men (Philippines),2014-12-20
16501,Mahmoud Abbas,Meet at a 'third' location,Cabinet / Council of Ministers / Advisors (United States),2014-02-21
16502,Police (Australia),"Arrest, detain, or charge with legal action",Women (Australia),2008-06-26
16503,Tony Blair,Make an appeal or request,Iraq,2007-05-19
16504,Japan,"Arrest, detain, or charge with legal action",Men (Japan),2009-06-19
16505,Lawyer/Attorney (Argentina),Accuse,Carlos Saul Menem,2008-05-22
16506,Secretariat (Nigeria),Make statement,Government (Nigeria),2014-04-07
16507,Barack Obama,Consult,Nuri al-Maliki,2008-12-04
16508,Japan,Make statement,Thailand,2005-03-15
16509,Cambodia,Express intent to meet or negotiate,Malaysia,2007-04-25
16510,Benjamin Netanyahu,Consult,Mahmoud Abbas,2010-07-19
16511,Okada Katsuya,Criticize or denounce,China,2010-09-25
16512,Wen Jiabao,Make statement,China,2007-09-06
16513,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2015-08-14
16514,Government (Ecuador),Make statement,Rafael Correa,2007-02-28
16515,Middle East,Host a visit,Chuck Hagel,2013-12-20
16516,China,Express intent to meet or negotiate,France,2006-09-18
16517,Government (Nigeria),Make statement,Head of Government (Nigeria),2012-10-10
16518,Mahmoud Ahmadinejad,Express intent to meet or negotiate,Iran,2006-01-13
16519,Human Rights Watch,Make statement,Thailand,2008-07-20
16520,Ministry (Sudan),Praise or endorse,Citizen (Sudan),2012-04-27
16521,France,Express intent to cooperate,China,2009-04-01
16522,Campbell Newman,Make an appeal or request,Citizen (Australia),2011-01-20
16523,Barack Obama,Consult,Head of Government (Germany),2009-06-05
16524,Police (Australia),Accuse,Citizen (Australia),2009-02-16
16525,France,Make statement,Government (France),2015-11-14
16526,South Korea,Sign formal agreement,Japan,2005-10-10
16527,Citizen (Nigeria),Criticize or denounce,Muhammadu Buhari,2015-11-03
16528,UN Security Council,Criticize or denounce,Iran,2007-01-22
16529,Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),2012-09-12
16530,Oman,Host a visit,China,2010-10-29
16531,Fernando Gabeira,Make pessimistic comment,Citizen (Brazil),2008-03-21
16532,Association of Southeast Asian Nations,Engage in diplomatic cooperation,China,2009-11-18
16533,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2008-07-01
16534,South Korea,Engage in negotiation,Japan,2007-08-24
16535,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2012-10-02
16536,Thailand,Praise or endorse,Cambodia,2011-03-11
16537,Police (Hong Kong),"Arrest, detain, or charge with legal action",Women (Hong Kong),2015-02-25
16538,Evo Morales,Praise or endorse,Daniel Ortega,2007-01-10
16539,Police (Australia),Investigate,Citizen (Australia),2013-04-24
16540,Citizen (Nigeria),Criticize or denounce,Boko Haram,2012-04-24
16541,Foreign Affairs (Syria),Make a visit,Iran,2015-11-03
16542,Police (Malaysia),"Arrest, detain, or charge with legal action",Men (Malaysia),2011-08-25
16543,African Union,Consult,Oluṣẹgun Ọbasanjọ,2005-01-08
16544,Lawyer/Attorney (Germany),Investigate,Business (Germany),2009-05-11
16545,Angela Merkel,Make an appeal or request,France,2014-12-14
16546,Media Personnel (International),Consult,Benjamin Netanyahu,2011-01-12
16547,Business (Iran),Engage in negotiation,Ministry (Iran),2015-08-06
16548,Foreign Affairs (South Korea),Make statement,South Korea,2006-09-26
16549,Angela Merkel,Make statement,Government (Germany),2015-10-11
16550,Tony Blair,Make a visit,Nuri al-Maliki,2007-05-19
16551,Simos Kedikoglou,Criticize or denounce,Alexis Tsipras,2014-04-08
16552,Citizen (International),Make an appeal or request,China,2012-07-16
16553,Vietnam,Make a visit,Laos,2007-04-23
16554,Mahmoud Ahmadinejad,Make statement,Iran,2006-01-17
16555,Japan,Express intent to provide economic aid,China,2005-03-03
16556,Ma Ying Jeou,Make statement,Party Member (Taiwan),2008-01-01
16557,Micky Rosenfeld,Make statement,Police (Israel),2015-05-20
16558,Murtala Nyako,Make statement,Other Authorities / Officials (Nigeria),2014-02-28
16559,Police (Australia),Investigate,Citizen (Australia),2008-03-21
16560,Jian Yu,Make statement,China,2010-12-07
16561,Citizen (Nigeria),"Conduct suicide, car, or other non-military bombing",Government (Nigeria),2011-11-05
16562,High Commission for Refugees,Express intent to meet or negotiate,Japan,2008-12-15
16563,Foreign Affairs (Syria),Praise or endorse,Iran,2015-10-20
16564,Lawyer/Attorney (Sweden),Make an appeal or request,Julian Paul Assange,2010-08-22
16565,Citizen (Bangladesh),Make an appeal or request,Indigenous People (Bangladesh),2005-04-16
16566,Citizen (Belgium),Threaten,Police (Belgium),2009-03-14
16567,Ethiopia,Consult,Sudan,2013-09-03
16568,Police (Australia),"Investigate crime, corruption",Member of Parliament (Australia),2011-09-08
16569,Cambodia,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2008-08-20
16570,Kim Kye Gwan,Meet at a 'third' location,Joon Young Woo,2006-11-30
16571,Mahmoud Abbas,Consult,Envoy (United States),2011-11-14
16572,Citizen (Nigeria),Accuse,Royal Administration (Nigeria),2008-03-18
16573,Envoy (United States),Demand,Iran,2007-05-28
16574,Public Courts (Sierra Leone),"Arrest, detain, or charge with legal action",Charles Taylor,2005-05-03
16575,Tanzania,Ease administrative sanctions,Citizen (Tanzania),2015-07-24
16576,Insurgent (Thailand),Use unconventional violence,Citizen (Thailand),2010-01-29
16577,UN Security Council,Consult,African Union,2005-05-27
16578,China,Engage in diplomatic cooperation,Togo,2006-02-15
16579,Military (Mexico),Use conventional military force,Organized Crime (Mexico),2010-06-08
16580,Lawyer/Attorney (Egypt),"Return, release person(s)",Police (Egypt),2009-05-28
16581,Abhisit Vejjajiva,Make a visit,Cambodia,2009-06-30
16582,Citizen (Sudan),Demonstrate or rally,High Commission for Refugees,2005-12-30
16583,Military (Philippines),Make statement,Abu Solaiman,2007-01-20
16584,Protester (Egypt),"Protest violently, riot",Police (Egypt),2011-08-13
16585,Economic Cooperation Organization,Praise or endorse,Iran,2011-04-19
16586,Police (Hong Kong),"Arrest, detain, or charge with legal action",Women (Hong Kong),2014-03-13
16587,Thailand,Express intent to settle dispute,China,2009-12-07
16588,Lawyer/Attorney (Bolivia),"Investigate crime, corruption",Bolivia,2015-12-05
16589,Citizen (Australia),Use unconventional violence,Member of Parliament (Australia),2008-07-02
16590,Protester (Thailand),Make an appeal or request,Citizen (Thailand),2008-09-01
16591,Anand Panyarachun,Express intent to engage in diplomatic cooperation (such as policy support),Citizen (Thailand),2010-06-18
16592,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Nuri al-Maliki,2009-04-09
16593,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Kazakhstan,2013-09-24
16594,Citizen (Thailand),fight with small arms and light weapons,Insurgent (Thailand),2005-10-28
16595,Sudan,Engage in diplomatic cooperation,South Sudan,2013-06-20
16596,Wen Jiabao,Express intent to meet or negotiate,Barack Obama,2010-09-14
16597,Member of Parliament (Australia),Threaten,Citizen (Australia),2008-06-23
16598,Kuwait,Demand,Iran,2012-04-03
16599,Barack Obama,Engage in negotiation,Xi Jinping,2013-07-01
16600,Citizen (Nigeria),Express intent to engage in diplomatic cooperation (such as policy support),Government (Nigeria),2009-08-08
16601,Japan,Express intent to cooperate,China,2014-11-27
16602,Joon Young Woo,Consult,Kim Kye Gwan,2007-01-23
16603,Iraq,Make statement,Iran,2010-04-04
16604,Head of Government (India),"Reject proposal to meet, discuss, or negotiate",Military Personnel (India),2008-11-06
16605,Legislature (Pakistan),Praise or endorse,Pervez Musharraf,2005-05-25
16606,Laos,Make a visit,Thailand,2009-02-21
16607,Japan,Consult,Kazakhstan,2006-06-05
16608,Mahmoud Abbas,Consult,Shimon Peres,2014-05-09
16609,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2011-08-27
16610,France,Sign formal agreement,Barack Obama,2015-01-08
16611,Henry M. Paulson,Express intent to meet or negotiate,China,2006-08-24
16612,Other Authorities / Officials (Mexico),Make statement,Criminal (Mexico),2015-12-26
16613,Police (Sudan),"Arrest, detain, or charge with legal action",Citizen (Sudan),2006-08-09
16614,Iran,Engage in diplomatic cooperation,Kuwait,2014-05-20
16615,Head of Government (Qatar),Consult,Qatar,2012-03-13
16616,Lawyer/Attorney (Australia),Make statement,Medical Personnel (Australia),2010-05-03
16617,France,Praise or endorse,Iraq,2015-05-19
16618,Sudan,Consult,Ethiopia,2005-12-29
16619,Iran,Accuse,Citizen (United Kingdom),2008-03-25
16620,Donald Rumsfeld,Express intent to meet or negotiate,China,2005-09-12
16621,Okada Katsuya,Make an appeal or request,China,2010-09-01
16622,Shimon Peres,Make an appeal or request,Benjamin Netanyahu,2009-04-02
16623,Kuwait,Express intent to meet or negotiate,Iran,2005-10-04
16624,Tanzania,"Arrest, detain, or charge with legal action",Citizen (Tanzania),2013-08-16
16625,Thailand,Sign formal agreement,China,2005-09-22
16626,Iran,Make statement,UN Security Council,2006-09-05
16627,Sergey Vladilenovich Kiriyenko,Express intent to meet or negotiate,Iran,2006-02-15
16628,South Korea,Host a visit,Lawmaker (Japan),2011-07-26
16629,Ministry (Brazil),"Arrest, detain, or charge with legal action",Citizen (Brazil),2012-08-29
16630,Party Member (Brazil),Criticize or denounce,Citizen (Brazil),2012-07-08
16631,Mahmoud Abbas,Consult,Head of Government (Egypt),2014-10-13
16632,Government (Nigeria),Provide humanitarian aid,Citizen (Nigeria),2012-06-18
16633,Abdullah Gül,Express intent to meet or negotiate,Tzipi Livni,2006-03-09
16634,Foreign Affairs (Israel),Make statement,Iran,2007-12-05
16635,Police (Bulgaria),Investigate,Citizen (Bulgaria),2006-02-06
16636,Party Member (Iraq),Consult,Nuri al-Maliki,2008-10-13
16637,Separatist (India),Use conventional military force,Central Reserve Police Force,2008-08-07
16638,Media Personnel (Australia),Make statement,Police (Australia),2005-07-12
16639,Abhisit Vejjajiva,Criticize or denounce,Cambodia,2011-12-26
16640,Thailand,Host a visit,Representatives (Malaysia),2009-01-22
16641,Lawyer/Attorney (South Korea),Make statement,Labor Union (South Korea),2005-01-25
16642,Police (Israel),"Arrest, detain, or charge with legal action",Children (Israel),2009-09-13
16643,Niger,Host a visit,Togo,2011-02-25
16644,Police (Australia),Investigate,Citizen (Australia),2007-07-13
16645,Iran,"Arrest, detain, or charge with legal action",El País,2010-10-11
16646,Umaru Musa Yar'Adua,"Arrest, detain, or charge with legal action",Citizen (Nigeria),2008-06-21
16647,South Korea,Engage in negotiation,Association of Southeast Asian Nations,2010-12-30
16648,Wen Jiabao,Express intent to meet or negotiate,Angela Merkel,2009-01-28
16649,Police (South Korea),Mobilize or increase police power,South Korea,2013-05-30
16650,UN Security Council,Consult,Barack Obama,2014-08-28
16651,Yoon Jeung Hyun,Make statement,South Korea,2009-08-31
16652,Barack Obama,Make statement,Middle East,2012-09-13
16653,South Korea,Criticize or denounce,Japan,2006-08-28
16654,Citizen (Greece),Deny responsibility,Panhellenic Socialist Movement,2006-09-04
16655,Police (Indonesia),"Arrest, detain, or charge with legal action",Women (Indonesia),2012-01-24
16656,Japan,Express intent to cooperate economically,Mexico,2005-04-01
16657,Dmitry Anatolyevich Medvedev,Sign formal agreement,Abdullah Gül,2009-02-14
16658,UN Security Council,Meet at a 'third' location,Japan,2006-10-10
16659,Court Judge (United Kingdom),"Arrest, detain, or charge with legal action",Citizen (United Kingdom),2015-11-11
16660,Ram Gopal Yadav,Make statement,Amit Shah,2015-09-03
16661,Media Personnel (Uganda),Make statement,Daily Monitor,2011-03-14
16662,Citizen (Australia),Make an appeal or request,Police (Australia),2009-06-11
16663,South Korea,Express intent to cooperate,China,2014-01-21
16664,Malaysia,Express intent to provide economic aid,Thailand,2005-01-07
16665,Vietnam,Express intent to meet or negotiate,Laos,2007-04-25
16666,Antonis Samaras,Express intent to meet or negotiate,Alexis Tsipras,2012-06-18
16667,Colombia,Consult,Mexico,2005-12-14
16668,Armed Gang (Thailand),fight with small arms and light weapons,Villager (Thailand),2009-09-28
16669,Barack Obama,Host a visit,Xi Jinping,2015-10-09
16670,Japan,Make pessimistic comment,China,2005-02-02
16671,UN Security Council,"Impose embargo, boycott, or sanctions",Eritrea,2009-05-28
16672,Raúl Castro,Consult,Cristina Fernández de Kirchner,2015-09-20
16673,Cabinet / Council of Ministers / Advisors (United States),Engage in negotiation,Mahmoud Abbas,2013-06-27
16674,Bukola Saraki,Criticize or denounce,Citizen (Nigeria),2015-09-08
16675,Valdas Adamkus,Express intent to meet or negotiate,Representatives (Lithuania),2005-10-06
16676,Pervez Musharraf,Make statement,Government (Pakistan),2008-02-17
16677,Media Personnel (Australia),Make statement,Mike Rann,2009-06-24
16678,Japan,Consult,France,2006-07-14
16679,China,Express intent to engage in diplomatic cooperation (such as policy support),Vietnam,2009-07-13
16680,Rapid Action Battalion,"Arrest, detain, or charge with legal action",Citizen (Bangladesh),2007-11-10
16681,Media Personnel (Somalia),Make statement,African Union,2007-01-17
16682,China,Express intent to meet or negotiate,Shaukat Aziz,2006-11-22
16683,Tony Blair,Retreat or surrender militarily,Iraq,2005-09-25
16684,Citizen (Brazil),Criticize or denounce,Congress (Brazil),2008-04-10
16685,Military (Russia),Mobilize or increase armed forces,Republic of South Ossetia,2015-07-18
16686,Boko Haram,Use conventional military force,Citizen (Nigeria),2015-06-29
16687,Head of Government (India),Make an appeal or request,Governor (India),2005-06-15
16688,Head of Government (India),Consult,Barack Obama,2015-02-20
16689,Thailand,"Arrest, detain, or charge with legal action",Children (Thailand),2007-11-23
16690,Ministry (Tanzania),Make statement,Tanzania,2012-08-11
16691,Criminal (China),Threaten with military force,China,2015-07-20
16692,Media Personnel (New Zealand),Make statement,Police (New Zealand),2007-04-29
16693,Government (Pakistan),Investigate,Pervez Musharraf,2007-08-05
16694,Bertie Ahern,Express intent to meet or negotiate,Wen Jiabao,2005-01-17
16695,Japan,Engage in negotiation,China,2005-05-19
16696,Wen Jiabao,Express intent to meet or negotiate,Head of Government (South Korea),2007-04-10
16697,Ministry (Iran),Express intent to meet or negotiate,Mahmoud Ahmadinejad,2012-03-06
16698,Japan,Express intent to provide economic aid,Iraq,2005-08-25
16699,Wen Jiabao,Make statement,China,2006-11-29
16700,Criminal (Australia),Use unconventional violence,Citizen (Australia),2009-08-03
16701,Police (Australia),Investigate,Citizen (Australia),2007-02-25
16702,South Africa,Host a visit,African Union,2015-06-11
16703,Police (South Korea),"Arrest, detain, or charge with legal action",Criminal (South Korea),2007-12-18
16704,Police (Philippines),"Arrest, detain, or charge with legal action",Children (Philippines),2008-12-16
16705,Mahmoud Ahmadinejad,Make statement,UN Security Council,2010-06-13
16706,Benazir Bhutto,Praise or endorse,Pervez Musharraf,2007-07-19
16707,Barack Obama,Express intent to meet or negotiate,Japan,2010-09-27
16708,Treasury/Finance Ministry (United Arab Emirates),Make statement,United Arab Emirates,2015-06-08
16709,Activist (Syria),Make statement,Armed Rebel (Syria),2015-01-26
16710,Godwin Osagie Abbe,Make statement,Government (Nigeria),2007-09-20
16711,Committee for State Security,"Arrest, detain, or charge with legal action",Citizen (Belarus),2015-01-12
16712,Head of Government (Nigeria),Make statement,Government (Nigeria),2014-04-17
16713,Media Personnel (Pakistan),Make statement,Pervez Musharraf,2006-09-21
16714,Party Member (Iraq),Make pessimistic comment,Nuri al-Maliki,2014-06-27
16715,Malaysia,Sign formal agreement,Laos,2008-07-17
16716,Tony Blair,Praise or endorse,Japan,2006-05-27
16717,Thailand,Cooperate economically,Iran,2012-09-04
16718,Malaysia,Express intent to cooperate,Thailand,2015-05-25
16719,Ministry (Nigeria),Make an appeal or request,Citizen (Nigeria),2011-04-01
16720,Barack Obama,Mobilize or increase police power,Iraq,2014-11-11
16721,Citizen (Sudan),Make an appeal or request,Government (Sudan),2013-01-04
16722,Djibouti,Express intent to meet or negotiate,Yemen,2015-04-02
16723,Head of Government (South Korea),Make optimistic comment,Roh Moo Hyun,2005-06-06
16724,France,Host a visit,International Monetary Fund,2011-05-15
16725,Qatar,Consult,Yemen,2014-04-01
16726,France,Reject,Juvénal Habyarimana,2013-03-21
16727,Wen Jiabao,Engage in symbolic act,Prem Tinsulanonda,2012-11-20
16728,Japan,Criticize or denounce,Iran,2007-12-17
16729,Ali Abdullah Saleh,Make an appeal or request,Head of Government (Egypt),2006-08-02
16730,Iran,Engage in diplomatic cooperation,Kazakhstan,2012-06-25
16731,Donald Rumsfeld,Demand,China,2005-10-20
16732,Police (Tanzania),"Arrest, detain, or charge with legal action",Criminal (Tanzania),2012-04-19
16733,Lawyer/Attorney (South Korea),Investigate,Ministry (South Korea),2011-10-09
16734,Insurgent (Thailand),Use unconventional violence,Citizen (Thailand),2008-03-16
16735,Media Personnel (New Zealand),Make statement,Police (New Zealand),2009-08-15
16736,Medical Personnel (Nigeria),Make statement,Umaru Musa Yar'Adua,2010-05-06
16737,France,Criticize or denounce,Boko Haram,2014-09-02
16738,Head of Government (Pakistan),Make an appeal or request,Government (Pakistan),2009-05-07
16739,Protester (Thailand),Make an appeal or request,Citizen (Thailand),2007-08-02
16740,Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),2014-03-07
16741,Nikos Christodoulides,Make statement,Nicos Anastasiades,2015-10-19
16742,Citizen (Sudan),"Protest violently, riot",Police (Sudan),2012-06-23
16743,Ma Ying Jeou,Express intent to engage in diplomatic cooperation (such as policy support),China,2009-03-07
16744,Police (Malaysia),Increase police alert status,Malaysia,2011-05-02
16745,Treasury/Finance Ministry (Japan),Make statement,Japan,2008-09-30
16746,Defense / Security Ministry (Colombia),Make statement,Colombia,2006-10-20
16747,Police (Israel),Use conventional military force,Children (Israel),2007-02-09
16748,Vincent C. Siew,Express intent to engage in diplomatic cooperation (such as policy support),Ma Ying Jeou,2010-03-25
16749,Ethiopia,Express intent to meet or negotiate,Djibouti,2015-02-20
16750,Likud,Consult,Tzipi Livni,2009-02-23
16751,Head of Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2015-07-15
16752,Valdas Adamkus,Consult,Representatives (Lithuania),2011-09-30
16753,Police (Australia),Use conventional military force,Citizen (Australia),2008-01-18
16754,Mahdi Army,Use conventional military force,Iraq,2005-08-25
16755,Tony Blair,Make statement,UN Security Council,2006-07-29
16756,Japan,Make a visit,China,2007-04-07
16757,Barack Obama,Engage in negotiation,Abdullah Gül,2009-10-18
16758,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2013-03-26
16759,Yasuo Fukuda,Engage in negotiation,Lee Myung Bak,2008-04-22
16760,Nonaligned Movement,Express intent to meet or negotiate,Iran,2012-05-09
16761,Mahmoud Ahmadinejad,Make a visit,Iran,2010-05-12
16762,High Commission for Refugees,Make a visit,Iraq,2008-11-11
16763,Ministry (Nigeria),Accuse,Citizen (Nigeria),2011-02-02
16764,Election Commission (India),Make an appeal or request,Governor (India),2013-04-15
16765,Cambodia,Engage in diplomatic cooperation,Laos,2010-09-13
16766,Mahmoud Ahmadinejad,Make statement,Iran,2005-07-31
16767,Media Personnel (Australia),Make statement,Police (Australia),2007-01-10
16768,Rashid Qureshi,Reduce relations,Pervez Musharraf,2007-09-13
16769,Head of Government (Brazil),Consult,Daniel Scioli,2015-04-10
16770,Vietnam,Refuse to yield,Citizen (United Kingdom),2005-11-22
16771,South Korea,Express intent to cooperate,China,2011-12-27
16772,Government (Pakistan),Use conventional military force,Benazir Bhutto,2007-12-29
16773,China,Host a visit,Kim Kye Gwan,2005-04-05
16774,East African Community,Make a visit,Tanzania,2015-05-27
16775,Men (Philippines),fight with small arms and light weapons,City Mayor (Philippines),2006-05-23
16776,Mahmoud Ahmadinejad,Make statement,Iran,2006-06-21
16777,Israeli Defense Forces,Use conventional military force,"Armed Gang (Palestinian Territory, Occupied)",2007-06-14
16778,Romania,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2009-01-13
16779,Protester (Thailand),Demonstrate or rally,Thailand,2005-04-05
16780,Jonathan Moyo,Express intent to engage in diplomatic cooperation (such as policy support),Ministry (Zimbabwe),2010-02-16
16781,Iran,Host a visit,Nuri al-Maliki,2008-05-01
16782,Agence France-Presse,Make statement,Israeli Defense Forces,2006-01-12
16783,Newspaper (United Kingdom),Accuse,Citizen (United Kingdom),2014-03-12
16784,Japan,Make optimistic comment,Malaysia,2005-05-20
16785,Foreign Affairs (Malaysia),Make statement,Malaysia,2007-09-03
16786,China,Host a visit,Evo Morales,2006-01-09
16787,South Korea,Criticize or denounce,Japan,2010-03-31
16788,Israeli Defense Forces,Use conventional military force,"Armed Gang (Palestinian Territory, Occupied)",2014-07-29
16789,Xi Jinping,Make statement,China,2011-10-26
16790,Abdel Fattah Al-Sisi,Make a visit,Cabinet / Council of Ministers / Advisors (United States),2013-08-05
16791,Laos,Make a visit,Japan,2009-01-23
16792,Citizen (Australia),Use unconventional violence,Police (Australia),2015-11-09
16793,China,Express intent to cooperate economically,Japan,2005-01-05
16794,Police (Jamaica),Use conventional military force,Criminal (Jamaica),2010-05-24
16795,Barack Obama,Make statement,Mexico,2009-03-19
16796,South Korea,Express intent to meet or negotiate,Vietnam,2006-11-15
16797,Citizen (Nigeria),Appeal to engage in or accept mediation,Human Rights Commission (Nigeria),2011-05-24
16798,Military (Russia),Use conventional military force,Armed Rebel (Russia),2005-03-02
16799,Ali Abdullah Saleh,Mobilize or increase armed forces,Yemen,2011-09-04
16800,William J. Fallon,Make statement,Iraq,2007-03-13
16801,Cambodia,Express intent to engage in diplomatic cooperation (such as policy support),China,2008-12-10
16802,Ministry (Romania),Make statement,Romania,2005-07-12
16803,Citizen (Nigeria),Accuse,Government (Nigeria),2012-10-07
16804,Angela Merkel,Make statement,Angola,2008-06-02
16805,Armed Rebel (Russia),Use unconventional violence,Military (Russia),2005-02-22
16806,Ministry (Egypt),Engage in negotiation,Bank (Egypt),2013-12-04
16807,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2013-01-14
16808,Lawyer/Attorney (Uganda),Demand,Citizen (Uganda),2009-07-13
16809,Philip Ruddock,Make statement,Police (Australia),2010-06-22
16810,Media Personnel (Pakistan),Make statement,Government (Pakistan),2013-09-02
16811,Thailand,Cooperate economically,Cambodia,2009-11-09
16812,Military (Mexico),Occupy territory,Mexico,2008-01-18
16813,China,Express intent to cooperate,Vietnam,2008-06-02
16814,South Korea,Make statement,China,2011-07-15
16815,Jakaya Mrisho Kikwete,Make statement,Tanzania,2006-08-22
16816,Xi Jinping,Consult,Barack Obama,2013-06-11
16817,Insurgent (Thailand),Use unconventional violence,Citizen (Thailand),2011-04-20
16818,Criminal (Mexico),Use unconventional violence,Mexico,2011-02-19
16819,Cambodia,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2013-05-17
16820,Japan,Consult,China,2008-02-18
16821,Muhammadu Buhari,Criticize or denounce,Umaru Musa Yar'Adua,2007-07-05
16822,China,Criticize or denounce,Japan,2015-08-07
16823,Pervez Musharraf,Criticize or denounce,Shaukat Aziz,2008-08-08
16824,Japan,Engage in negotiation,China,2006-08-09
16825,Armed Gang (Thailand),fight with small arms and light weapons,Villager (Thailand),2007-05-01
16826,Police (Uganda),"Arrest, detain, or charge with legal action",Citizen (Uganda),2009-09-22
16827,Member of Parliament (Australia),Make statement,Liberal National Party,2009-03-31
16828,Rupiah Banda,Consult,Hakainde Hichilema,2009-04-03
16829,Nuri al-Maliki,Express intent to meet or negotiate,Iran,2006-09-12
16830,Protester (Thailand),Demonstrate or rally,Thailand,2008-11-25
16831,Solomon Passy,Consult,Representatives (Bulgaria),2005-01-11
16832,Malaysia,Express intent to meet or negotiate,China,2009-09-10
16833,Military Personnel - Special (India),Use conventional military force,Rebel Commander (India),2006-06-19
16834,China,Engage in diplomatic cooperation,Yemen,2014-03-20
16835,Wen Jiabao,Make a visit,Japan,2011-05-18
16836,Police (Australia),Investigate,Citizen (Australia),2015-05-17
16837,Japan,Express intent to cooperate,South Korea,2012-04-08
16838,Citizen (Australia),Ease administrative sanctions,Police (Australia),2005-05-26
16839,Citizen (Australia),Share intelligence or information,Police (Australia),2007-02-27
16840,Citizen (Australia),Criticize or denounce,Police (Australia),2007-06-07
16841,Julia Gillard,Consult,Vietnam,2010-10-31
16842,China,Consider policy option,France,2006-01-25
16843,Oluṣẹgun Ọbasanjọ,Make optimistic comment,Government (Nigeria),2006-09-01
16844,Laos,Sign formal agreement,Vietnam,2006-01-26
16845,South Korea,Engage in negotiation,Japan,2014-08-25
16846,Citizen (Thailand),Make an appeal or request,Thai Airways,2012-07-03
16847,China,Make statement,Japan,2014-06-12
16848,Iran,Praise or endorse,Japan,2009-04-16
16849,Media Personnel (Thailand),Make an appeal or request,Thailand,2009-12-26
16850,Japan,Consult,China,2006-01-17
16851,Islamic Preacher (Iran),Make an appeal or request,Iran,2013-05-19
16852,Ministry (Brazil),Criticize or denounce,Citizen (Brazil),2015-07-31
16853,Donald Rumsfeld,Make a visit,Kazakhstan,2005-10-24
16854,Vincent C. Siew,Reduce relations,Kuomintang,2005-03-03
16855,Military (Mexico),Use conventional military force,Criminal (Mexico),2008-02-07
16856,Police (Australia),Express intent to meet or negotiate,Citizen (Australia),2007-11-04
16857,Iran,Engage in diplomatic cooperation,Japan,2014-06-11
16858,Jakaya Mrisho Kikwete,Make statement,Tanzania,2006-10-25
16859,Lee Myung Bak,Make pessimistic comment,South Korea,2008-03-12
16860,Opposition Coalition (Yemen),Demand,Ali Abdullah Saleh,2011-03-23
16861,Islamic Preacher (Iran),Make statement,Iran,2013-06-15
16862,Boko Haram,Use conventional military force,Citizen (Nigeria),2014-07-29
16863,Prime Minister Qarase,Express intent to meet or negotiate,Frank Bainimarama,2006-11-28
16864,Kathleen Wynne,Make statement,Tim Hudak,2014-06-05
16865,Mahmoud Abbas,Make statement,"Government (Palestinian Territory, Occupied)",2006-09-13
16866,Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),2013-10-12
16867,Lee Myung Bak,Make a visit,China,2012-05-12
16868,Other Authorities / Officials (Zimbabwe),Expel or withdraw,Media Personnel (International),2008-04-04
16869,Lawyer/Attorney (Australia),Make statement,City Mayor (Australia),2006-03-27
16870,Citizen (Thailand),Conduct strike or boycott,Thailand,2014-01-02
16871,Malaysia,Sign formal agreement,Thailand,2013-01-10
16872,China,Engage in diplomatic cooperation,France,2005-12-07
16873,Criminal (Abu Sayyaf),Use unconventional violence,Military (Philippines),2008-01-01
16874,Police (Malaysia),"Arrest, detain, or charge with legal action",Women (Malaysia),2006-06-25
16875,Ministry (Iran),Sign formal agreement,Mahmoud Ahmadinejad,2010-11-23
16876,Citizen (Tanzania),Express intent to meet or negotiate,Tanzania,2007-02-20
16877,Vietnam,Express intent to cooperate economically,Romania,2009-06-23
16878,Citizen (Nigeria),Accuse,Ministry (Nigeria),2015-07-31
16879,Iran,Consult,Kazakhstan,2012-05-01
16880,Citizen (Thailand),Express intent to meet or negotiate,National United Front for Democracy Against Dictatorship,2010-04-03
16881,Ministry (Tanzania),Consult,Police (Tanzania),2010-12-15
16882,Benjamin Netanyahu,Accuse,Iran,2014-02-17
16883,Roh Moo Hyun,Make statement,South Korea,2005-04-18
16884,Benjamin Netanyahu,Consult,Barack Obama,2009-05-07
16885,Ministry (Afghanistan),Praise or endorse,Iran,2010-09-07
16886,South Korea,Consult,Japan,2008-12-29
16887,Qin Gang,Make statement,China,2007-03-28
16888,Lawmaker (Argentina),Praise or endorse,Cristina Fernández de Kirchner,2012-05-11
16889,Alexis Tsipras,Demand,Citizen (Greece),2012-12-13
16890,Roh Moo Hyun,Express intent to meet or negotiate,China,2006-10-13
16891,Police (Australia),Sexually assault,Citizen (Australia),2009-07-10
